KEY,"Korean"
TEST,"테스트"
ERROR,"에러"
UPGRADE_GRADE_SUCCESS,"승급 성공"
UPGRADE_GRADE_SUCCESS_MESSAGE,"승급에 성공하였습니다."
EMPTY_RUNE_SLOT,"빈 홈"
YES,"예"
NO,"아니오"
CONFIRM,"확인"
NOT_IMPLEMENTED,"준비중인 컨텐츠입니다."
INFORM,"알림"
LEAGUE,"리그"
SCORE,"점수"
SCORE_POSTFIX,"점"
RANK,"순위"
RANK_POSTFIX,"위"
RANK_POSTFIX1,"위"
RANK_POSTFIX2,"위"
RANK_POSTFIX3,"위"
UNDER_POSTFIX,"이하"
OVER_POSTFIX,"이상"
WIN,"승"
SUCCESSIVE_WIN,"연승"
LOSE,"패"
START_BATTLE,"전투 시작"
EQUIP_PART_TYPE_WEAPON,"무기"
EQUIP_PART_TYPE_ARMOR,"속옷"
EQUIP_PART_TYPE_ACCESSORY,"유물"
STAT_TYPE_MAX_MP,"최대마나"
STAT_TYPE_MP_ON_DAMAGE,"피격시 마나회복"
STAT_TYPE_MP_ON_ATTACK,"공격시 마나회복"
STAT_TYPE_MP_ON_KILL,"막타시 마나회복"
STAT_TYPE_CRITICAL_CHANCE,"치명타 발생"
STAT_TYPE_ATTACK_SPEED,"공격속도"
STAT_TYPE_PHYSICAL_POWER,"물리공격력"
STAT_TYPE_MAGICAL_POWER,"마법공격력"
STAT_TYPE_MAX_HP,"최대체력"
STAT_TYPE_HP_RECOVERY,"최대회복"
STAT_TYPE_PHYSICAL_DEFENSE,"물리방어력"
STAT_TYPE_MAGICAL_DEFENSE,"마법방어력"
STAT_TYPE_MOVE_SPEED_MMS,"이동속도"
EQUIP_SORT_TYPE_STAR_UP,"별개수(+)"
EQUIP_SORT_TYPE_STAR_DOWN,"별개수(-)"
EQUIP_SORT_TYPE_LEVEL_UP,"강화레벨(+)"
EQUIP_SORT_TYPE_LEVEL_DOWN,"강화레벨(-)"
EQUIP_SORT_TYPE_GRADE_UP,"등급(+)"
EQUIP_SORT_TYPE_GRADE_DOWN,"등급(-)"
ITEM_SORT_TYPE_GRADE_UP,"등급(+)"
ITEM_SORT_TYPE_GRADE_DOWN,"등급(-)"
MATCH_TIER_TYPE_BRONZE,"브론즈"
MATCH_TIER_TYPE_SILVER,"실버"
MATCH_TIER_TYPE_GOLD,"골드"
MATCH_TIER_TYPE_PLATINUM,"플래티넘"
MATCH_TIER_TYPE_DIAMOND,"다이아몬드"
MATCH_TIER_TYPE_MASTER,"마스터"
MATCH_TIER_TYPE_CHALLENGER,"챌린저"
OPERATION_TYPE_MOD_PHYSICAL_POWER_R,"물리공격력"
OPERATION_TYPE_MOD_MAGICAL_POWER_R,"마법공격력"
FRIEND_ASK_DELETE_FRIEND,"[FFFF00]{1}[-]님을 [FFFF00]친구목록[-]에서 삭제하시겠습니까?"
FRIEND_ASK_INVITE_FRIEND,"[FFFF00]{1}[-]님께 [FFFF00]친구신청[-]을 하시겠습니까?"
FRIEND_ASK_ACCEPT_FRIEND,"[FFFF00]{1}[-]님의 [FFFF00]친구신청[-]을 [FFFF00]수락[-]하시겠습니까?"
FRIEND_ASK_DENY_FRIEND,"[FFFF00]{1}[-]님의 [FFFF00]친구신청[-]을 [FFFF00]거절[-]하시겠습니까?"
FRIEND_BECOME_FRIEND,"[FFFF00]{1}[-]님과 [FFFF00]친구[-]로 맺어졌습니다."
EQUIP_ERROR_ALREADY_EQUIPPED,"이미 장비가 착용되어있습니다."
EQUIP_ERROR_NOT_EQUIPPED,"창비가 착용되지 않았습니다."
EQUIP_ERROR_MATERIAL_FULL,"더 이상 재료를 넣을 수 없습니다."
EQUIP_ERROR_UPGRADE_EXP_FULL,"강화에 필요한 경험치를 초과하였습니다."
EQUIP_ASK_EQUIP_TITLE,"장비작용"
EQUIP_ASK_EQUIP,"{1} 을(를) 착용하시겠습니까?"
EQUIP_ASK_SELL,"{1} 을(를) 판매합니다."
EQUIP_ASK_EXTEND_MESSAGE,"장비가방을 {1} 칸 확장하시겠습니까?"
EQUIP_ASK_UNLOCK_WEAPON_EQUIP,"두번째 무기 슬롯을 개방하시겠습니까?"
EQUIP_ASK_UNLOCK_ARMOR_EQUIP,"두번째 방어구 슬롯을 개방하시겠습니까?"
EQUIP_UNLOCK_ACTION,"개방하기"
EQUIP_EXTEND_ACTION,"확장하기"
EQUIP_USE_ACTION,"사용하기"
EQUIP_ASK_ENCHANT_OPTION_TITLE,"재감정"
EQUIP_ASK_ENCHANT_OPTION,"해당 옵션을 재감정하시겠습니까?"
EQUIP_ENCHANT_CONFIRM,"사용하기"
EQUIP_ENCHANT_CANCEL,"되돌리기"
EQUIP_ENCHANT_RETRY,"재감정"
EQUIP_ASK_ENCHANT_RESULT_MESSAGE,"[FF8000]감정 전 [00FF00]{1}[-] [FFFFFF]{2}[-] 옵션이\n감정 후 [00FF00]{3}[-] [FFFFFF]{4}[-] 옵션으로\n변경되었습니다.[-]"
EQUIP_ASK_ENCHANT_OPTION_CONFIRM_TITLE,"옵션 사용하기"
EQUIP_ASK_ENCHANT_OPTION_CONFIRM,"해당 옵션을 사용하시겠습니까?"
EQUIP_ASK_ENCHANT_OPTION_CANCEL_TITLE,"옵션 되돌리기"
EQUIP_ASK_ENCHANT_OPTION_CANCEL,"해당 옵션을 되돌리시겠습니까?"
EQUIP_ASK_ENCHANT_OPTION_RETRY_TITLE,"옵션 재감정"
EQUIP_ASK_ENCHANT_OPTION_RETRY,"해당 옵션을 재감정하시겠습니까?"
EQUIP_UPGRADE_PROGRESSING,"[FFFF00]강화중[-]"
INVENTORY_ITEM_ACTION_CONSUME,"사용"
INVENTORY_ITEM_ACTION_CREATE,"제작"
INVENTORY_ITEM_ACTION_SELL,"판매"
INVENTORY_ASK_SELL_COUNT_MESSAGE,"판매 개수를 정하세요."
INVENTORY_ORIGIN_DESC,"{1} 챕터 {2}"
MATCH_START_BUTTON_LABEL,"매치 등록"
MATCH_TOP_PERCENTAGE,"상위 {1}%"
MATCH_SEASON_REMAIN_LABEL,"{1}일 {2}시간 남음"
RESULT_TYPE_FAIL,"실패"
RESULT_TYPE_EQUIP_NOT_OWNED,"장비를 소지하지 않았습니다."
RESULT_TYPE_HERO_NOT_FOUND,"존재하지 않는 영웅입니다."
RESULT_TYPE_EQUIP_NOT_FOUND,"존재하지 않는 장비입니다."
RESULT_TYPE_LEVEL_DATA_NOT_FOUND,"레벨정보를 찾을 수 없습니다."
RESULT_TYPE_CANNOT_UPGRADE_MORE,"더 이상 강화할 수 없습니다."
