KEY,ChineseTraditional
MENU_ARCHIVE,圖鑑
ARCHIVE_SELECT,選擇圖鑑
ARCHIVE_HERO,英雄圖鑑
ARCHIVE_HERO_DESC,可以瀏覽英雄的檔案、聲音等相關的資訊。
ARCHIVE_MONSTER,怪物圖鑑
ARCHIVE_MONSTER_DESC,可以瀏覽怪物相關介紹、技能資訊等。
ARCHIVE_ITEM,道具圖鑑
ARCHIVE_ITEM_DESC,可以瀏覽專屬武器、神器等道具相關的介紹與資訊等。
ARCHIVE_UNIQUE_WEAPON,專屬武器圖鑑
ARCHIVE_UNIQUE_WEAPON_DESC,可以瀏覽專屬武器的相關介紹與資訊。
ARCHIVE_ARTIFACT,神器圖鑑
ARCHIVE_ARTIFACT_DESC,可以瀏覽神器道具的相關介紹與資訊。
ARCHIVE_EQUIMENT,一般裝備圖鑑
ARCHIVE_EQUIMENT_DESC,可以瀏覽裝備道具的相關介紹與資訊。
ARCHIVE_NORMAL_ITEM,一般道具圖鑑
ARCHIVE_NORMAL_TEM_DESC,可瀏覽消耗品等一般道具相關的介紹與資訊。
ARCHIVE_TREASURE,專屬寶物圖鑑
ARCHIVE_TREASURE_DESC,可瀏覽專屬寶物相關的資訊與介紹。
ARCHIVE_COLLECT_RATE,收藏率
ARCHIVE_PROFILE,個人資料
ARCHIVE_HERO_SKILL_SHOW,顯示技能特性
ARCHIVE_HERO_SKILL_HIDE,隱藏技能特性
ARCHIVE_HERO_SKILL_SHOW2,瀏覽技能特性
ARCHIVE_TRANSCEND,突破
ARCHIVE_VOICE,聲音
ARCHIVE_ILLUST,插圖
ARCHIVE_UI_HIDE,隱藏UI
ARCHIVE_SHOW_ANI,瀏覽動作
ARCHIVE_HERO_NAME,名字
ARCHIVE_HERO_TITLE,稱號
ARCHIVE_HERO_GENDER,性別
HERO_GENDER_MALE,男
HERO_GENDER_FEMALE,女
HERO_GENDER_PAVEL,男（＋女）
HERO_GENDER_KARA,無性（女性樣貌）
HERO_GENDER_RAVRIL,女（兔子：男）
ARCHIVE_HERO_RACE,種族
ARCHIVE_HERO_AGE,年齡
ARCHIVE_HERO_AGE_DESC,{1}歲
ARCHIVE_HERO_LENGTH,身高
ARCHIVE_HERO_LENGTH_DESC,{1}CM
ARCHIVE_HERO_BIRTH,生日
ARCHIVE_HERO_BIRTH_DESC,{1}月{2}日
ARCHIVE_HERO_CONSTELL,星座
ARCHIVE_HERO_LIKE,喜歡的事物
ARCHIVE_HERO_UNLIKE,討厭的事物
ARCHIVE_HERO_STORY,故事
ARCHIVE_HERO_NOTHOLDING,這是未持有的英雄。
ARCHIVE_CV_NAME,配音員（CV）
ARCHIVE_VOCIE_NOINFO,沒有配音員資訊
HERO_VOICE_ATTACK_1,大喊
HERO_VOICE_ATTACK_2,基本攻擊2
HERO_VOICE_ATTACK_3,基本攻擊3
HERO_VOICE_SKILL_1,使用技能1
HERO_VOICE_SKILL_2,使用技能2
