KEY,English
MENU_ARCHIVE,Index
ARCHIVE_SELECT,Select Index
ARCHIVE_HERO,Hero Index
ARCHIVE_HERO_DESC,"Displays information on the hero, such as the profile and voice."
ARCHIVE_MONSTER,Monster Index
ARCHIVE_MONSTER_DESC,Displays the descriptions of skills and monsters.
ARCHIVE_ITEM,Item Index
ARCHIVE_ITEM_DESC,Displays descriptions and information on items like unique weapons and artifacts.
ARCHIVE_UNIQUE_WEAPON,Unique Weapon Index
ARCHIVE_UNIQUE_WEAPON_DESC,Displays information on unique weapons.
ARCHIVE_ARTIFACT,Artifacts Index
ARCHIVE_ARTIFACT_DESC,Displays information on artifacts.
ARCHIVE_EQUIMENT,General Equipment Index
ARCHIVE_EQUIMENT_DESC,Displays information on equipment.
ARCHIVE_NORMAL_ITEM,General Item Index
ARCHIVE_NORMAL_TEM_DESC,Shows information on general items including consumables.
ARCHIVE_TREASURE,Unique Treasure Index
ARCHIVE_TREASURE_DESC,Displays information on unique treasures.
ARCHIVE_COLLECT_RATE,Collection Progress
ARCHIVE_PROFILE,Profile
ARCHIVE_HERO_SKILL_SHOW,Show Skill Attributes
ARCHIVE_HERO_SKILL_HIDE,Hide Skill Attributes
ARCHIVE_HERO_SKILL_SHOW2,View Skill Attribute
ARCHIVE_TRANSCEND,Transcend
ARCHIVE_VOICE,Voice
ARCHIVE_ILLUST,Illustration
ARCHIVE_UI_HIDE,Hide UI
ARCHIVE_SHOW_ANI,See Animation
ARCHIVE_HERO_NAME,Name
ARCHIVE_HERO_TITLE,Title
ARCHIVE_HERO_GENDER,Gender
HERO_GENDER_MALE,Male
HERO_GENDER_FEMALE,Female
HERO_GENDER_PAVEL,Male (+Female)
HERO_GENDER_KARA,Neutral (Female-type)
HERO_GENDER_RAVRIL,Female (The rabbit is a male)
ARCHIVE_HERO_RACE,Race
ARCHIVE_HERO_AGE,Age
ARCHIVE_HERO_AGE_DESC,{1} Years
ARCHIVE_HERO_LENGTH,Height
ARCHIVE_HERO_LENGTH_DESC,{1} CM
ARCHIVE_HERO_BIRTH,Birthday
ARCHIVE_HERO_BIRTH_DESC,{1}(Month) {2}(Day)
ARCHIVE_HERO_CONSTELL,Constellation
ARCHIVE_HERO_LIKE,Likes
ARCHIVE_HERO_UNLIKE,Dislikes
ARCHIVE_HERO_STORY,Story
ARCHIVE_HERO_NOTHOLDING,You do not have this hero.
ARCHIVE_CV_NAME,Voice Actor (CV)
ARCHIVE_VOCIE_NOINFO,No Voice Actor Info
HERO_VOICE_ATTACK_1,Shout
HERO_VOICE_ATTACK_2,Basic Attack 2
HERO_VOICE_ATTACK_3,Basic Attack 3
HERO_VOICE_SKILL_1,Use Skill 1
HERO_VOICE_SKILL_2,Use Skill 2
HERO_VOICE_SKILL_3,Use Skill 3
HERO_VOICE_SKILL_4,Use Skill 4
HERO_VOICE_HIT,Damage
HERO_VOICE_LOSE,Dead
HERO_VOICE_JOIN,Join Party
HERO_VOICE_VICTORY,Win Battle
HERO_VOICE_AWAKE,Awakening Cutscene
HERO_VOICE_TRANS,Transcendence Cutscene
HERO_VOICE_INNREACTION,Reaction at Inn
HERO_VOICE_ATTACK_1_LEWISIA5,Basic Attack (5 Star)
HERO_VOICE_SKILL_1_LEWSIA5,Blood Orb (5 Star)
HERO_VOICE_SKILL_2_LEWSIA5,Blood Zone (5 Star)
HERO_VOICE_SKILL_3_LEWSIA5,Blood Banquet (5 Star)
HERO_VOICE_SKILL_4_LEWSIA5,Use Skill 4 (5 Star)
HERO_VOICE_HIT_LEWSIA5,Damage (5 Star)
HERO_VOICE_LOSE_LEWSIA5,Dead (5 Star)
HERO_VOICE_JOIN_LEWSIA5,Join Party (5 Star)
HERO_VOICE_VICTORY_LEWSIA5,Win Battle (5 Star)
HERO_VOICE_AWAKE_LEWSIA5,Awakening Cutscene (5 Star)
HERO_VOICE_TRANS_LEWSIA5,Transcendence Cutscene (5 Star)
HERO_VOICE_INNREACTION_LEWSIA5,Reaction at Inn (5 Star)
HERO_VOICE_ATTACK_1_LEWISIA3,Basic Attack (3 - 4 Star)
HERO_VOICE_SKILL_1_LEWSIA3,Use Skill 1 (3 - 4 Star)
HERO_VOICE_SKILL_2_LEWSIA3,Use Skill 2 (3 - 4 Star)
HERO_VOICE_SKILL_3_LEWSIA3,Use Skill 3 (3 - 4 Star)
HERO_VOICE_SKILL_4_LEWSIA3,Use Skill 4 (3 - 4 Star)
HERO_VOICE_HIT_LEWSIA3,Damage (3 - 4 Star)
HERO_VOICE_LOSE_LEWSIA3,Dead (3 - 4 Star)
HERO_VOICE_JOIN_LEWSIA3,Join Party (3 - 4 Star)
HERO_VOICE_VICTORY_LEWSIA3,Win Battle (3 - 4 Star)
HERO_VOICE_AWAKE_LEWSIA3,Awakening Cutscene (3 - 4 Star)
HERO_VOICE_TRANS_LEWSIA3,Transcendence Cutscene (3 - 4 Star)
HERO_VOICE_INNREACTION_LEWSIA3,Reaction at Inn (3 - 4 Star)
HERO_VOICE_SKILL_1_EZEKIEL,Destructive Instinct (Fury state)
HERO_VOICE_SKILL_2_EZEKIEL,Dawning Despair (Fury state)
HERO_VOICE_SKILL_3_EZEKIEL,Strike of Doom (Fury state)
HERO_VOICE_SKILL_4_EZEKIEL,Cursed Blood (Fury state)
HERO_VOICE_WELCOME_1,Welcome Greeting 1
HERO_VOICE_WELCOME_2,Welcome Greeting 2
HERO_VOICE_WELCOME_3,Welcome Greeting 3
HERO_VOICE_TOUCH_1,Interaction 1
HERO_VOICE_TOUCH_2,Interaction 2
HERO_VOICE_TOUCH_3,Interaction 3
HERO_VOICE_TOUCH_4,Interaction 4
HERO_VOICE_TOUCH_5,Interaction 5
HERO_VOICE_TOUCH_6,Interaction 6
HERO_VOICE_BUY_1,Thanking 1
HERO_VOICE_BUY_2,Thanking 2
ARCHIVE_3D_SHOW,See 3D Model
ARCHIVE_UNIQUE_WEAPON_INTRODUCE,Unique Weapon Introduction
ARCHIVE_UNIQUE_WEAPON_NOTHOLDING,You haven't acquired this unique weapon yet.
ARCHIVE_TREASURE_INTRODUCE,Unique Treasure Introduction
