KEY,"Japanese"
MENU_ARCHIVE,"図鑑"
ARCHIVE_SELECT,"図鑑選択"
ARCHIVE_HERO,"英雄図鑑"
ARCHIVE_HERO_DESC,"英雄の情報、ボイスなど英雄に対する情報を確認できます"
ARCHIVE_MONSTER,"モンスター図鑑"
ARCHIVE_MONSTER_DESC,"モンスターに対する情報、\nスキル情報などを確認できます"
ARCHIVE_ITEM,"アイテム図鑑"
ARCHIVE_ITEM_DESC,"専用武器、遺物などアイテムに対する情報を確認できます"
ARCHIVE_UNIQUE_WEAPON,"専用武器図鑑"
ARCHIVE_UNIQUE_WEAPON_DESC,"専用武器に対する情報を確認できます"
ARCHIVE_ARTIFACT,"遺物図鑑"
ARCHIVE_ARTIFACT_DESC,"遺物アイテムに対する情報を確認できます"
ARCHIVE_EQUIMENT,"一般装備図鑑"
ARCHIVE_EQUIMENT_DESC,"装備アイテムに対する情報を確認できます"
ARCHIVE_NORMAL_ITEM,"一般アイテム図鑑"
ARCHIVE_NORMAL_TEM_DESC,"消費アイテムなどの一般アイテムに対する情報を確認できます"
ARCHIVE_TREASURE,"専用宝物図鑑"
ARCHIVE_TREASURE_DESC,"専用宝物に対する情報を確認できます"
ARCHIVE_COLLECT_RATE,"コレクト率"
ARCHIVE_PROFILE,"プロフィール"
ARCHIVE_STAT,"一般"
ARCHIVE_SKILL,"スキル"
ARCHIVE_HERO_SKILL_SHOW,"スキル特性表示"
ARCHIVE_HERO_SKILL_HIDE,"スキル特性非表示"
ARCHIVE_HERO_SKILL_SHOW2,"スキル特性を見る"
ARCHIVE_TRANSCEND,"超越"
ARCHIVE_VOICE,"ボイス"
ARCHIVE_ILLUST,"イラスト"
ARCHIVE_UI_HIDE,"UI非表示"
ARCHIVE_SHOW_ANI,"モーション\n確認"
ARCHIVE_HERO_NAME,"名前"
ARCHIVE_HERO_TITLE,"タイトル"
ARCHIVE_HERO_GENDER,"性別"
HERO_GENDER_MALE,"男性"
HERO_GENDER_FEMALE,"女性"
HERO_GENDER_PAVEL,"男性(+女性)"
HERO_GENDER_KARA,"無性（女性型）"
HERO_GENDER_RAVRIL,"女(ウサギは男)"
ARCHIVE_HERO_RACE,"種族"
ARCHIVE_HERO_AGE,"歳"
ARCHIVE_HERO_AGE_DESC,"{1}歳"
ARCHIVE_HERO_LENGTH,"身長"
ARCHIVE_HERO_LENGTH_DESC,"{1} CM"
