KEY,French
28DAYS_ATTENDANCE,Connexion
NEWBIE_ATTENDANCE,15 Jours de Cadeaux Spéciaux !
VERONICAS_SPECIAL_PACKAGE,Ticket de présence du Héros accompli de Veronica
COMEBACK_ATTENDANCE,Cadeau de Bienvenue Joyeux-Retour !!
7DAYS_SPECIAL_ATTENDANCE,Événement Spécial : Connexion pendant 7 Jours
MAY_SPECIAL_PACKAGE,Ticket de présence de débutant de May
9TH_CHAPTER_ATTENDANCE,Célébration de la Mise à Jour du Chapitre 9 !
GOD_KING_2019_ATTENDANCE_NAME,Livret de Connexion pour les 14 jours spéciaux du Dieu-Roi
1000TH_ANNIVERSARY_ATTENDANCE_NAME,Cadeau de remerciement pour ♡célébrer les 1000 jours♡ !
2020_NEW_YEAR_ATTENDANCE_TITLE,2020 ! Ticket de présence spéciale
