KEY,German
28DAYS_ATTENDANCE,Login
NEWBIE_ATTENDANCE,15 Tage besondere Geschenke!
VERONICAS_SPECIAL_PACKAGE,Veronicas Helden-Klassenbuch
COMEBACK_ATTENDANCE,Comeback-Geschenk!!!
7DAYS_SPECIAL_ATTENDANCE,Spezial: Wöchentliches Login-Event
MAY_SPECIAL_PACKAGE,Mays Anfängerklassenbuch
9TH_CHAPTER_ATTENDANCE,Spezielles zum Kapitel-9-Update!
GOD_KING_2019_ATTENDANCE_NAME,Gottkönig Spezial: 14 Tage-Login-Event
1000TH_ANNIVERSARY_ATTENDANCE_NAME,Ein Dankeschön-Geschenk ♡zur Feier von 1.000 Tage♡!
2020_NEW_YEAR_ATTENDANCE_TITLE,2020! Besonderes Neujahr-Login-Event
MAY_SPECIAL_PACKAGE_2020,Mays Anfängerklassenbuch
