KEY,"ChineseSimplified"
NEWBIE_ATTENDANCE_NAME_1_1,"3星米芮安"
NEWBIE_ATTENDANCE_DESC_1_1,"米芮安欢迎各位。\n和3星米芮安一起挑战吧！\n（已获得该英雄时，将发放200个专属武器碎片。）"
NEWBIE_ATTENDANCE_NAME_1_2,"500万金币"
NEWBIE_ATTENDANCE_DESC_1_2,"购买道具与强化装备时\n可使用金币。"
NEWBIE_ATTENDANCE_NAME_2_1,"体力药水"
NEWBIE_ATTENDANCE_DESC_2_1,"可补充章节战斗、战役\n所需要的体力。"
NEWBIE_ATTENDANCE_NAME_2_2,"正义晶元"
NEWBIE_ATTENDANCE_DESC_2_2,"使用正义晶元可使骑士、战士、牧师觉醒至更高的阶段。\n觉醒可以在英雄殿堂内进行。"
NEWBIE_ATTENDANCE_NAME_2_3,"武力晶元"
NEWBIE_ATTENDANCE_DESC_2_3,"使用武力晶元可使战士、\n弓箭手、魔法师觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_2_4,"智慧晶元"
NEWBIE_ATTENDANCE_DESC_2_4,"使用智慧晶元可使刺客、\n机械工、魔法师觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_2_5,"战略晶元"
NEWBIE_ATTENDANCE_DESC_2_5,"使用战略晶元可使骑士、\n弓箭手、机械工觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_2_6,"忍耐晶元"
NEWBIE_ATTENDANCE_DESC_2_6,"使用忍耐晶元可使骑士、\n刺客、牧师觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_2_7,"和谐晶元"
NEWBIE_ATTENDANCE_DESC_2_7,"使用和谐晶元可使弓箭手、\n魔法师、牧师觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_2_8,"幸运晶元"
NEWBIE_ATTENDANCE_DESC_2_8,"使用幸运晶元可使战士、刺客、机械工觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_3_1,"经验药水（特大）"
NEWBIE_ATTENDANCE_DESC_3_1,"使用经验药水可以提升英雄等级。"
NEWBIE_ATTENDANCE_NAME_3_2,"500万金币"
NEWBIE_ATTENDANCE_DESC_3_2,"购买道具与强化装备时可使用金币。"
NEWBIE_ATTENDANCE_NAME_4_1,"500万金币"
NEWBIE_ATTENDANCE_DESC_4_1,"购买道具与强化装备时可使用金币。"
NEWBIE_ATTENDANCE_NAME_4_2,"正义晶元"
NEWBIE_ATTENDANCE_DESC_4_2,"使用正义晶元可使骑士、战士、牧师觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_4_3,"武力晶元"
NEWBIE_ATTENDANCE_DESC_4_3,"使用武力晶元可使战士、弓箭手、魔法师觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_4_4,"智慧晶元"
NEWBIE_ATTENDANCE_DESC_4_4,"使用智慧晶元可使刺客、机械工、魔法师觉醒至更高的阶段。\n觉醒可以在英雄殿堂进行。"
NEWBIE_ATTENDANCE_NAME_4_5,"战略晶元"
