KEY,"French"
NEWBIE_ATTENDANCE_NAME_1_1,"Mirianne 3 étoiles"
NEWBIE_ATTENDANCE_DESC_1_1,"Mirianne vous souhaite la bienvenue. Laissez Mirianne 3 étoiles se joindre à vous !\n(Si vous possédez déjà ce héros, vous obtiendrez 200 fragments d'arme unique à la place.)"
NEWBIE_ATTENDANCE_NAME_1_2,"5,000,000 Or"
NEWBIE_ATTENDANCE_DESC_1_2,"L'Or est utilisé pour l'achat d'objets et l'amélioration de l'équipement."
NEWBIE_ATTENDANCE_NAME_2_1,"Potion d'Endurance"
NEWBIE_ATTENDANCE_DESC_2_1,"Utilisez des Potions pour recharger d'Endurance requise par les batailles de Chapitres et des Raids."
NEWBIE_ATTENDANCE_NAME_2_2,"Fragment de Justice"
NEWBIE_ATTENDANCE_DESC_2_2,"Utilisez des Fragments de Justice pour Éveiller les Héros des classes Chevalier, Guerrier et Prêtre.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_2_3,"Fragment de Force"
NEWBIE_ATTENDANCE_DESC_2_3,"Utilisez des Fragments de Force pour Éveiller les Héros des classes Guerrier, Archer et Sorcier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_2_4,"Fragment de Sagesse"
NEWBIE_ATTENDANCE_DESC_2_4,"Utilisez des Fragments de Sagesse pour Éveiller les Héros des classes Assassin, Artificier et Sorcier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_2_5,"Fragment de Stratégie"
NEWBIE_ATTENDANCE_DESC_2_5,"Utilisez des Fragments de Stratégie pour Éveiller les Héros des classes Chevalier, Archer et Artificier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_2_6,"Fragment de Patience"
NEWBIE_ATTENDANCE_DESC_2_6,"Utilisez des Fragments de Patience pour Éveiller les Héros des classes Chevalier, Assassin et Prêtre.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_2_7,"Fragment d'Harmonie"
NEWBIE_ATTENDANCE_DESC_2_7,"Utilisez des Fragments d'Harmonie pour Éveiller les Héros des classes Archer, Sorcier et Prêtre.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_2_8,"Fragment de Fortune"
NEWBIE_ATTENDANCE_DESC_2_8,"Utilisez des Fragments de Fortune pour Éveiller les Héros des classes Guerrier, Assassin et Artificier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_3_1,"Potion d'EXP (Très grande)"
NEWBIE_ATTENDANCE_DESC_3_1,"Utilisez des Potions d'EXP pour faire gagner des niveaux à vos Héros."
NEWBIE_ATTENDANCE_NAME_3_2,"5,000,000 Or"
NEWBIE_ATTENDANCE_DESC_3_2,"L'Or est utilisé pour l'achat d'objets et l'amélioration de l'équipement."
NEWBIE_ATTENDANCE_NAME_4_1,"5,000,000 Or"
NEWBIE_ATTENDANCE_DESC_4_1,"L'Or est utilisé pour l'achat d'objets et l'amélioration de l'équipement."
NEWBIE_ATTENDANCE_NAME_4_2,"Fragment de Justice"
NEWBIE_ATTENDANCE_DESC_4_2,"Utilisez des Fragments de Justice pour Éveiller les Héros des classes Chevalier, Guerrier et Prêtre.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_4_3,"Fragment de Force"
NEWBIE_ATTENDANCE_DESC_4_3,"Utilisez des Fragments de Force pour Éveiller les Héros des classes Guerrier, Archer et Sorcier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_4_4,"Fragment de Sagesse"
NEWBIE_ATTENDANCE_DESC_4_4,"Utilisez des Fragments de Sagesse pour Éveiller les Héros des classes Assassin, Artificier et Sorcier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_4_5,"Fragment de Stratégie"
NEWBIE_ATTENDANCE_DESC_4_5,"Utilisez des Fragments de Stratégie pour Éveiller les Héros des classes Chevalier, Archer et Artificier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_4_6,"Fragment de Patience"
NEWBIE_ATTENDANCE_DESC_4_6,"Utilisez des Fragments de Patience pour Éveiller les Héros des classes Chevalier, Assassin et Prêtre.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_4_7,"Fragment d'Harmonie"
NEWBIE_ATTENDANCE_DESC_4_7,"Utilisez des Fragments d'Harmonie pour Éveiller les Héros des classes Archer, Sorcier et Prêtre.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_4_8,"Fragment de Fortune"
NEWBIE_ATTENDANCE_DESC_4_8,"Utilisez des Fragments de Fortune pour Éveiller les Héros des classes Guerrier, Assassin et Artificier.\nAllez au Hall des Héros pour Éveiller un Héros."
NEWBIE_ATTENDANCE_NAME_5_1,"Ticket d'équipement souffle-de-dragon légendaire T6"
NEWBIE_ATTENDANCE_DESC_5_1,"Vous pouvez obtenir un coffret d'équipement souffle-de-dragon légendaire T6 en sélectionnant l'un des types de héros suivants : Tank/DPS/Soutien.\nLe coffret d'équipement souffle-de-dragon légendaire T6 contient 4 types de pièces d'équipement souffle-de-dragon légendaire T6 dotées des options recommandées pour le type de héros sélectionné."
NEWBIE_ATTENDANCE_NAME_5_2,"Potion d'EXP (Deluxe)"
NEWBIE_ATTENDANCE_DESC_5_2,"Utilisez des Potions d'EXP pour faire gagner des niveaux à vos Héros."
NEWBIE_ATTENDANCE_NAME_6_1,"Rune de Doute: Héroïque"
NEWBIE_ATTENDANCE_DESC_6_1,"Mettez des Runes sur votre équipement pour le rendre plus puissant."
NEWBIE_ATTENDANCE_NAME_6_2,"Poudre Magique"
NEWBIE_ATTENDANCE_DESC_6_2,"Vous pouvez utiliser la poudre magique pour améliorer les options de votre équipement et augmenter ses paliers."
NEWBIE_ATTENDANCE_NAME_6_3,"10 000 000 Or"
NEWBIE_ATTENDANCE_DESC_6_3,"L'Or est utilisé pour l'achat d'objets et l'amélioration de l'équipement."
NEWBIE_ATTENDANCE_NAME_7_1,"Ticket de costume(apparence d'écolier)"
NEWBIE_ATTENDANCE_DESC_7_1,"Vous pouvez visualiser votre Héros\nvêtu de différents costumes."
NEWBIE_ATTENDANCE_NAME_7_2,"Essence de Justice"
NEWBIE_ATTENDANCE_DESC_7_2,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Guerrier et Prêtre pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_7_3,"Essence de Force"
NEWBIE_ATTENDANCE_DESC_7_3,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Guerrier, Archer et Sorcier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_7_4,"Essence de Sagesse"
NEWBIE_ATTENDANCE_DESC_7_4,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Assassin, Artificier et Sorcier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_7_5,"Essence de Stratégie"
NEWBIE_ATTENDANCE_DESC_7_5,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Archer et Artificier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_7_6,"Essence de Patience"
NEWBIE_ATTENDANCE_DESC_7_6,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Assassin et Prêtre pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_7_7,"Essence d'Harmonie"
NEWBIE_ATTENDANCE_DESC_7_7,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Archer, Sorcier et Prêtre pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_7_8,"Essence de Chance"
NEWBIE_ATTENDANCE_DESC_7_8,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Guerrier, Assassin et Artificier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_8_1,"Selene 5 étoiles"
NEWBIE_ATTENDANCE_DESC_8_1,"Selene vous souhaite la bienvenue. Laissez Selene 5 étoiles se joindre à vous !\n(Si vous possédez déjà ce héros, vous obtiendrez 250 fragments d'arme unique à la place.)"
NEWBIE_ATTENDANCE_NAME_8_2,"Arme unique de Selene"
NEWBIE_ATTENDANCE_DESC_8_2,"Voici l'arme unique de Selene : Notos, brise verte.\nÉquipez vos héros d'armes uniques et de trésors pour les rendre plus puissants et charismatiques !"
NEWBIE_ATTENDANCE_NAME_8_3,"Arme unique de Mirianne"
NEWBIE_ATTENDANCE_DESC_8_3,"Voici l'arme unique de Mirianne : Accélération infinie, Riventina.\nÉquipez vos héros d'armes uniques et de trésors pour les rendre plus puissants et charismatiques !"
NEWBIE_ATTENDANCE_NAME_9_1,"Pierre d'Infini"
NEWBIE_ATTENDANCE_DESC_9_1,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_9_2,"Essence de Justice"
NEWBIE_ATTENDANCE_DESC_9_2,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Guerrier et Prêtre pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_9_3,"Essence de Force"
NEWBIE_ATTENDANCE_DESC_9_3,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Guerrier, Archer et Sorcier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_9_4,"Essence de Sagesse"
NEWBIE_ATTENDANCE_DESC_9_4,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Assassin, Artificier et Sorcier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_9_5,"Essence de Stratégie"
NEWBIE_ATTENDANCE_DESC_9_5,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Archer et Artificier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_9_6,"Essence de Patience"
NEWBIE_ATTENDANCE_DESC_9_6,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Assassin et Prêtre pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_9_7,"Essence d'Harmonie"
NEWBIE_ATTENDANCE_DESC_9_7,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Archer, Sorcier et Prêtre pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_9_8,"Essence de Chance"
NEWBIE_ATTENDANCE_DESC_9_8,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Guerrier, Assassin et Artificier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_10_1,"Potion d'EXP (concentrée)"
NEWBIE_ATTENDANCE_DESC_10_1,"Utilisez des Potions d'EXP pour faire gagner des niveaux à vos Héros."
NEWBIE_ATTENDANCE_NAME_10_2,"10 000 000 Or"
NEWBIE_ATTENDANCE_DESC_10_2,"L'Or est utilisé pour l'achat d'objets et l'amélioration de l'équipement."
NEWBIE_ATTENDANCE_NAME_11_1,"Potion d'Endurance"
NEWBIE_ATTENDANCE_DESC_11_1,"Utilisez des Potions pour recharger d'Endurance requise par les batailles de Chapitres et des Raids."
NEWBIE_ATTENDANCE_NAME_11_2,"Essence de Justice"
NEWBIE_ATTENDANCE_DESC_11_2,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Guerrier et Prêtre pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_11_3,"Essence de Force"
NEWBIE_ATTENDANCE_DESC_11_3,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Guerrier, Archer et Sorcier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_11_4,"Essence de Sagesse"
NEWBIE_ATTENDANCE_DESC_11_4,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Assassin, Artificier et Sorcier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_11_5,"Essence de Stratégie"
NEWBIE_ATTENDANCE_DESC_11_5,"Utilisez Essences et Pierres d'Infini sur des Héros 5 Étoiles de classe Chevalier, Archer et Artificier pour les Transcender.\nTranscender des Héros permet d'apprendre des Talents de Transcendance.\nAllez au Hall des Héros pour Transcender un Héros."
NEWBIE_ATTENDANCE_NAME_11_6,"Essence de Patience"
