KEY,German
NEWBIE_ATTENDANCE_NAME_1_1,3★ Mirianne
NEWBIE_ATTENDANCE_DESC_1_1,"Mirianne heißt dich willkommen. Lass 3★ Mirianne dich auf deiner Reise begleiten!\n(Falls du den Helden bereits besitzt, erhältst du stattdessen 200x Einzigartige Waffenfragment.)"
NEWBIE_ATTENDANCE_NAME_1_2,5 Mio. Gold
NEWBIE_ATTENDANCE_DESC_1_2,Gold wird für den Kauf von Gegenständen und die Ausrüstungsverstärkung verwendet.
NEWBIE_ATTENDANCE_NAME_2_1,Ausdauertrank
NEWBIE_ATTENDANCE_DESC_2_1,"Nutze Ausdauertrank, um die Ausdauer wiederherzustellen, die du für Kapitelkämpfe und Raids benötigst."
NEWBIE_ATTENDANCE_NAME_2_2,Fragment der Gerechtigkeit
NEWBIE_ATTENDANCE_DESC_2_2,"Verwende das Fragment der Gerechtigkeit, um Helden der Klassen Ritter, Krieger und Priester zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_2_3,Fragment der Macht
NEWBIE_ATTENDANCE_DESC_2_3,"Verwende das Fragment der Macht, um Helden der Klassen Krieger, Bogenschütze und Zauberer zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_2_4,Fragment der Weisheit
NEWBIE_ATTENDANCE_DESC_2_4,"Verwende das Fragment der Weisheit, um Helden der Klassen Assassine, Mechaniker und Zauberer zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_2_5,Fragment der Strategie
NEWBIE_ATTENDANCE_DESC_2_5,"Verwende das Fragment der Strategie, um Helden der Klassen Ritter, Bogenschütze und Mechaniker zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_2_6,Fragment der Geduld
NEWBIE_ATTENDANCE_DESC_2_6,"Verwende das Fragment der Geduld, um Helden der Klassen Ritter, Priester und Assassine zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_2_7,Fragment der Harmonie
NEWBIE_ATTENDANCE_DESC_2_7,"Verwende das Fragment der Harmonie, um Helden der Klassen Bogenschütze, Zauberer und Priester zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_2_8,Fragment des Glücks
NEWBIE_ATTENDANCE_DESC_2_8,"Verwende das Fragment des Glücks, um Helden der Klassen Krieger, Assassinen und Mechaniker zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_3_1,EP-Trank (IV)
NEWBIE_ATTENDANCE_DESC_3_1,"Nutze EP-Trank, um deine Helden aufsteigen zu lassen."
NEWBIE_ATTENDANCE_NAME_3_2,5 Mio. Gold
NEWBIE_ATTENDANCE_DESC_3_2,Gold wird für den Kauf und die Verbesserung von Gegenständen verwendet.
NEWBIE_ATTENDANCE_NAME_4_1,5 Mio. Gold
NEWBIE_ATTENDANCE_DESC_4_1,Gold wird für den Kauf und die Verbesserung von Gegenständen verwendet.
NEWBIE_ATTENDANCE_NAME_4_2,Fragment der Gerechtigkeit
NEWBIE_ATTENDANCE_DESC_4_2,"Verwende das Fragment der Gerechtigkeit, um Helden der Klassen Ritter, Krieger und Priester zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_4_3,Fragment der Macht
NEWBIE_ATTENDANCE_DESC_4_3,"Verwende das Fragment der Macht, um Helden der Klassen Krieger, Bogenschütze und Zauberer zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_4_4,Fragment der Weisheit
NEWBIE_ATTENDANCE_DESC_4_4,"Verwende das Fragment der Weisheit, um Helden der Klassen Assassine, Mechaniker und Zauberer zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_4_5,Fragment der Strategie
NEWBIE_ATTENDANCE_DESC_4_5,"Verwende das Fragment der Strategie, um Helden der Klassen Ritter, Bogenschütze und Mechaniker zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_4_6,Fragment der Geduld
NEWBIE_ATTENDANCE_DESC_4_6,"Verwende das Fragment der Geduld, um Helden der Klassen Ritter, Priester und Assassine zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_4_7,Fragment der Harmonie
NEWBIE_ATTENDANCE_DESC_4_7,"Verwende das Fragment der Harmonie, um Helden der Klassen Bogenschütze, Zauberer und Priester zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_4_8,Fragment des Glücks
NEWBIE_ATTENDANCE_DESC_4_8,"Verwende das Fragment des Glücks, um Helden der Klassen Krieger, Assassinen und Mechaniker zu erwecken.\nGehe zur Helden-Erweckung in die Halle der Helden."
NEWBIE_ATTENDANCE_NAME_5_1,T6 Legendäres Flinke-Dunkelheit-Ausrüstungsticket
NEWBIE_ATTENDANCE_DESC_5_1,"Du kannst eine T6 Legendäre Flinke-Dunkelheit-Ausrüstungskiste für einen Helden des gewählten Typs Tank, Schaden oder Heilung erhalten.\nDie T6 Legendäre Flinke-Dunkelheit-Ausrüstungskiste enthält 4 Arten von T6 Legendärer Flinker-Dunkelheit-Ausrüstung mit festgelegten Optionen, die optimal für den gewählten Heldentypen sind."
NEWBIE_ATTENDANCE_NAME_5_2,EP-Trank (V)
NEWBIE_ATTENDANCE_DESC_5_2,"Nutze EP-Trank, um deine Helden aufsteigen zu lassen."
NEWBIE_ATTENDANCE_NAME_6_1,Rune des Zweifels: Heroisch
NEWBIE_ATTENDANCE_DESC_6_1,"Statte deine Ausrüstung mit Runen aus, um sie stärker zu machen."
NEWBIE_ATTENDANCE_NAME_6_2,Magiepulver
NEWBIE_ATTENDANCE_DESC_6_2,"Du kannst Magiepulver benutzen, um die Optionen und Stufen deiner Ausrüstung zu verbessern."
NEWBIE_ATTENDANCE_NAME_6_3,10 Mio. Gold
NEWBIE_ATTENDANCE_DESC_6_3,Gold wird für den Kauf und die Verbesserung von Gegenständen verwendet.
NEWBIE_ATTENDANCE_NAME_7_1,Kostümticket (Schulzeiten)
NEWBIE_ATTENDANCE_DESC_7_1,Du kannst dir deine Helden in anderen Kostümen ansehen.
NEWBIE_ATTENDANCE_NAME_7_2,Essenz der Gerechtigkeit
