KEY,Japanese
NEWBIE_ATTENDANCE_NAME_1_1,星3ミリアンヌ
NEWBIE_ATTENDANCE_DESC_1_1,ミリアンヌが皆様をお迎えします。星3ミリアンヌと冒険を楽しみましょう！\n(この英雄を所持している場合、専用武器の欠片が200個支給されます。)
NEWBIE_ATTENDANCE_NAME_1_2,500万ゴールド
NEWBIE_ATTENDANCE_DESC_1_2,ゴールドはアイテムの購入や\n装備の強化に使われます。
NEWBIE_ATTENDANCE_NAME_2_1,スタミナポーション
NEWBIE_ATTENDANCE_DESC_2_1,スタミナポーションは、\nステージ戦闘やレイドに\n必要なスタミナを回復させる\nためのポーションです。
NEWBIE_ATTENDANCE_NAME_2_2,正義の欠片
NEWBIE_ATTENDANCE_DESC_2_2,正義の欠片を使用すると、\nナイト、ウォリアー、プリ\nストクラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_2_3,力の欠片
NEWBIE_ATTENDANCE_DESC_2_3,力の欠片を使用すると、ウォ\nリアー、アーチャー、ウィ\nザードクラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_2_4,知恵の欠片
NEWBIE_ATTENDANCE_DESC_2_4,知恵の欠片を使用すると、\nアサシン、メカニック、ウィ\nザードクラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_2_5,策略の欠片
NEWBIE_ATTENDANCE_DESC_2_5,策略の欠片を使用すると、\nナイト、アーチャー、メカ\nニッククラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_2_6,忍耐の欠片
NEWBIE_ATTENDANCE_DESC_2_6,忍耐の欠片を使用すると、\nナイト、アサシン、プリスト\nクラスの英雄を覚醒させる\nことが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_2_7,調和の欠片
NEWBIE_ATTENDANCE_DESC_2_7,調和の欠片を使用すると、\nアーチャー、ウィザード、\nプリストクラスの英雄を\n覚醒させることが可能\nです。覚醒は「英雄の殿堂」\nから行うことができます。
NEWBIE_ATTENDANCE_NAME_2_8,幸運の欠片
NEWBIE_ATTENDANCE_DESC_2_8,幸運の欠片を使用すると、\nウォリアー、アサシン、メカ\nニッククラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_3_1,経験の薬(特大)
NEWBIE_ATTENDANCE_DESC_3_1,経験の薬を使って、英雄の\nレベルをアップさせることが\nできます。
NEWBIE_ATTENDANCE_NAME_3_2,500万ゴールド
NEWBIE_ATTENDANCE_DESC_3_2,ゴールドはアイテムの購入や\n装備の強化に使われます。
NEWBIE_ATTENDANCE_NAME_4_1,500万ゴールド
NEWBIE_ATTENDANCE_DESC_4_1,ゴールドはアイテムの購入や\n装備の強化に使われます。
NEWBIE_ATTENDANCE_NAME_4_2,正義の欠片
NEWBIE_ATTENDANCE_DESC_4_2,正義の欠片を使用すると、\nナイト、ウォリアー、プリ\nストクラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_4_3,力の欠片
NEWBIE_ATTENDANCE_DESC_4_3,力の欠片を使用すると、ウォ\nリアー、アーチャー、ウィ\nザードクラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_4_4,知恵の欠片
NEWBIE_ATTENDANCE_DESC_4_4,知恵の欠片を使用すると、\nアサシン、メカニック、ウィ\nザードクラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_4_5,策略の欠片
NEWBIE_ATTENDANCE_DESC_4_5,策略の欠片を使用すると、\nナイト、アーチャー、メカ\nニッククラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_4_6,忍耐の欠片
NEWBIE_ATTENDANCE_DESC_4_6,忍耐の欠片を使用すると、\nナイト、アサシン、プリスト\nクラスの英雄を覚醒させる\nことが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_4_7,調和の欠片
NEWBIE_ATTENDANCE_DESC_4_7,調和の欠片を使用すると、\nアーチャー、ウィザード、\nプリストクラスの英雄を\n覚醒させることが可能\nです。覚醒は「英雄の殿堂」\nから行うことができます。
NEWBIE_ATTENDANCE_NAME_4_8,幸運の欠片
NEWBIE_ATTENDANCE_DESC_4_8,幸運の欠片を使用すると、\nウォリアー、アサシン、メカ\nニッククラスの英雄を覚醒\nさせることが可能です。\n覚醒は「英雄の殿堂」から\n行うことができます。
NEWBIE_ATTENDANCE_NAME_5_1,T6俊足の闇のレジェンド装備チケット
NEWBIE_ATTENDANCE_DESC_5_1,タンカー/ディーラー/サポーターから選んでT6俊足の闇のレジェンド装備ボックスを獲得する。\nT6俊足の闇のレジェンド装備ボックスは、タンカー/ディーラー/サポーターに役立つ効果のT6俊足の闇のレジェンド装備4種で構成されている。
NEWBIE_ATTENDANCE_NAME_5_2,経験の薬(最大)
NEWBIE_ATTENDANCE_DESC_5_2,経験の薬を使って、英雄の\nレベルをアップさせることが\nできます。
NEWBIE_ATTENDANCE_NAME_6_1,謎のルーン: エピック
NEWBIE_ATTENDANCE_DESC_6_1,ルーンを装備に装着すると、\nより大きな効果を得られ\nます。
NEWBIE_ATTENDANCE_NAME_6_2,魔法の粉
NEWBIE_ATTENDANCE_DESC_6_2,魔法の粉を使って装備の効果を強化するか装備を進化させ、ティアを上げます。
NEWBIE_ATTENDANCE_NAME_6_3,"1,000万ゴールド"
NEWBIE_ATTENDANCE_DESC_6_3,ゴールドはアイテムの購入や\n装備の強化に使われます。
NEWBIE_ATTENDANCE_NAME_7_1,衣装チケット(学生服)
NEWBIE_ATTENDANCE_DESC_7_1,英雄たちの新しい一面を\n見ることができます。
NEWBIE_ATTENDANCE_NAME_7_2,正義のエッセンス
