KEY,Korean
NEWBIE_ATTENDANCE_NAME_1_1,3성 미리안느
NEWBIE_ATTENDANCE_DESC_1_1,"미리안느가 여러분을 환영합니다. 3성 미리안느와 함께 해보세요!\n(해당 영웅이 이미 있다면, 전용 무기 조각 200개가 지급 됩니다.)"
NEWBIE_ATTENDANCE_NAME_1_2,500만 골드
NEWBIE_ATTENDANCE_DESC_1_2,골드는 아이템을 구매하고 장비를 강화할 때 사용할 수 있습니다.
NEWBIE_ATTENDANCE_NAME_2_1,스태미나 물약
NEWBIE_ATTENDANCE_DESC_2_1,"스태미나 물약은 챕터 전투, 레이드에서 필요한 스태미나를 채울 수 있습니다."
NEWBIE_ATTENDANCE_NAME_2_2,정의의 파편
NEWBIE_ATTENDANCE_DESC_2_2,"정의의 파편을 사용하면 기사, 전사, 사제 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_2_3,무력의 파편
NEWBIE_ATTENDANCE_DESC_2_3,"무력의 파편을 사용하면 전사, 궁수, 마법사 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_2_4,지혜의 파편
NEWBIE_ATTENDANCE_DESC_2_4,"지혜의 파편을 사용하면 암살자, 기계공, 마법사 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_2_5,전략의 파편
NEWBIE_ATTENDANCE_DESC_2_5,"전략의 파편을 사용하면 기사, 궁수, 기계공 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_2_6,인내의 파편
NEWBIE_ATTENDANCE_DESC_2_6,"인내의 파편을 사용하면 기사, 암살자, 사제 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_2_7,조화의 파편
NEWBIE_ATTENDANCE_DESC_2_7,"조화의 파편을 사용하면 궁수, 마법사, 사제 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_2_8,행운의 파편
NEWBIE_ATTENDANCE_DESC_2_8,"행운의 파편을 사용하면 전사, 암살자, 기계공 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_3_1,경험의 물약 (특대)
NEWBIE_ATTENDANCE_DESC_3_1,경험의 물약을 사용하면 영웅의 레벨을 올릴 수 있습니다.
NEWBIE_ATTENDANCE_NAME_3_2,500만 골드
NEWBIE_ATTENDANCE_DESC_3_2,골드는 아이템을 구매하고 장비를 강화할 때 사용할 수 있습니다.
NEWBIE_ATTENDANCE_NAME_4_1,500만 골드
NEWBIE_ATTENDANCE_DESC_4_1,골드는 아이템을 구매하고 장비를 강화할 때 사용할 수 있습니다.
NEWBIE_ATTENDANCE_NAME_4_2,정의의 파편
NEWBIE_ATTENDANCE_DESC_4_2,"정의의 파편을 사용하면 기사, 전사, 사제 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_4_3,무력의 파편
NEWBIE_ATTENDANCE_DESC_4_3,"무력의 파편을 사용하면 전사, 궁수, 마법사 영웅을 더 높은 단계로 각성할 수 있습니다.\n각성은 영웅의 전당에서 진행할 수 있습니다."
NEWBIE_ATTENDANCE_NAME_4_4,지혜의 파편
