KEY,"No"
NEWBIE_ATTENDANCE_NAME_1_1,"1"
NEWBIE_ATTENDANCE_DESC_1_1,"1"
NEWBIE_ATTENDANCE_NAME_1_2,"2"
NEWBIE_ATTENDANCE_DESC_1_2,"2"
NEWBIE_ATTENDANCE_NAME_2_1,"1"
NEWBIE_ATTENDANCE_DESC_2_1,"1"
NEWBIE_ATTENDANCE_NAME_2_2,"2"
NEWBIE_ATTENDANCE_DESC_2_2,"2"
NEWBIE_ATTENDANCE_NAME_2_3,"3"
NEWBIE_ATTENDANCE_DESC_2_3,"3"
NEWBIE_ATTENDANCE_NAME_2_4,"4"
NEWBIE_ATTENDANCE_DESC_2_4,"4"
NEWBIE_ATTENDANCE_NAME_2_5,"5"
NEWBIE_ATTENDANCE_DESC_2_5,"5"
NEWBIE_ATTENDANCE_NAME_2_6,"6"
NEWBIE_ATTENDANCE_DESC_2_6,"6"
NEWBIE_ATTENDANCE_NAME_2_7,"7"
NEWBIE_ATTENDANCE_DESC_2_7,"7"
NEWBIE_ATTENDANCE_NAME_2_8,"8"
NEWBIE_ATTENDANCE_DESC_2_8,"8"
NEWBIE_ATTENDANCE_NAME_3_1,"1"
NEWBIE_ATTENDANCE_DESC_3_1,"1"
NEWBIE_ATTENDANCE_NAME_3_2,"2"
NEWBIE_ATTENDANCE_DESC_3_2,"2"
NEWBIE_ATTENDANCE_NAME_4_1,"1"
NEWBIE_ATTENDANCE_DESC_4_1,"1"
NEWBIE_ATTENDANCE_NAME_4_2,"2"
NEWBIE_ATTENDANCE_DESC_4_2,"2"
NEWBIE_ATTENDANCE_NAME_4_3,"3"
NEWBIE_ATTENDANCE_DESC_4_3,"3"
NEWBIE_ATTENDANCE_NAME_4_4,"4"
NEWBIE_ATTENDANCE_DESC_4_4,"4"
NEWBIE_ATTENDANCE_NAME_4_5,"5"
NEWBIE_ATTENDANCE_DESC_4_5,"5"
NEWBIE_ATTENDANCE_NAME_4_6,"6"
NEWBIE_ATTENDANCE_DESC_4_6,"6"
NEWBIE_ATTENDANCE_NAME_4_7,"7"
NEWBIE_ATTENDANCE_DESC_4_7,"7"
NEWBIE_ATTENDANCE_NAME_4_8,"8"
NEWBIE_ATTENDANCE_DESC_4_8,"8"
NEWBIE_ATTENDANCE_NAME_5_1,"1"
NEWBIE_ATTENDANCE_DESC_5_1,"1"
NEWBIE_ATTENDANCE_NAME_5_2,"2"
NEWBIE_ATTENDANCE_DESC_5_2,"2"
NEWBIE_ATTENDANCE_NAME_6_1,"1"
NEWBIE_ATTENDANCE_DESC_6_1,"1"
NEWBIE_ATTENDANCE_NAME_6_2,"2"
NEWBIE_ATTENDANCE_DESC_6_2,"2"
NEWBIE_ATTENDANCE_NAME_6_3,"3"
NEWBIE_ATTENDANCE_DESC_6_3,"3"
NEWBIE_ATTENDANCE_NAME_7_1,"1"
NEWBIE_ATTENDANCE_DESC_7_1,"1"
NEWBIE_ATTENDANCE_NAME_7_2,"2"
NEWBIE_ATTENDANCE_DESC_7_2,"2"
NEWBIE_ATTENDANCE_NAME_7_3,"3"
NEWBIE_ATTENDANCE_DESC_7_3,"3"
NEWBIE_ATTENDANCE_NAME_7_4,"4"
NEWBIE_ATTENDANCE_DESC_7_4,"4"
NEWBIE_ATTENDANCE_NAME_7_5,"5"
NEWBIE_ATTENDANCE_DESC_7_5,"5"
NEWBIE_ATTENDANCE_NAME_7_6,"6"
NEWBIE_ATTENDANCE_DESC_7_6,"6"
NEWBIE_ATTENDANCE_NAME_7_7,"7"
NEWBIE_ATTENDANCE_DESC_7_7,"7"
NEWBIE_ATTENDANCE_NAME_7_8,"8"
NEWBIE_ATTENDANCE_DESC_7_8,"8"
NEWBIE_ATTENDANCE_NAME_8_1,"1"
NEWBIE_ATTENDANCE_DESC_8_1,"1"
