KEY,"Portuguese"
NEWBIE_ATTENDANCE_NAME_1_1,"Mirianne de 3 Estrelas"
NEWBIE_ATTENDANCE_DESC_1_1,"Mirianne lhe dá as boas-vindas. Permita que a Mirianne de 3 Estrelas acompanhe você em sua jornada!\n(Se você já possuir o Herói, obterá 200 Fragmentos de Arma Única no lugar.)"
NEWBIE_ATTENDANCE_NAME_1_2,"5.000.000 de Ouro"
NEWBIE_ATTENDANCE_DESC_1_2,"Ouro é usado para comprar itens e Realçar equipamentos."
NEWBIE_ATTENDANCE_NAME_2_1,"Poção de Energia"
NEWBIE_ATTENDANCE_DESC_2_1,"Use Poção de Vigor para carregar o Vigor necessário para a batalha do Capitulo e Incursão."
NEWBIE_ATTENDANCE_NAME_2_2,"Fragmento de Justiça"
NEWBIE_ATTENDANCE_DESC_2_2,"Use Fragmento da Justiça para Despertar heróis das classes Cavaleiro, Guerreiro e Sacerdote.\nAcesse Salão dos Heróis para o despertar."
NEWBIE_ATTENDANCE_NAME_2_3,"Fragmento de Força"
NEWBIE_ATTENDANCE_DESC_2_3,"Use Fragmento da Força para Despertar heróis das classes Guerreiro, Arqueiro e Feiticeiro.\nAcesse Salão dos Heróis para o despertar."
NEWBIE_ATTENDANCE_NAME_2_4,"Fragmento de Sabedoria"
NEWBIE_ATTENDANCE_DESC_2_4,"Use Fragmento da Sabedoria para Despertar heróis das classes Assassino, Maquinista e Sacerdote.\nAcesse Salão dos Heróis para o despertar."
NEWBIE_ATTENDANCE_NAME_2_5,"Fragmento de Estratégia"
NEWBIE_ATTENDANCE_DESC_2_5,"Use Fragmento da Estratégia para Despertar heróis das classes Cavaleiro, Arqueiro e Maquinista.\nAcesse Salão dos Heróis para o despertar."
NEWBIE_ATTENDANCE_NAME_2_6,"Fragmento de Paciência"
NEWBIE_ATTENDANCE_DESC_2_6,"Use Fragmento da Paciência para Despertar heróis das classes Cavaleiro, Assassino e Sacerdote.\nAcesse Salão dos Heróis para o despertar."
NEWBIE_ATTENDANCE_NAME_2_7,"Fragmeto de Harmonia"
NEWBIE_ATTENDANCE_DESC_2_7,"Use Fragmento da Harmonia para Despertar heróis das classes Arqueiro, Feiticeiro e Sacerdote.\nAcesse Salão dos Heróis para o despertar."
NEWBIE_ATTENDANCE_NAME_2_8,"Fragmento de Sorte"
NEWBIE_ATTENDANCE_DESC_2_8,"Use Fragmento da Fortuna para Despertar heróis das classes Guerreiro, Assassino e Maquinista.\nAcesse Salão dos Heróis para o despertar."
NEWBIE_ATTENDANCE_NAME_3_1,"Poção XP (Extra-grande)"
NEWBIE_ATTENDANCE_DESC_3_1,"Use Poção de EXP para aumentar o nível dos seus heróis."
