KEY,Russian
NEWBIE_ATTENDANCE_NAME_1_1,Мириам (3 зв.)
NEWBIE_ATTENDANCE_DESC_1_1,"Мириам вам очень рада. Позвольте Мириам (3 зв.) присоединиться к вашим приключениям!\n(Если у вас уже есть этот герой, взамен вы получите 200 фрагментов спец. оружия.)"
NEWBIE_ATTENDANCE_NAME_1_2,"5,000,000 Золота"
NEWBIE_ATTENDANCE_DESC_1_2,Золото используется для покупки предметов и улучшения снаряжения.
NEWBIE_ATTENDANCE_NAME_2_1,Зелье Выносливости
NEWBIE_ATTENDANCE_DESC_2_1,"Используйте Зелье Выносливости, чтобы восполнить Выносливость, которая нужна для битв в главах и в Рейде."
NEWBIE_ATTENDANCE_NAME_2_2,Фрагмент справедливости
NEWBIE_ATTENDANCE_DESC_2_2,"Используйте Фрагмент Справедливости, чтобы пробудить героя класса Рыцарь, Воин или Жрец.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_2_3,Фрагмент силы
NEWBIE_ATTENDANCE_DESC_2_3,"Используйте Фрагмент Силы, чтобы пробудить героя класса Рыцарь, Лучник или Маг.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_2_4,Фрагмент мудрости
NEWBIE_ATTENDANCE_DESC_2_4,"Используйте Фрагмент Мудрости, чтобы пробудить героя класса Убийца, Механик или Маг.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_2_5,Фрагмент стратегии
NEWBIE_ATTENDANCE_DESC_2_5,"Используйте Фрагмент Стратегии, чтобы пробудить героя класса Рыцарь, Лучник или Механик.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_2_6,Фрагмент выдержки
NEWBIE_ATTENDANCE_DESC_2_6,"Используйте Фрагмент Выдержки, чтобы пробудить героя класса Рыцарь, Убийца или Жрец.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_2_7,Фрагмент гармонии
NEWBIE_ATTENDANCE_DESC_2_7,"Используйте Фрагмент Гармонии, чтобы пробудить героя класса Лучник, Маг или Жрец.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_2_8,Фрагмент удачи
NEWBIE_ATTENDANCE_DESC_2_8,"Используйте Фрагмент Удачи, чтобы пробудить героя класса Воин, Убийца или Механик.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_3_1,Зелье опыта (оч. больш.)
NEWBIE_ATTENDANCE_DESC_3_1,"Используйте Зелье Опыта, чтобы повысить уровень своих героев."
NEWBIE_ATTENDANCE_NAME_3_2,"5,000,000 Золота"
NEWBIE_ATTENDANCE_DESC_3_2,Золото используется для покупки предметов и улучшения снаряжения.
NEWBIE_ATTENDANCE_NAME_4_1,"5,000,000 Золота"
NEWBIE_ATTENDANCE_DESC_4_1,Золото используется для покупки предметов и улучшения снаряжения.
NEWBIE_ATTENDANCE_NAME_4_2,Фрагмент справедливости
NEWBIE_ATTENDANCE_DESC_4_2,"Используйте Фрагмент Справедливости, чтобы пробудить героя класса Рыцарь, Воин или Жрец.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_4_3,Фрагмент силы
NEWBIE_ATTENDANCE_DESC_4_3,"Используйте Фрагмент Силы, чтобы пробудить героя класса Рыцарь, Лучник или Маг.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_4_4,Фрагмент мудрости
NEWBIE_ATTENDANCE_DESC_4_4,"Используйте Фрагмент Мудрости, чтобы пробудить героя класса Убийца, Механик или Маг.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_4_5,Фрагмент стратегии
NEWBIE_ATTENDANCE_DESC_4_5,"Используйте Фрагмент Стратегии, чтобы пробудить героя класса Рыцарь, Лучник или Механик.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_4_6,Фрагмент выдержки
NEWBIE_ATTENDANCE_DESC_4_6,"Используйте Фрагмент Выдержки, чтобы пробудить героя класса Рыцарь, Убийца или Жрец.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_4_7,Фрагмент гармонии
NEWBIE_ATTENDANCE_DESC_4_7,"Используйте Фрагмент Гармонии, чтобы пробудить героя класса Лучник, Маг или Жрец.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_4_8,Фрагмент удачи
NEWBIE_ATTENDANCE_DESC_4_8,"Используйте Фрагмент Удачи, чтобы пробудить героя класса Воин, Убийца или Механик.\nПройдите в Зал Героев для того, чтобы пробудить Героя."
NEWBIE_ATTENDANCE_NAME_5_1,Билет на легендарное быстрое снаряжение тьмы П6
NEWBIE_ATTENDANCE_DESC_5_1,"Позволяет получить сундук с легендарным быстрым снаряжением тьмы П6 для вашего героя. Доступные типы героев: защитник, боец и поддержка.\nСундук с легендарным быстрым снаряжением тьмы П6 содержит 4 предмета легендарного быстрого снаряжения тьмы П6 с фиксированными оптимальными свойствами для выбранного типа героя."
NEWBIE_ATTENDANCE_NAME_5_2,Зелье опыта (высш. класс)
NEWBIE_ATTENDANCE_DESC_5_2,"Используйте Зелье Опыта, чтобы повысить уровень своих героев."
NEWBIE_ATTENDANCE_NAME_6_1,Загадочная руна: героич.
NEWBIE_ATTENDANCE_DESC_6_1,"Вставляйте Руны в ваше снаряжение, чтобы сделать его еще сильнее."
NEWBIE_ATTENDANCE_NAME_6_2,Магический порошок
NEWBIE_ATTENDANCE_DESC_6_2,"Используйте магический порошок, чтобы улучшить свойства снаряжения и повысить его ранги."
NEWBIE_ATTENDANCE_NAME_6_3,10 000 000 золота
NEWBIE_ATTENDANCE_DESC_6_3,Золото используется для покупки предметов и улучшения снаряжения.
NEWBIE_ATTENDANCE_NAME_7_1,Билет выбора костюма(школьная форма)
NEWBIE_ATTENDANCE_DESC_7_1,Вы можете увидеть своего героя в другом костюме.
NEWBIE_ATTENDANCE_NAME_7_2,Эссенция справедливости
NEWBIE_ATTENDANCE_DESC_7_2,"Используйте Эссенцию и Камень Бесконечности на герое класса Рыцарь, Воин или Жрец (5 звезд), чтобы пройти процесс Превосходства.\n После этого, данные герои смогут изучать навыки Превосходства.\nПройдите в Зал Героев для того, чтобы пройти процесс Превосходства."
NEWBIE_ATTENDANCE_NAME_7_3,Эссенция силы
