KEY,"Spanish"
NEWBIE_ATTENDANCE_NAME_1_1,"Mirianne de 3 estrellas"
NEWBIE_ATTENDANCE_DESC_1_1,"Mirianne te da la bienvenida. ¡Deja que Mirianne de 3 estrellas se una a tu travesía!\n(Si ya posees este héroe, obtendrás 200 fragmentos de arma única en su lugar)."
NEWBIE_ATTENDANCE_NAME_1_2,"5,000,000 de Oro"
NEWBIE_ATTENDANCE_DESC_1_2,"El Oro se utiliza para la compra de artículos y la Mejora del Equipo"
NEWBIE_ATTENDANCE_NAME_2_1,"Poción de Energía"
NEWBIE_ATTENDANCE_DESC_2_1,"Utiliza la Poción de Energía para recargarla, ya que es necesaria para la batalla del Capítulo y el Raid."
NEWBIE_ATTENDANCE_NAME_2_2,"Fragmento de la Justicia"
NEWBIE_ATTENDANCE_DESC_2_2,"Utiliza los Fragmentos de Justicia para Despertar a los héroes de Clase Caballero, Guerrero y Clérigo.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_2_3,"Fragmento de la Fuerza"
NEWBIE_ATTENDANCE_DESC_2_3,"Utiliza los Fragmentos de Fuerza para Despertar a los héroes de Clase Guerrero, Arquero y Hechicero.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_2_4,"Fragmento de la Sabiduría"
NEWBIE_ATTENDANCE_DESC_2_4,"Utiliza los Fragmentos de Sabiduría para Despertar a los héroes de Clase Asesino, Maquinista y Hechicero.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_2_5,"Fragmento de la Estrategia"
NEWBIE_ATTENDANCE_DESC_2_5,"Utiliza los Fragmentos de Estrategia para Despertar a los héroes de Clase Caballero, Arquero y Maquinista.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_2_6,"Fragmento de la Paciencia"
NEWBIE_ATTENDANCE_DESC_2_6,"Utiliza los Fragmentos de Paciencia para Despertar a los héroes de Clase Caballero, Asesino y Clérigo.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_2_7,"Fragmento de la Armonia"
NEWBIE_ATTENDANCE_DESC_2_7,"Utiliza los Fragmentos de Armonía para Despertar a los héroes de Clase Arquero, Hechicero y Clérigo.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_2_8,"Fragmento de la Fortuna"
NEWBIE_ATTENDANCE_DESC_2_8,"Utiliza los Fragmentos de Fortuna para Despertar a los héroes de Clase Caballero, Asesino y Maquinista.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_3_1,"Poción de la EXP (Extra Grande)"
NEWBIE_ATTENDANCE_DESC_3_1,"Utiliza la Poción de EXP para aumentar el nivel de tus héroes."
NEWBIE_ATTENDANCE_NAME_3_2,"5,000,000 de Oro"
NEWBIE_ATTENDANCE_DESC_3_2,"El Oro se utiliza para la compra de artículos y la Mejora del Equipo"
NEWBIE_ATTENDANCE_NAME_4_1,"5,000,000 de Oro"
NEWBIE_ATTENDANCE_DESC_4_1,"El Oro se utiliza para la compra de artículos y la Mejora del Equipo"
NEWBIE_ATTENDANCE_NAME_4_2,"Fragmento de la Justicia"
NEWBIE_ATTENDANCE_DESC_4_2,"Utiliza los Fragmentos de Justicia para Despertar a los héroes de Clase Caballero, Guerrero y Clérigo.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_4_3,"Fragmento de la Fuerza"
NEWBIE_ATTENDANCE_DESC_4_3,"Utiliza los Fragmentos de Fuerza para Despertar a los héroes de Clase Guerrero, Arquero y Hechicero.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_4_4,"Fragmento de la Sabiduría"
NEWBIE_ATTENDANCE_DESC_4_4,"Utiliza los Fragmentos de Sabiduría para Despertar a los héroes de Clase Asesino, Maquinista y Hechicero.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_4_5,"Fragmento de la Estrategia"
NEWBIE_ATTENDANCE_DESC_4_5,"Utiliza los Fragmentos de Estrategia para Despertar a los héroes de Clase Caballero, Arquero y Maquinista.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_4_6,"Fragmento de la Paciencia"
NEWBIE_ATTENDANCE_DESC_4_6,"Utiliza los Fragmentos de Paciencia para Despertar a los héroes de Clase Caballero, Asesino y Clérigo.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_4_7,"Fragmento de la Armonia"
NEWBIE_ATTENDANCE_DESC_4_7,"Utiliza los Fragmentos de Armonía para Despertar a los héroes de Clase Arquero, Hechicero y Clérigo.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_4_8,"Fragmento de la Fortuna"
NEWBIE_ATTENDANCE_DESC_4_8,"Utiliza los Fragmentos de Fortuna para Despertar a los héroes de Clase Caballero, Asesino y Maquinista.\nVe al Salón de Héroes para el Despertar."
NEWBIE_ATTENDANCE_NAME_5_1,"Boleto de equipo de oscuridad veloz legendario de T6"
