KEY,"Thai"
NEWBIE_ATTENDANCE_NAME_1_1,"Mirianne 3 ดาว"
NEWBIE_ATTENDANCE_DESC_1_1,"Mirianne พร้อมรับใช้ ให้ Mirianne 3 ดาวร่วมเดินทางกับคุณเลย!\n(หากมีฮีโร่อยู่แล้ว จะได้รับชิ้นส่วนอาวุธเฉพาะ 200 ชิ้นแทน)"
NEWBIE_ATTENDANCE_NAME_1_2,"ทอง 5,000,000"
NEWBIE_ATTENDANCE_DESC_1_2,"ทองนั้นสามารถใช้ในการซื้อไอเทมและอัพเกรดอุปกรณ์ต่างๆ"
NEWBIE_ATTENDANCE_NAME_2_1,"ขวดพลังงาน"
NEWBIE_ATTENDANCE_DESC_2_1,"ขวดพลังงานนั้นสามารถให้สเตมิน่าที่จำเป็นในการต่อสู้ในแชปเตอร์, เรดได้"
NEWBIE_ATTENDANCE_NAME_2_2,"ชิ้นส่วน แห่ง ความยุติธรรม"
NEWBIE_ATTENDANCE_DESC_2_2,"หากใช้ชิ้นส่วนแห่งความยุติธรรมจะสามารถวิวัฒนาการฮีโร่คลาสอัศวิน, นักรบ, นักบวชไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_2_3,"ชิ้้นส่วน แห่ง พลัง"
NEWBIE_ATTENDANCE_DESC_2_3,"หากใช้ชิ้นส่วนแห่งพลังจะสามารถวิวัฒนาการฮีโร่คลาสนักรบ, นักธนู, จอมเวทย์ไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_2_4,"ชิ้นส่่วน แห่ง ความรู้"
NEWBIE_ATTENDANCE_DESC_2_4,"หากใช้ชิ้นส่วนแห่งความรู้จะสามารถวิวัฒนาการฮีโร่คลาสนักลอบสังหาร, ช่างกล, จอมเวทย์ไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_2_5,"ชิ้นส่วน แห่ง กลยุทธ์"
NEWBIE_ATTENDANCE_DESC_2_5,"หากใช้ชิ้นส่วนแห่งกลยุทธ์จะสามารถวิวัฒนาการฮีโร่คลาสอัศวิน, นักธนู, ช่างกลไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_2_6,"ชิ้นส่วน แห่ง ความอดทน"
NEWBIE_ATTENDANCE_DESC_2_6,"หากใช้ชิ้นส่วนแห่งความอดทนจะสามารถวิวัฒนาการฮีโร่คลาสอัศวิน, นักลอบสังหาร, นักบวชไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_2_7,"ชิ้นส่วน แห่ง ความปรองดอง"
NEWBIE_ATTENDANCE_DESC_2_7,"หากใช้ชิ้นส่วนแห่งความปรองดองจะสามารถวิวัฒนาการฮีโร่คลาสนักธนู, จอมเวทย์, นักบวชไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_2_8,"ชิ้นส่วน แห่ง โชคลาภ"
NEWBIE_ATTENDANCE_DESC_2_8,"หากใช้ชิ้นส่วนแห่งโชคลาภจะสามารถวิวัฒนาการฮีโร่คลาสนักรบ, นักลอบสังหาร, ช่างกลไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_3_1,"น้ำยาประสบการณ์(ใหญ่พิเศษ)"
NEWBIE_ATTENDANCE_DESC_3_1,"หากใช้น้ำยาค่าประสบการณ์จะอัพเลเวลของฮีโร่ได้"
NEWBIE_ATTENDANCE_NAME_3_2,"ทอง 5,000,000"
NEWBIE_ATTENDANCE_DESC_3_2,"ทองนั้นสามารถใช้ในการซื้อไอเทมและอัพเกรดอุปกรณ์ต่างๆ"
NEWBIE_ATTENDANCE_NAME_4_1,"ทอง 5,000,000"
NEWBIE_ATTENDANCE_DESC_4_1,"ทองนั้นสามารถใช้ในการซื้อไอเทมและอัพเกรดอุปกรณ์ต่างๆ"
NEWBIE_ATTENDANCE_NAME_4_2,"ชิ้นส่วน แห่ง ความยุติธรรม"
NEWBIE_ATTENDANCE_DESC_4_2,"หากใช้ชิ้นส่วนแห่งความยุติธรรมจะสามารถวิวัฒนาการฮีโร่คลาสอัศวิน, นักรบ, นักบวชไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
NEWBIE_ATTENDANCE_NAME_4_3,"ชิ้้นส่วน แห่ง พลัง"
NEWBIE_ATTENDANCE_DESC_4_3,"หากใช้ชิ้นส่วนแห่งพลังจะสามารถวิวัฒนาการฮีโร่คลาสนักรบ, นักธนู, จอมเวทย์ไปยังระดับที่สูงขึ้นได้\nการวิวัฒนาการสามารถทำได้ที่วิหารอัศวิน"
