KEY,Vietnamese
NEWBIE_ATTENDANCE_NAME_1_1,Mirianne 3 sao
NEWBIE_ATTENDANCE_DESC_1_1,Mirianne chào mừng bạn. Hãy để Mirianne 3 sao đồng hành cùng bạn trên hành trình của bạn!\n(Nếu đã có anh hùng thì bạn sẽ nhận được 200 mảnh vũ khí chuyên dụng.)
NEWBIE_ATTENDANCE_NAME_1_2,"5,000,000 vàng"
NEWBIE_ATTENDANCE_DESC_1_2,Vàng được sử dụng vào việc cường hóa trang bị và mua vật phẩm.
NEWBIE_ATTENDANCE_NAME_2_1,Nước phép thể lực
NEWBIE_ATTENDANCE_DESC_2_1,Nước phép thể lực có thể làm đầy lượng stamina cần dùng tại trận đấu chương và Raid.
NEWBIE_ATTENDANCE_NAME_2_2,Mảnh ghép công lý
NEWBIE_ATTENDANCE_DESC_2_2,"Nếu sử dụng mảnh ghép công lý, có thể thức tỉnh cho các anh hùng Hiệp sĩ, Chiến binh, Linh mục lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_2_3,Mảnh ghép thần lực
NEWBIE_ATTENDANCE_DESC_2_3,"Nếu sử dụng mảnh ghép thần lực, có thể thức tỉnh cho các anh hùng Chiến binh, Cung thủ, Phù thủy lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_2_4,Mảnh ghép trí tuệ
NEWBIE_ATTENDANCE_DESC_2_4,"Nếu sử dụng mảnh ghép trí tuệ, có thể thức tỉnh cho các anh hùng Sát thủ, Thợ máy, Phù thủy lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_2_5,Mảnh ghép chiến thuật
NEWBIE_ATTENDANCE_DESC_2_5,"Nếu sử dụng mảnh ghép chiến thuật, có thể thức tỉnh cho các anh hùng Hiệp sĩ, Cung thủ, Thợ máy lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_2_6,Mảnh ghép kiên nhẫn
NEWBIE_ATTENDANCE_DESC_2_6,"Nếu sử dụng mảnh ghép kiên nhẫn, có thể thức tỉnh cho các anh hùng Hiệp sĩ, Sát thủ, Linh mục lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_2_7,Mảnh ghép hài hòa
NEWBIE_ATTENDANCE_DESC_2_7,"Nếu sử dụng mảnh ghép hài hòa, có thể thức tỉnh cho các anh hùng Cung thủ, Phù thủy, Linh mục lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_2_8,Mảnh ghép may mắn
NEWBIE_ATTENDANCE_DESC_2_8,"Nếu sử dụng mảnh ghép may mắn, có thể thức tỉnh cho các anh hùng Chiến binh, Sát thủ, Thợ máy lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_3_1,Nước phép kinh nghiệm (Cực lớn)
NEWBIE_ATTENDANCE_DESC_3_1,"Khi sử dụng nước phép kinh nghiệm, bạn có thể nâng cấp level của anh hùng."
NEWBIE_ATTENDANCE_NAME_3_2,"5,000,000 vàng"
NEWBIE_ATTENDANCE_DESC_3_2,Vàng được sử dụng vào việc cường hóa trang bị và mua vật phẩm.
NEWBIE_ATTENDANCE_NAME_4_1,"5,000,000 vàng"
NEWBIE_ATTENDANCE_DESC_4_1,Vàng được sử dụng vào việc cường hóa trang bị và mua vật phẩm.
NEWBIE_ATTENDANCE_NAME_4_2,Mảnh ghép công lý
NEWBIE_ATTENDANCE_DESC_4_2,"Nếu sử dụng mảnh ghép công lý, có thể thức tỉnh cho các anh hùng Hiệp sĩ, Chiến binh, Linh mục lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
NEWBIE_ATTENDANCE_NAME_4_3,Mảnh ghép thần lực
NEWBIE_ATTENDANCE_DESC_4_3,"Nếu sử dụng mảnh ghép thần lực, có thể thức tỉnh cho các anh hùng Chiến binh, Cung thủ, Phù thủy lên cấp độ cao hơn.\n Thức tỉnh có thể tiến hành tại Đại lộ anh hùng."
