KEY,Russian
28DAYS_ATTENDANCE,Посещение
NEWBIE_ATTENDANCE,15 дней специальных подарков!
VERONICAS_SPECIAL_PACKAGE,Журнал посещаемости Вероники совершенствования героя
COMEBACK_ATTENDANCE,"Подарок тому, кто вернулся!"
7DAYS_SPECIAL_ATTENDANCE,Уникальное событие: подарки за вход в течение 7 дней
MAY_SPECIAL_PACKAGE,Журнал посещаемости Мэй для новичка
9TH_CHAPTER_ATTENDANCE,Особые предложения в честь обновления 9 главы!
GOD_KING_2019_ATTENDANCE_NAME,Особая доска участия Короля-бога (14 дней)
1000TH_ANNIVERSARY_ATTENDANCE_NAME,Благодарственный подарок к ♡1000-дневному юбилею♡!
2020_NEW_YEAR_ATTENDANCE_TITLE,2020! Особый журнал посещаемости
