KEY,Spanish
28DAYS_ATTENDANCE,Asistencia
NEWBIE_ATTENDANCE,¡15 Días de Regalos Especiales!
VERONICAS_SPECIAL_PACKAGE,Asistencia de Héroes de Veronica
COMEBACK_ATTENDANCE,¡Regalo de Bienvenida!
7DAYS_SPECIAL_ATTENDANCE,Evento Especial de Asistencia de 7 Días
MAY_SPECIAL_PACKAGE,Registro para Principiantes de May
9TH_CHAPTER_ATTENDANCE,¡Conmemoración de la Actualización del Capítulo 9!
GOD_KING_2019_ATTENDANCE_NAME,Asistencia de 14 Días del Rey Dios
1000TH_ANNIVERSARY_ATTENDANCE_NAME,"♡1,000 Días♡ ¡Regalos de Agradecimiento!"
2020_NEW_YEAR_ATTENDANCE_TITLE,¡Asistencia Especial del 2020!
