KEY,ChineseSimplified
BATTLE.DAMAGE_TYPE.Critical,暴击
BATTLE.DAMAGE_TYPE.Block,格檔
BATTLE.DAMAGE_TYPE.Miss,未命中
BATTLE.DAMAGE_TYPE.Resist,抵抗
BATTLE.DAMAGE_TYPE.ImmunePhysical,物理免疫
BATTLE.DAMAGE_TYPE.ImmuneMagical,魔法免疫
BATTLE.STATE_TYPE_NAME.Allure,魅惑
BATTLE.STATE_TYPE_NAME.Banish,踢击
BATTLE.STATE_TYPE_NAME.Bleeding,流血
BATTLE.STATE_TYPE_NAME.Blind,盲目
BATTLE.STATE_TYPE_NAME.Burn,灼伤
BATTLE.STATE_TYPE_NAME.Down,击倒
BATTLE.STATE_TYPE_NAME.Electronic,电击
BATTLE.STATE_TYPE_NAME.Frozen,冰冻
BATTLE.STATE_TYPE_NAME.Knockback,击退
BATTLE.STATE_TYPE_NAME.Paralyze,麻痹
BATTLE.STATE_TYPE_NAME.Poison,中毒
BATTLE.STATE_TYPE_NAME.Shackle,束缚
BATTLE.STATE_TYPE_NAME.Silence,沉默
BATTLE.STATE_TYPE_NAME.Snow,雪球
BATTLE.STATE_TYPE_NAME.Stone,石化
BATTLE.STATE_TYPE_NAME.Stun,晕眩
BATTLE.STATE_TYPE_NAME.Debuff,状态异常
BATTLE.STATE_TYPE_NAME.Pulling,拉
BATTLE.STATE_TYPE_NAME.CC,状态异常
BATTLE.STATE_TYPE_NAME.Atkup,攻击力增加
BATTLE.STATE_TYPE_NAME.Defup,防御力增加
BATTLE.STATE_TYPE_NAME.SpdUp,速度增加
BATTLE.STATE_TYPE_NAME.Shield,防护罩
BATTLE.STATE_TYPE_DESC1,一定时间内呈现无法行动的状态。
BATTLE.STATE_TYPE_DESC2,一定时间内所有攻击不会命中。
BATTLE.STATE_TYPE_DESC3,一定时间内对特定对象使用一般攻击。
BATTLE.STATE_TYPE_DESC4,一定时间内呈现无法行动的状态且被击退。
BATTLE.STATE_TYPE_DESC5,一定时间内呈现无法行动的状态且拉过去。
BATTLE.STATE_TYPE_DESC6,一定时间内无法使用主动技能。
BATTLE.STATE_TYPE_DESC7,攻击力增加。
BATTLE.STATE_TYPE_DESC8,防御力增加。
BATTLE.STATE_TYPE_DESC9,速度增加。
BATTLE.STATE_TYPE_DESC10,获得防护罩。
RAID_WARNING_RED_DREGON_4,[FF8200]泰莫雷勒开始奋力振翅。
RAID_WARNING_BLUE_DREGON_4,[FF8200]史卡洛锡亚开始奋力振翅。
RAID_WARNING_BLUE_DREGON_5,[FF0000]史卡洛锡亚留下寒冰水晶就飞走了。
RAID_WARNING_GREEN_DREGON_4,[FF8200]吉尔基诺司开始奋力振翅。
RAID_WARNING_BLACK_DREGON_4,[FF8200]阿尔玛塔开始奋力振翅。
RAID_WARNING_MOUNTAIN_FORTRESS_4,[FF8200]山脉堡垒中心部位聚集一股巨大的能量。
RADE_WARNING_PROTIANUS_4,[FF8200]普罗提努斯引起海啸。
RAID_WARNING_SATRIA_3,[FF8200]黑暗之力凝聚在沙特里亚的枪上。
RAID_WARNING_KERBEREN_4,[FF8200]克贝伦以一副想要划开大地般的气势使用武器刺向下方。
RAID_WARNING_OBRIGARD_4,[FF8200]恶魔头骨甦醒了。
RAID_WARNING_MAVIEL_4,[FF8200]马彼耶尔融入暗影当中。
RAID_WARNING_NUBIS_3,[FF8200]纽琵司的尾巴流出满满的毒液。
RAID_WARNING_GUSHAK_3,[FF8200]裘夏克聚集剑气且跺足。
RAID_WARNING_NORDIK_3,[FF8200]诺勒帝扭转魔力形成暴风当中。
RAID_WARNING_MANTICORE_4,[FF8200]蝎尾狮准备使用爪攻击敌人。
RAID_WARNING_THORPE_4,[FF8200]托勒裴想要奋力跳跃。
RAID_WARNING_THORPE_CRASH,托勒裴失去重心跌倒了。
RAID_WARNING_TYRFAS_4,[FF8200]泰勒法斯跺脚引起雪崩。
RAID_WARNING_VELKAZAR_2,[FF8200]裴卡查勒凝聚爆炎之力。
RAID_WARNING_VELKAZAR_4,[FF0000]裴卡查勒召唤死刑之棺。
MAZE_WARNING_ARCHER_1,[FF8200]艾洛杰特呼唤了黑暗精灵。
MAZE_WARNING_WARRIOR_1,[FF8200]骷髅准备了强力的一击。
MAZE_WARNING_KNIGHT_1,[FF8200]哥德战士企图驱离敌人。
RAID_WARNING_LAKREIL_1,劳格雷尔开始投掷致命回力镖。
RAID_WARNING_LAKREIL_2,[FF8200]劳格雷尔准备发动肉弹突击。
RAID_WARNING_Xanadus_1,札娜杜思邀请前往深渊。
RAID_WARNING_Xanadus_2,[FF8200]札娜杜思施展了黑暗笼罩。
RAID_WARNING_Xanadus_3,札娜杜思奋力张开翅膀。
RAID_WARNING_Xanadus_4,[FF0000]札娜杜思企图呈现深渊的恶梦。
RAID_WARNING_Xanadus_5,[深渊灵魂石]强化了札娜杜思的攻击力。
RAID_WARNING_KALLAX_3,[FF0000]卡洛克兹为了审判而跳至空中。
RAID_WARNING_IMET_1,[FF0000]意迈特准备把友军困于沙之监牢\n并执行处刑。
RAID_WARNING_MSAMA_1,[FF0000]慕沙马开始积攒天空之力。
RAID_WARNING_SEKMAHA_1,[FF0000]塞克玛哈的流动已变更。
RAID_WARNING_IMET_2,[FF8200]因新王赐予的祝福，\n英雄们的体力得到了回复。
