KEY,"ChineseTraditional"
BATTLE.DAMAGE_TYPE.Critical,"暴擊"
BATTLE.DAMAGE_TYPE.Block,"格檔"
BATTLE.DAMAGE_TYPE.Miss,"未命中"
BATTLE.DAMAGE_TYPE.Resist,"抵抗"
BATTLE.DAMAGE_TYPE.ImmunePhysical,"物理免疫"
BATTLE.DAMAGE_TYPE.ImmuneMagical,"魔法免疫"
BATTLE.STATE_TYPE_NAME.Allure,"魅惑"
BATTLE.STATE_TYPE_NAME.Banish,"踢擊"
BATTLE.STATE_TYPE_NAME.Bleeding,"流血"
BATTLE.STATE_TYPE_NAME.Blind,"盲目"
BATTLE.STATE_TYPE_NAME.Burn,"灼傷"
BATTLE.STATE_TYPE_NAME.Down,"擊倒"
BATTLE.STATE_TYPE_NAME.Electronic,"電擊"
BATTLE.STATE_TYPE_NAME.Frozen,"冰凍"
BATTLE.STATE_TYPE_NAME.Knockback,"擊退"
BATTLE.STATE_TYPE_NAME.Paralyze,"麻痺"
BATTLE.STATE_TYPE_NAME.Poison,"中毒"
BATTLE.STATE_TYPE_NAME.Shackle,"束縛"
BATTLE.STATE_TYPE_NAME.Silence,"沉默"
BATTLE.STATE_TYPE_NAME.Snow,"雪球"
BATTLE.STATE_TYPE_NAME.Stone,"石化"
BATTLE.STATE_TYPE_NAME.Stun,"暈眩"
BATTLE.STATE_TYPE_NAME.Debuff,"狀態異常"
BATTLE.STATE_TYPE_NAME.Pulling,"拉"
BATTLE.STATE_TYPE_NAME.CC,"狀態異常"
BATTLE.STATE_TYPE_NAME.Atkup,"攻擊力增加"
BATTLE.STATE_TYPE_NAME.Defup,"防禦力增加"
BATTLE.STATE_TYPE_NAME.SpdUp,"速度增加"
BATTLE.STATE_TYPE_NAME.Shield,"防護罩"
BATTLE.STATE_TYPE_DESC1,"一定時間內呈現無法行動的狀態。"
BATTLE.STATE_TYPE_DESC2,"一定時間內所有攻擊不會命中。"
BATTLE.STATE_TYPE_DESC3,"一定時間內對特定對象使用一般攻擊。"
BATTLE.STATE_TYPE_DESC4,"一定時間內呈現無法行動的狀態且被擊退。"
BATTLE.STATE_TYPE_DESC5,"一定時間內呈現無法行動的狀態且拉過去。"
BATTLE.STATE_TYPE_DESC6,"一定時間內無法使用主動技能。"
BATTLE.STATE_TYPE_DESC7,"攻擊力增加。"
BATTLE.STATE_TYPE_DESC8,"防禦力增加。"
BATTLE.STATE_TYPE_DESC9,"速度增加。"
BATTLE.STATE_TYPE_DESC10,"獲得防護罩。"
RAID_WARNING_RED_DREGON_4,"[FF8200]泰莫雷勒開始奮力振翅。"
RAID_WARNING_BLUE_DREGON_4,"[FF8200]史卡洛錫亞開始奮力振翅。"
RAID_WARNING_BLUE_DREGON_5,"[FF0000]史卡洛錫亞留下寒冰水晶就飛走了。"
RAID_WARNING_GREEN_DREGON_4,"[FF8200]吉爾基諾司開始奮力振翅。"
RAID_WARNING_BLACK_DREGON_4,"[FF8200]阿爾瑪塔開始奮力振翅。"
RAID_WARNING_MOUNTAIN_FORTRESS_4,"[FF8200]山脈堡壘中心部位聚集一股巨大的能量。"
RADE_WARNING_PROTIANUS_4,"[FF8200]普羅提努斯引起海嘯。"
RAID_WARNING_SATRIA_3,"[FF8200]黑暗之力凝聚在沙特里亞的槍上。"
RAID_WARNING_KERBEREN_4,"[FF8200]克貝倫以一副想要劃開大地般的氣勢使用武器刺向下方。"
RAID_WARNING_OBRIGARD_4,"[FF8200]惡魔頭骨甦醒了。"
RAID_WARNING_MAVIEL_4,"[FF8200]馬彼耶爾融入暗影當中。"
RAID_WARNING_NUBIS_3,"[FF8200]紐琵司的尾巴流出滿滿的毒液。"
RAID_WARNING_GUSHAK_3,"[FF8200]裘夏克聚集劍氣且跺足。"
RAID_WARNING_NORDIK_3,"[FF8200]諾勒帝扭轉魔力形成暴風當中。"
RAID_WARNING_MANTICORE_4,"[FF8200]蠍尾獅準備使用爪攻擊敵人。"
RAID_WARNING_THORPE_4,"[FF8200]托勒裴想要奮力跳躍。"
RAID_WARNING_THORPE_CRASH,"托勒裴失去重心跌倒了。"
RAID_WARNING_TYRFAS_4,"[FF8200]泰勒法斯跺腳引起雪崩。"
RAID_WARNING_VELKAZAR_2,"[FF8200]裴卡查勒凝聚爆炎之力。"
RAID_WARNING_VELKAZAR_4,"[FF0000]裴卡查勒召喚死刑之棺。"
MAZE_WARNING_ARCHER_1,"[FF8200]艾洛杰特呼喚了黑暗精靈。"
MAZE_WARNING_WARRIOR_1,"[FF8200]骷髏準備了強力的一擊。"
MAZE_WARNING_KNIGHT_1,"[FF8200]哥德戰士企圖驅離敵人。"
RAID_WARNING_LAKREIL_1,"[FF8200]勞格雷爾開始投擲致命回力鏢。"
RAID_WARNING_LAKREIL_2,"[FF8200]勞格雷爾準備發動肉彈突擊。"
RAID_WARNING_Xanadus_1,"札娜杜思邀請前往深淵。"
RAID_WARNING_Xanadus_2,"[FF8200]札娜杜思施展了黑暗籠罩。"
RAID_WARNING_Xanadus_3,"札娜杜思奮力張開翅膀。"
RAID_WARNING_Xanadus_4,"[FF0000]札娜杜思企圖呈現深淵的惡夢。"
RAID_WARNING_Xanadus_5,"[深淵靈魂石]強化了札娜杜思的攻擊力。"
