KEY,"French"
BATTLE.DAMAGE_TYPE.Critical,"Coup Critique"
BATTLE.DAMAGE_TYPE.Block,"Blocage"
BATTLE.DAMAGE_TYPE.Miss,"Raté"
BATTLE.DAMAGE_TYPE.Resist,"Résisté"
BATTLE.DAMAGE_TYPE.ImmunePhysical,"Immunité Physique"
BATTLE.DAMAGE_TYPE.ImmuneMagical,"Immunité Magique"
BATTLE.STATE_TYPE_NAME.Allure,"Charmé"
BATTLE.STATE_TYPE_NAME.Banish,"Interrompu"
BATTLE.STATE_TYPE_NAME.Bleeding,"Saignement"
BATTLE.STATE_TYPE_NAME.Blind,"Aveuglement"
BATTLE.STATE_TYPE_NAME.Burn,"Brûlure"
BATTLE.STATE_TYPE_NAME.Down,"Projection"
BATTLE.STATE_TYPE_NAME.Electronic,"Choc Electrique"
BATTLE.STATE_TYPE_NAME.Frozen,"Gel"
BATTLE.STATE_TYPE_NAME.Knockback,"Renversement"
BATTLE.STATE_TYPE_NAME.Paralyze,"Paralysie"
BATTLE.STATE_TYPE_NAME.Poison,"Poison"
BATTLE.STATE_TYPE_NAME.Shackle,"Entrave"
BATTLE.STATE_TYPE_NAME.Silence,"Silence"
BATTLE.STATE_TYPE_NAME.Snow,"Boule de neige"
BATTLE.STATE_TYPE_NAME.Stone,"Pétrifier"
BATTLE.STATE_TYPE_NAME.Stun,"Etourdissement"
BATTLE.STATE_TYPE_NAME.Debuff,"Affaiblissement"
BATTLE.STATE_TYPE_NAME.Pulling,"Attirer"
BATTLE.STATE_TYPE_NAME.CC,"Affaiblissement"
BATTLE.STATE_TYPE_NAME.Atkup,"Augmentation d'ATQ"
BATTLE.STATE_TYPE_NAME.Defup,"Augmentation de DEF"
BATTLE.STATE_TYPE_NAME.SpdUp,"Augmentation de Vit."
BATTLE.STATE_TYPE_NAME.Shield,"Bouclier"
BATTLE.STATE_TYPE_DESC1,"Déplacement impossible pendant un certain temps."
BATTLE.STATE_TYPE_DESC2,"Échec de toutes les attaques pendant un certain temps."
BATTLE.STATE_TYPE_DESC3,"Attaque d'une cible spécifique avec des attaques normales pendant un certain temps."
BATTLE.STATE_TYPE_DESC4,"Déplacement impossible pendant un certain temps, possibilité de se faire repousser."
BATTLE.STATE_TYPE_DESC5,"Déplacement impossible pendant un certain temps, possibilité de se faire éloigner."
BATTLE.STATE_TYPE_DESC6,"Utilisation des compétences actives impossible pendant un certain temps."
BATTLE.STATE_TYPE_DESC7,"Augmente l'ATQ."
BATTLE.STATE_TYPE_DESC8,"Augmente la DEF."
BATTLE.STATE_TYPE_DESC9,"Augmente la Vitesse."
BATTLE.STATE_TYPE_DESC10,"Procure un bouclier."
RAID_WARNING_RED_DREGON_4,"[FF8200]Téméraire commence à battre puissamment des ailes."
RAID_WARNING_BLUE_DREGON_4,"[FF8200]Scalaxia commence à battre puissamment des ailes."
RAID_WARNING_BLUE_DREGON_5,"[FF0000]Scalaxia s'envole, abandonnant un cristal de glace au sol."
RAID_WARNING_GREEN_DREGON_4,"[FF8200]Zyrrkinoth commence à battre puissamment des ailes."
RAID_WARNING_BLACK_DREGON_4,"[FF8200]Armarta commence à battre puissamment des ailes."
RAID_WARNING_MOUNTAIN_FORTRESS_4,"[FF8200]Le noyau de la Forteresse de la Montagne accumule énormément d'énergie."
RADE_WARNING_PROTIANUS_4,"[FF8200]Protianus cause un Tsunami."
RAID_WARNING_SATRIA_3,"[FF8200]Satria concentre le pouvoir des ténèbres dans sa lance."
RAID_WARNING_KERBEREN_4,"[FF8200]Kerberen assène un coup dévastateur au sol."
RAID_WARNING_OBRIGARD_4,"[FF8200]Le Crâne de démon s'éveille."
RAID_WARNING_MAVIEL_4,"[FF8200]Maviel se dissimule dans les ombres."
RAID_WARNING_NUBIS_3,"[FF8200]Un poison pestilentiel sort de la queue de Nubis."
RAID_WARNING_GUSHAK_3,"[FF8200]Gushak charge son épée d'énergie, puis tape du pied."
RAID_WARNING_NORDIK_3,"[FF8200]Nordik manipule le mana pour créer une tempête."
RAID_WARNING_MANTICORE_4,"[FF8200]La manticore donne un coup de griffe à son ennemi."
RAID_WARNING_THORPE_4,"[FF8200]Thorpe essaie de sauter."
RAID_WARNING_THORPE_CRASH,"Thorpe perd l'équilibre et tombe."
RAID_WARNING_TYRFAS_4,"[FF8200]Tyrfas tape du pied, ce qui provoque une avalanche."
RAID_WARNING_VELKAZAR_2,"[FF8200]Velkazar s'entoure de flammes ardentes."
RAID_WARNING_VELKAZAR_4,"[FF0000]Velkazar invoque le Cercueil du bourreau."
MAZE_WARNING_ARCHER_1,"[FF8200]El Rosed fait appel aux elfes noirs."
MAZE_WARNING_WARRIOR_1,"[FF8200]Le squelette prépare une attaque puissante."
MAZE_WARNING_KNIGHT_1,"[FF8200]Le guerrier gothique tente de bannir l'ennemi."
RAID_WARNING_LAKREIL_1,"[FF8200]Lakreil commence à lancer des boomerangs mortels."
RAID_WARNING_LAKREIL_2,"[FF8200]Lakreil se prépare à lancer Fracas corporel."
RAID_WARNING_Xanadus_1,"Xanadus vous invite dans les abysses."
RAID_WARNING_Xanadus_2,"[FF8200]Xanadus ouvre le Rideau de l'ombre."
RAID_WARNING_Xanadus_3,"Xanadus déploie entièrement ses ailes."
RAID_WARNING_Xanadus_4,"[FF0000]Xanadus essaie de matérialiser\nle Cauchemar des abysses."
RAID_WARNING_Xanadus_5,"[Pierre d'âme des abysses] augmente l'ATQ de Xanadus."
