KEY,German
BATTLE.DAMAGE_TYPE.Critical,Kritischer Treffer
BATTLE.DAMAGE_TYPE.Block,Geblockt
BATTLE.DAMAGE_TYPE.Miss,Verfehlt
BATTLE.DAMAGE_TYPE.Resist,Widerstanden
BATTLE.DAMAGE_TYPE.ImmunePhysical,Körp. immun
BATTLE.DAMAGE_TYPE.ImmuneMagical,Mag. immun
BATTLE.STATE_TYPE_NAME.Allure,Bezaubert
BATTLE.STATE_TYPE_NAME.Banish,Verbannt
BATTLE.STATE_TYPE_NAME.Bleeding,Blutung
BATTLE.STATE_TYPE_NAME.Blind,Geblendet
BATTLE.STATE_TYPE_NAME.Burn,Verbrennung
BATTLE.STATE_TYPE_NAME.Down,Umgefallen
BATTLE.STATE_TYPE_NAME.Electronic,Elektrischer Schock
BATTLE.STATE_TYPE_NAME.Frozen,Frost
BATTLE.STATE_TYPE_NAME.Knockback,Rückschlag
BATTLE.STATE_TYPE_NAME.Paralyze,Gelähmt
BATTLE.STATE_TYPE_NAME.Poison,Vergiftet
BATTLE.STATE_TYPE_NAME.Shackle,Gefesselt
BATTLE.STATE_TYPE_NAME.Silence,Schweigen
BATTLE.STATE_TYPE_NAME.Snow,Schneeball
BATTLE.STATE_TYPE_NAME.Stone,Versteinerung
BATTLE.STATE_TYPE_NAME.Stun,Betäubt
BATTLE.STATE_TYPE_NAME.Debuff,Massenkontrolle
BATTLE.STATE_TYPE_NAME.Pulling,Herangezogen
BATTLE.STATE_TYPE_NAME.CC,Massenkontrolle
BATTLE.STATE_TYPE_NAME.Atkup,ANG-Boost
BATTLE.STATE_TYPE_NAME.Defup,VERT-Boost
BATTLE.STATE_TYPE_NAME.SpdUp,GESCHW-Boost
BATTLE.STATE_TYPE_NAME.Shield,Schild
BATTLE.STATE_TYPE_DESC1,Kann sich für eine bestimmte Zeit nicht bewegen.
BATTLE.STATE_TYPE_DESC2,Alle Angriffe verfehlen das Ziel für eine bestimmte Zeit.
BATTLE.STATE_TYPE_DESC3,Greift ein gewisses Ziel für bestimmte Zeit mit normalen Angriffen an.
BATTLE.STATE_TYPE_DESC4,Kann sich für eine bestimmte Zeitspanne nicht bewegen und somit zurückgestoßen werden.
BATTLE.STATE_TYPE_DESC5,Kann sich für eine bestimmte Zeitspanne nicht bewegen und somit weggezogen werden.
BATTLE.STATE_TYPE_DESC6,Kann für eine bestimmte Zeitspanne keine aktiven Skills einsetzen.
BATTLE.STATE_TYPE_DESC7,Erhöht ANG.
BATTLE.STATE_TYPE_DESC8,Erhöht VERT.
BATTLE.STATE_TYPE_DESC9,Erhöht GESCHW.
BATTLE.STATE_TYPE_DESC10,Erhält einen Schild.
RAID_WARNING_RED_DREGON_4,[FF8200]Temeraire schlägt kräftig mit den Flügeln.
RAID_WARNING_BLUE_DREGON_4,[FF8200]Scalaxias schlägt kräftig mit den Flügeln.
RAID_WARNING_BLUE_DREGON_5,[FF0000]Scalaxia steigt in die Luft und hinterlässt einen Eiskristall.
RAID_WARNING_GREEN_DREGON_4,[FF8200]Zyrrkinoth schlägt kräftig mit den Flügeln.
RAID_WARNING_BLACK_DREGON_4,[FF8200]Armarta schlägt kräftig mit den Flügeln.
RAID_WARNING_MOUNTAIN_FORTRESS_4,[FF8200]Die Gebirgsfestung lädt enorme Energie in ihrem Kern auf.
RADE_WARNING_PROTIANUS_4,[FF8200]Protianus verursacht Tsunami.
RAID_WARNING_SATRIA_3,[FF8200]Satria konzentriert die Kraft der Dunkelheit in ihrem Speer.
RAID_WARNING_KERBEREN_4,[FF8200]Kerberen schlägt heftig auf den Boden.
RAID_WARNING_OBRIGARD_4,[FF8200]Der Dämonenschädel erwacht.
RAID_WARNING_MAVIEL_4,[FF8200]Maviel versteckt sich im Schatten.
RAID_WARNING_NUBIS_3,[FF8200]Nubis Schwanz versprüht giftiges Gas.
RAID_WARNING_GUSHAK_3,[FF8200]Gushak sammelt Energie in seinem Schwert und stampft mit seinem Fuß.
RAID_WARNING_NORDIK_3,"[FF8200]Nordik manipuliert Mana, um einen Sturm zu erschaffen."
RAID_WARNING_MANTICORE_4,[FF8200]Mantikor kratzt seinen Feind.
RAID_WARNING_THORPE_4,"[FF8200]Thorpe versucht, zu springen."
RAID_WARNING_THORPE_CRASH,Thorpe verliert das Gleichgewicht und fällt zu Boden.
RAID_WARNING_TYRFAS_4,[FF8200]Tyrfas stampft mit dem Fuß auf und verursacht eine Lawine.
RAID_WARNING_VELKAZAR_2,[FF8200]Velkazar beschwört lodernde Flammen um sich herum.
RAID_WARNING_VELKAZAR_4,[FF0000]Velkazar beschwört Henkersarg.
