KEY,Japanese
BATTLE.DAMAGE_TYPE.Critical,クリティカル
BATTLE.DAMAGE_TYPE.Block,ガード
BATTLE.DAMAGE_TYPE.Miss,MISS
BATTLE.DAMAGE_TYPE.Resist,耐性
BATTLE.DAMAGE_TYPE.ImmunePhysical,物理無効
BATTLE.DAMAGE_TYPE.ImmuneMagical,魔法無効
BATTLE.STATE_TYPE_NAME.Allure,魅了
BATTLE.STATE_TYPE_NAME.Banish,追放
BATTLE.STATE_TYPE_NAME.Bleeding,出血
BATTLE.STATE_TYPE_NAME.Blind,暗闇
BATTLE.STATE_TYPE_NAME.Burn,火傷
BATTLE.STATE_TYPE_NAME.Down,転倒
BATTLE.STATE_TYPE_NAME.Electronic,感電
BATTLE.STATE_TYPE_NAME.Frozen,氷結
BATTLE.STATE_TYPE_NAME.Knockback,押し飛ばし
BATTLE.STATE_TYPE_NAME.Paralyze,痺れ
BATTLE.STATE_TYPE_NAME.Poison,毒
BATTLE.STATE_TYPE_NAME.Shackle,束縛
BATTLE.STATE_TYPE_NAME.Silence,沈黙
BATTLE.STATE_TYPE_NAME.Snow,雪だるま
BATTLE.STATE_TYPE_NAME.Stone,石化
BATTLE.STATE_TYPE_NAME.Stun,気絶
BATTLE.STATE_TYPE_NAME.Debuff,状態異常
BATTLE.STATE_TYPE_NAME.Pulling,引き寄せ
BATTLE.STATE_TYPE_NAME.CC,状態異常
BATTLE.STATE_TYPE_NAME.Atkup,攻撃力増加
BATTLE.STATE_TYPE_NAME.Defup,防御力増加
BATTLE.STATE_TYPE_NAME.SpdUp,速度増加
BATTLE.STATE_TYPE_NAME.Shield,シールド
BATTLE.STATE_TYPE_DESC1,一定時間の間、行動不能状態になります。
BATTLE.STATE_TYPE_DESC2,一定時間の間、すべての攻撃がMISSとなります。
BATTLE.STATE_TYPE_DESC3,一定時間の間、特定の対象を通常攻撃で攻撃します。
BATTLE.STATE_TYPE_DESC4,一定時間の間、行動不能状態になり、後ろに押し飛ばされます。
BATTLE.STATE_TYPE_DESC5,一定時間の間、行動不能状態になり、前方向に引き寄せられます。
BATTLE.STATE_TYPE_DESC6,一定時間の間、アクティブスキルを使用できません。
BATTLE.STATE_TYPE_DESC7,攻撃力が増加します。
BATTLE.STATE_TYPE_DESC8,防御力が増加します。
BATTLE.STATE_TYPE_DESC9,速度が増加します。
BATTLE.STATE_TYPE_DESC10,シールドを獲得します。
RAID_WARNING_RED_DREGON_4,[FF8200]テメレルが強く羽ばたき出します。
RAID_WARNING_BLUE_DREGON_4,[FF8200]スカラシアが強く羽ばたき出します。
RAID_WARNING_BLUE_DREGON_5,[FF0000]スカラシアが氷水晶を残し飛び上がります。
RAID_WARNING_GREEN_DREGON_4,[FF8200]ジルキノスが強く羽ばたき出します。
RAID_WARNING_BLACK_DREGON_4,[FF8200]アルマータが強く羽ばたき出します。
RAID_WARNING_MOUNTAIN_FORTRESS_4,[FF8200]マウンテン・フォートレスの中心に巨大なエネルギーが集まっています。
RADE_WARNING_PROTIANUS_4,[FF8200]プロティアヌスが大津波を起します。
RAID_WARNING_SATRIA_3,[FF8200]サトリアの槍に闇の力が宿り始めます。
RAID_WARNING_KERBEREN_4,[FF8200]ケルベレンが地を割る勢いで武器を打ち下ろします。
RAID_WARNING_OBRIGARD_4,[FF8200]悪魔の頭蓋骨が目を覚めます。
RAID_WARNING_MAVIEL_4,[FF8200]マビエルが影の中に溶け込みます。
RAID_WARNING_NUBIS_3,[FF8200]ヌビスの尾から毒液が溢れ出ています。
RAID_WARNING_GUSHAK_3,[FF8200]グシャクが剣気を集めながら足を踏み鳴らします。
RAID_WARNING_NORDIK_3,[FF8200]ノルディクが魔力をねじり嵐を作り始めます。
RAID_WARNING_MANTICORE_4,[FF8200]マンティコアが敵を引っ搔こうとしています。
RAID_WARNING_THORPE_4,[FF8200]トールペが力強く飛び上がろうとしています。
RAID_WARNING_THORPE_CRASH,[FF8200]トールペがバランスを崩して倒れます。
RAID_WARNING_TYRFAS_4,[FF8200]ティルファスが地団駄を踏んで雪崩を引き起こします。
RAID_WARNING_VELKAZAR_2,[FF8200]ヴェルカザールが爆炎の力を集めます。
RAID_WARNING_VELKAZAR_4,[FF0000]ヴェルカザールが処刑の棺を召喚します。
MAZE_WARNING_ARCHER_1,[FF8200]エル・ロゼドがダークエルフを喚び出します
MAZE_WARNING_WARRIOR_1,[FF8200]スケルトンが強力な一撃を準備しています
MAZE_WARNING_KNIGHT_1,[FF8200]ゴシック・ウォリアーが\n敵を追放しようとしています
RAID_WARNING_LAKREIL_1,[FF8200]ラクレールがフェイタルブーメランを\n投げ始めます。
RAID_WARNING_LAKREIL_2,[FF8200]ラクレールがフューリアスアサルトを\n準備しています。
RAID_WARNING_Xanadus_1,ザナドゥスが深淵へと招待します
RAID_WARNING_Xanadus_2,[FF8200]ザナドゥスが闇のカーテンを展開します
RAID_WARNING_Xanadus_3,ザナドゥスが翼を大きく反らせます
RAID_WARNING_Xanadus_4,[FF0000]ザナドゥスが深淵の悪夢を発動しようとしています
RAID_WARNING_Xanadus_5,[深淵の霊魂石]がザナドゥスの攻撃力を強化します。
RAID_WARNING_KALLAX_3,[FF0000]カラックスが審判を下すため、空に飛び上がります。
RAID_WARNING_IMET_1,[FF0000]イメットが味方を砂監獄に閉じ込めて\n処刑しようとしています。
RAID_WARNING_MSAMA_1,[FF0000]ムサマが空の力を集め始めます。
RAID_WARNING_SEKMAHA_1,[FF0000]セクマハの流れが変わりました。
RAID_WARNING_IMET_2,[FF8200]神王が祝福を与えて\n英雄のHPが回復します。
