KEY,"Korean"
BATTLE.DAMAGE_TYPE.Critical,"치명타"
BATTLE.DAMAGE_TYPE.Block,"방어"
BATTLE.DAMAGE_TYPE.Miss,"빗나감"
BATTLE.DAMAGE_TYPE.Resist,"저항"
BATTLE.DAMAGE_TYPE.ImmunePhysical,"물리 면역"
BATTLE.DAMAGE_TYPE.ImmuneMagical,"마법 면역"
BATTLE.STATE_TYPE_NAME.Allure,"매료"
BATTLE.STATE_TYPE_NAME.Banish,"추방"
BATTLE.STATE_TYPE_NAME.Bleeding,"출혈"
BATTLE.STATE_TYPE_NAME.Blind,"실명"
BATTLE.STATE_TYPE_NAME.Burn,"화상"
BATTLE.STATE_TYPE_NAME.Down,"넘어짐"
BATTLE.STATE_TYPE_NAME.Electronic,"감전"
BATTLE.STATE_TYPE_NAME.Frozen,"빙결"
BATTLE.STATE_TYPE_NAME.Knockback,"밀치기"
BATTLE.STATE_TYPE_NAME.Paralyze,"마비"
BATTLE.STATE_TYPE_NAME.Poison,"독"
BATTLE.STATE_TYPE_NAME.Shackle,"속박"
BATTLE.STATE_TYPE_NAME.Silence,"침묵"
BATTLE.STATE_TYPE_NAME.Snow,"눈뭉치"
BATTLE.STATE_TYPE_NAME.Stone,"석화"
BATTLE.STATE_TYPE_NAME.Stun,"기절"
BATTLE.STATE_TYPE_NAME.Debuff,"상태이상"
BATTLE.STATE_TYPE_NAME.Pulling,"당기기"
BATTLE.STATE_TYPE_NAME.CC,"상태이상"
BATTLE.STATE_TYPE_NAME.Atkup,"공격력 증가"
BATTLE.STATE_TYPE_NAME.Defup,"방어력 증가"
BATTLE.STATE_TYPE_NAME.SpdUp,"속도 증가"
BATTLE.STATE_TYPE_NAME.Shield,"보호막"
BATTLE.STATE_TYPE_DESC1,"일정 시간 동안 행동불능 상태가 됩니다."
BATTLE.STATE_TYPE_DESC2,"일정 시간 동안 모든 공격이 빗나갑니다."
BATTLE.STATE_TYPE_DESC3,"일정 시간 동안 특정 대상을 일반 공격으로 공격합니다."
BATTLE.STATE_TYPE_DESC4,"일정 시간 동안 행동불능 상태가 되며 밀려납니다."
BATTLE.STATE_TYPE_DESC5,"일정 시간 동안 행동 불능 상태가 되며 끌려갑니다."
BATTLE.STATE_TYPE_DESC6,"일정 시간 동안 액티브 스킬을 사용할 수 없습니다."
BATTLE.STATE_TYPE_DESC7,"공격력이 증가합니다."
BATTLE.STATE_TYPE_DESC8,"방어력이 증가합니다."
BATTLE.STATE_TYPE_DESC9,"속도가 증가합니다."
BATTLE.STATE_TYPE_DESC10,"보호막을 획득합니다."
RAID_WARNING_RED_DREGON_4,"[FF8200]테메레르가 힘차게 날갯짓을 시작합니다."
RAID_WARNING_BLUE_DREGON_4,"[FF8200]스칼락시아가 힘차게 날갯짓을 시작합니다."
RAID_WARNING_BLUE_DREGON_5,"[FF0000]스칼락시아가 얼음수정을 남기고 날아오릅니다."
RAID_WARNING_GREEN_DREGON_4,"[FF8200]지르키노스가 힘차게 날갯짓을 시작합니다."
RAID_WARNING_BLACK_DREGON_4,"[FF8200]아르마타가 힘차게 날갯짓을 시작합니다."
RAID_WARNING_MOUNTAIN_FORTRESS_4,"[FF8200]마운틴 포트리스 중심에 거대한 에너지가 모입니다."
RADE_WARNING_PROTIANUS_4,"[FF8200]프로티아누스가 해일을 일으킵니다."
RAID_WARNING_SATRIA_3,"[FF8200]사트리아의 창에 어둠의 힘이 모입니다."
RAID_WARNING_KERBEREN_4,"[FF8200]케베른이 땅을 가를 기세로 무기를 찍어 내립니다."
RAID_WARNING_OBRIGARD_4,"[FF8200]악마의 두개골이 깨어납니다."
RAID_WARNING_MAVIEL_4,"[FF8200]마비엘이 그림자 속에 녹아듭니다."
RAID_WARNING_NUBIS_3,"[FF8200]뉴비스의 꼬리에서 독액이 흘러 넘칩니다."
RAID_WARNING_GUSHAK_3,"[FF8200]구샤크가 검기를 모으며 발을 구릅니다."
RAID_WARNING_NORDIK_3,"[FF8200]노르딕이 마력을 비틀어 폭풍을 만들고 있습니다."
RAID_WARNING_MANTICORE_4,"[FF8200]만티코어가 적을 할퀴려 합니다."
RAID_WARNING_THORPE_4,"[FF8200]토르페가 힘차게 뛰어오르려 합니다."
RAID_WARNING_THORPE_CRASH,"토르페가 중심을 잃고 넘어집니다."
RAID_WARNING_TYRFAS_4,"[FF8200]티르파스가 발을 굴러 눈사태를 일으킵니다."
RAID_WARNING_VELKAZAR_2,"[FF8200]벨카자르가 폭염의 힘을 모읍니다."
RAID_WARNING_VELKAZAR_4,"[FF0000]벨카자르가 처형의 관을 소환합니다."
MAZE_WARNING_ARCHER_1,"[FF8200]엘로제드가 다크엘프들을 부릅니다."
MAZE_WARNING_WARRIOR_1,"[FF8200]스켈레톤이 강력한 일격을 준비합니다."
MAZE_WARNING_KNIGHT_1,"[FF8200]고트 전사가 적을 추방하려 합니다."
RAID_WARNING_LAKREIL_1,"[FF0000]라크레일이 치명적인 부메랑을 던지기 시작합니다."
RAID_WARNING_LAKREIL_2,"[FF8200]라크레일이 육탄돌격을 준비합니다."
RAID_WARNING_Xanadus_1,"쟈나두스가 심연으로 초대합니다."
RAID_WARNING_Xanadus_2,"[FF8200]쟈나두스가 어둠의 장막을 펼칩니다."
RAID_WARNING_Xanadus_3,"쟈나두스가 날개를 크게 젖힙니다."
RAID_WARNING_Xanadus_4,"[FF0000]쟈나두스가 심연의 악몽을 발현시키려 합니다"
RAID_WARNING_Xanadus_5,"[심연의 영혼석]이 쟈나두스의 공격력을 강화시킵니다."
RAID_WARNING_KALLAX_3,"[FF0000]칼락스가 심판을 위해 하늘로 도약합니다."
