KEY,"Portuguese"
BATTLE.DAMAGE_TYPE.Critical,"Acerto Critico"
BATTLE.DAMAGE_TYPE.Block,"Bloquear"
BATTLE.DAMAGE_TYPE.Miss,"Errar"
BATTLE.DAMAGE_TYPE.Resist,"Resistir"
BATTLE.DAMAGE_TYPE.ImmunePhysical,"Imune a Físico"
BATTLE.DAMAGE_TYPE.ImmuneMagical,"Imune à Magia"
BATTLE.STATE_TYPE_NAME.Allure,"Encanto"
BATTLE.STATE_TYPE_NAME.Banish,"Chutar"
BATTLE.STATE_TYPE_NAME.Bleeding,"Sangrar"
BATTLE.STATE_TYPE_NAME.Blind,"Cegar"
BATTLE.STATE_TYPE_NAME.Burn,"Queimar"
BATTLE.STATE_TYPE_NAME.Down,"Derrubar"
BATTLE.STATE_TYPE_NAME.Electronic,"Choque Elétrico"
BATTLE.STATE_TYPE_NAME.Frozen,"Congelar"
BATTLE.STATE_TYPE_NAME.Knockback,"Repelir"
BATTLE.STATE_TYPE_NAME.Paralyze,"Paralizar"
BATTLE.STATE_TYPE_NAME.Poison,"Veneno"
BATTLE.STATE_TYPE_NAME.Shackle,"Grilhão"
BATTLE.STATE_TYPE_NAME.Silence,"Silenciar"
BATTLE.STATE_TYPE_NAME.Snow,"Bola de Neve"
BATTLE.STATE_TYPE_NAME.Stone,"Petrificar"
BATTLE.STATE_TYPE_NAME.Stun,"Atordoar"
BATTLE.STATE_TYPE_NAME.Debuff,"Penalidade"
BATTLE.STATE_TYPE_NAME.Pulling,"Puxar"
BATTLE.STATE_TYPE_NAME.CC,"Penalidade"
BATTLE.STATE_TYPE_NAME.Atkup,"Aumento de ATQ"
BATTLE.STATE_TYPE_NAME.Defup,"Aumento de DEF"
BATTLE.STATE_TYPE_NAME.SpdUp,"Aumento de Vel"
BATTLE.STATE_TYPE_NAME.Shield,"Escudo"
BATTLE.STATE_TYPE_DESC1,"Fica incapaz de se mover por um determinado período."
BATTLE.STATE_TYPE_DESC2,"Erra todos os ataques por um determinado período."
BATTLE.STATE_TYPE_DESC3,"Ataca um alvo com ataques normais por um determinado período."
BATTLE.STATE_TYPE_DESC4,"Fica incapaz de se mover por um determinado período, possibilitando derrubada."
BATTLE.STATE_TYPE_DESC5,"Fica incapaz de se mover por um determinado período, possibilitando afastamento."
BATTLE.STATE_TYPE_DESC6,"Fica incapaz de usar habilidades ativas por um determinado período."
BATTLE.STATE_TYPE_DESC7,"Aumenta o ATQ."
BATTLE.STATE_TYPE_DESC8,"Aumenta a DEF."
BATTLE.STATE_TYPE_DESC9,"Aumenta a Velocidade."
BATTLE.STATE_TYPE_DESC10,"Obtém um Escudo."
RAID_WARNING_RED_DREGON_4,"[FF8200]Temeraire começa a bater suas asas vigorosamente."
RAID_WARNING_BLUE_DREGON_4,"[FF8200]Scalaxia começa a bater suas asas vigorosamente."
RAID_WARNING_BLUE_DREGON_5,"[FF0000]Scalaxia levanta voo e deixa um Cristal de Gelo no chão."
RAID_WARNING_GREEN_DREGON_4,"[FF8200]Zyrrkinoth começa a bater suas asas vigorosamente."
RAID_WARNING_BLACK_DREGON_4,"[FF8200]Armarta começa a bater suas asas vigorosamente."
RAID_WARNING_MOUNTAIN_FORTRESS_4,"[FF8200]A Fortaleza da Montanha carrega uma energia tremenda em seu núcleo."
RADE_WARNING_PROTIANUS_4,"[FF8200]Protianus causa um Tsunami."
RAID_WARNING_SATRIA_3,"[FF8200]Satria concentra o poder da escuridão na sua lança."
RAID_WARNING_KERBEREN_4,"[FF8200]Kerberen dá um golpe devastador no chão."
RAID_WARNING_OBRIGARD_4,"[FF8200]O Crânio de Demônio desperta."
RAID_WARNING_MAVIEL_4,"[FF8200]Maviel se esconde entre as sombras."
RAID_WARNING_NUBIS_3,"[FF8200]Veneno nocivo goteja da cauda de Nubis."
RAID_WARNING_GUSHAK_3,"[FF8200]Gushak carrega energia em sua espada e dá uma forte pisada no chão."
RAID_WARNING_NORDIK_3,"[FF8200]Nordik manipula Mana para criar uma tempestade."
RAID_WARNING_MANTICORE_4,"[FF8200]A Manticora usa as garras para atacar seu inimigo."
RAID_WARNING_THORPE_4,"[FF8200]Thorpe tenta saltar."
RAID_WARNING_THORPE_CRASH,"Thorpe perde o equilíbrio e cai no chão."
RAID_WARNING_TYRFAS_4,"[FF8200]Tyrfas bate o pé, causando uma avalanche."
RAID_WARNING_VELKAZAR_2,"[FF8200]Velkazar invoca chamas ardentes ao seu redor."
RAID_WARNING_VELKAZAR_4,"[FF0000]Velkazar invoca o Caixão do Executor."
MAZE_WARNING_ARCHER_1,"[FF8200]El Rosed chama os Elfos Sombrios."
MAZE_WARNING_WARRIOR_1,"[FF8200]O Esqueleto está se preparando para realizar um golpe poderoso."
MAZE_WARNING_KNIGHT_1,"[FF8200]O Guerreiro Gótico tenta banir o inimigo."
RAID_WARNING_LAKREIL_1,"[FF8200]Lakreil começa a lançar bumerangue mortal."
RAID_WARNING_LAKREIL_2,"[FF8200]Lakreil se prepara para Choque Corporal."
RAID_WARNING_Xanadus_1,"Xanadus está convidando você para o abismo."
RAID_WARNING_Xanadus_2,"[FF8200]Xanadus abre a Cortina de Escuridão."
RAID_WARNING_Xanadus_3,"Xanadus está contraindo suas asas para trás."
RAID_WARNING_Xanadus_4,"[FF0000]Xanadus tenta manifestar o Pesadelo do Abismo."
RAID_WARNING_Xanadus_5,"A [Pedra do Espírito Abissal] aumenta o ATQ de Xanadus."
