KEY,"Spanish"
BATTLE.DAMAGE_TYPE.Critical,"Golpe Critico"
BATTLE.DAMAGE_TYPE.Block,"Bloquear"
BATTLE.DAMAGE_TYPE.Miss,"Fallaste"
BATTLE.DAMAGE_TYPE.Resist,"Resistir"
BATTLE.DAMAGE_TYPE.ImmunePhysical,"Inmunidad Física"
BATTLE.DAMAGE_TYPE.ImmuneMagical,"Inmunidad Mágica"
BATTLE.STATE_TYPE_NAME.Allure,"Encanto"
BATTLE.STATE_TYPE_NAME.Banish,"Patada"
BATTLE.STATE_TYPE_NAME.Bleeding,"Sangrar"
BATTLE.STATE_TYPE_NAME.Blind,"Cegar"
BATTLE.STATE_TYPE_NAME.Burn,"Quemar"
BATTLE.STATE_TYPE_NAME.Down,"Derribar"
BATTLE.STATE_TYPE_NAME.Electronic,"Shock Eléctrico"
BATTLE.STATE_TYPE_NAME.Frozen,"Congelar"
BATTLE.STATE_TYPE_NAME.Knockback,"Trabar"
BATTLE.STATE_TYPE_NAME.Paralyze,"Paralizar"
BATTLE.STATE_TYPE_NAME.Poison,"Veneno"
BATTLE.STATE_TYPE_NAME.Shackle,"Encadenar"
BATTLE.STATE_TYPE_NAME.Silence,"Silenciar"
BATTLE.STATE_TYPE_NAME.Snow,"Bola de Nieve"
BATTLE.STATE_TYPE_NAME.Stone,"Petrificar"
BATTLE.STATE_TYPE_NAME.Stun,"Aturdir"
BATTLE.STATE_TYPE_NAME.Debuff,"Debilitar"
BATTLE.STATE_TYPE_NAME.Pulling,"Tirar"
BATTLE.STATE_TYPE_NAME.CC,"Debilitar"
BATTLE.STATE_TYPE_NAME.Atkup,"Aumento de Ataque"
BATTLE.STATE_TYPE_NAME.Defup,"Aumento de Defensa"
BATTLE.STATE_TYPE_NAME.SpdUp,"Aumento de Velocidad"
BATTLE.STATE_TYPE_NAME.Shield,"Escudo"
BATTLE.STATE_TYPE_DESC1,"Pierde la capacidad de moverse durante un período específico."
BATTLE.STATE_TYPE_DESC2,"Todos los ataques fallan durante un período específico."
BATTLE.STATE_TYPE_DESC3,"Realiza ataques normales a un objetivo en particular durante un período específico."
BATTLE.STATE_TYPE_DESC4,"Pierde la capacidad de moverse durante un período específico, lo que permite el retroceso."
BATTLE.STATE_TYPE_DESC5,"Pierde la capacidad de moverse durante un período específico, lo que permite el alejamiento."
BATTLE.STATE_TYPE_DESC6,"Pierde la capacidad de usar habilidades activas durante un período específico."
BATTLE.STATE_TYPE_DESC7,"Aumenta el Ataque."
BATTLE.STATE_TYPE_DESC8,"Aumenta la Defensa."
BATTLE.STATE_TYPE_DESC9,"Aumenta la Velocidad."
BATTLE.STATE_TYPE_DESC10,"Obtiene un Escudo."
RAID_WARNING_RED_DREGON_4,"[FF8200]Temeraire comienza a agitar las alas enérgicamente."
RAID_WARNING_BLUE_DREGON_4,"[FF8200]Scalaxia comienza a agitar las alas enérgicamente."
RAID_WARNING_BLUE_DREGON_5,"[FF0000]Scalaxia se eleva y deja un cristal de hielo en la tierra."
RAID_WARNING_GREEN_DREGON_4,"[FF8200]Zyrrkinoth comienza a agitar las alas enérgicamente."
RAID_WARNING_BLACK_DREGON_4,"[FF8200]Armarta comienza a agitar las alas enérgicamente."
RAID_WARNING_MOUNTAIN_FORTRESS_4,"[FF8200]La Fortaleza de la montaña carga una enorme energía en su núcleo."
RADE_WARNING_PROTIANUS_4,"[FF8200]Protianus provoca un tsunami."
RAID_WARNING_SATRIA_3,"[FF8200]Satria concentra el poder de la oscuridad en su lanza."
RAID_WARNING_KERBEREN_4,"[FF8200]Kerberen realiza un choque devastador en el suelo."
RAID_WARNING_OBRIGARD_4,"[FF8200]El Cráneo de demonio despierta."
RAID_WARNING_MAVIEL_4,"[FF8200]Maviel se esconde en la sombra."
RAID_WARNING_NUBIS_3,"[FF8200]El veneno nocivo exuda de la cola de Nubis."
RAID_WARNING_GUSHAK_3,"[FF8200]Gushak carga su energía en su espada y da un pisotón."
RAID_WARNING_NORDIK_3,"[FF8200]Nordik manipula el Mana para crear una tormenta."
RAID_WARNING_MANTICORE_4,"[FF8200]Manticore se lanza a rasguñar a su enemigo."
RAID_WARNING_THORPE_4,"[FF8200]Thorpe intenta saltar."
RAID_WARNING_THORPE_CRASH,"Thorpe pierde el equilibrio y cae al suelo."
RAID_WARNING_TYRFAS_4,"[FF8200]Tyrfas da un pisotón que provoca una avalancha."
RAID_WARNING_VELKAZAR_2,"[FF8200]Velkazar invoca llamas ardientes a su alrededor."
RAID_WARNING_VELKAZAR_4,"[FF0000]Velkazar invoca Ataúd del verdugo."
MAZE_WARNING_ARCHER_1,"[FF8200]El Rosed llama a los elfos oscuros."
MAZE_WARNING_WARRIOR_1,"[FF8200]El esqueleto se prepara para asestar un golpe poderoso."
MAZE_WARNING_KNIGHT_1,"[FF8200]El guerrero gótico intenta desterrar al enemigo."
RAID_WARNING_LAKREIL_1,"[FF8200]Lakreil comienza a lanzar el Búmeran letal."
RAID_WARNING_LAKREIL_2,"[FF8200]Lakreil se prepara para Choque corporal."
RAID_WARNING_Xanadus_1,"Xanadus te invita a ingresar al abismo."
RAID_WARNING_Xanadus_2,"[FF8200]Xanadus abre la Cortina de oscuridad."
RAID_WARNING_Xanadus_3,"Xanadus lleva las alas completamente hacia atrás."
RAID_WARNING_Xanadus_4,"[FF0000]Xanadus intenta manifestar la Pesadilla del abismo."
RAID_WARNING_Xanadus_5,"La [Piedra del alma abismal] aumenta el Ataque de Xanadus."
