KEY,"Thai"
BATTLE.DAMAGE_TYPE.Critical,"คริติคอล"
BATTLE.DAMAGE_TYPE.Block,"บล็อค"
BATTLE.DAMAGE_TYPE.Miss,"พลาด"
BATTLE.DAMAGE_TYPE.Resist,"ต้านทาน"
BATTLE.DAMAGE_TYPE.ImmunePhysical,"ต้านทานกายภาพ"
BATTLE.DAMAGE_TYPE.ImmuneMagical,"ต้านทานเวทย์"
BATTLE.STATE_TYPE_NAME.Allure,"ยั่วยวน"
BATTLE.STATE_TYPE_NAME.Banish,"ขับไล่"
BATTLE.STATE_TYPE_NAME.Bleeding,"เลือดออก"
BATTLE.STATE_TYPE_NAME.Blind,"ตาบอด"
BATTLE.STATE_TYPE_NAME.Burn,"เผา"
BATTLE.STATE_TYPE_NAME.Down,"ล้ม"
BATTLE.STATE_TYPE_NAME.Electronic,"ช็อต"
BATTLE.STATE_TYPE_NAME.Frozen,"แช่แข็ง"
BATTLE.STATE_TYPE_NAME.Knockback,"ผลัก"
BATTLE.STATE_TYPE_NAME.Paralyze,"อัมพาต"
BATTLE.STATE_TYPE_NAME.Poison,"ติดพิษ"
BATTLE.STATE_TYPE_NAME.Shackle,"โดนล็อค"
BATTLE.STATE_TYPE_NAME.Silence,"ไบ้"
BATTLE.STATE_TYPE_NAME.Snow,"หิมะ"
BATTLE.STATE_TYPE_NAME.Stone,"หิน"
BATTLE.STATE_TYPE_NAME.Stun,"สตัน"
BATTLE.STATE_TYPE_NAME.Debuff,"ดีบัพ"
BATTLE.STATE_TYPE_NAME.Pulling,"ดึง"
BATTLE.STATE_TYPE_NAME.CC,"ดีบัพ"
BATTLE.STATE_TYPE_NAME.Atkup,"เพิ่มพลังโจมตี"
BATTLE.STATE_TYPE_NAME.Defup,"เพิ่มพลังป้องกัน"
BATTLE.STATE_TYPE_NAME.SpdUp,"เพิ่มความเร็ว"
BATTLE.STATE_TYPE_NAME.Shield,"โล่"
BATTLE.STATE_TYPE_DESC1,"ไม่สามารถเคลื่อนที่เป็นระยะเวลาหนึ่ง"
BATTLE.STATE_TYPE_DESC2,"การโจมตีทั้งหมดไม่โดนเป็นระยะเวลาหนึ่ง"
BATTLE.STATE_TYPE_DESC3,"โจมตีบางเป้าหมายด้วยการโจมตีธรรมดาเป็นระยะเวลาหนึ่ง"
BATTLE.STATE_TYPE_DESC4,"ไม่สามารถเคลื่อนที่เป็นระยะเวลาหนึ่ง ซึ่งสามารถโดนผลักให้ถอยหลังได้"
BATTLE.STATE_TYPE_DESC5,"ไม่สามารถเคลื่อนที่เป็นระยะเวลาหนึ่ง ซึ่งสามารถโดนดึงออกไปได้"
BATTLE.STATE_TYPE_DESC6,"ไม่สามารถใช้สกิลกดใช้เป็นระยะเวลาหนึ่ง"
BATTLE.STATE_TYPE_DESC7,"เพิ่มพลังโจมตี"
BATTLE.STATE_TYPE_DESC8,"เพิ่มพลังป้องกัน"
BATTLE.STATE_TYPE_DESC9,"เพิ่มความเร็ว"
BATTLE.STATE_TYPE_DESC10,"ได้รับโล่"
RAID_WARNING_RED_DREGON_4,"[FF8200]Temeraire เริ่มกระพือปีกอย่างรุนแรง"
RAID_WARNING_BLUE_DREGON_4,"[FF8200]Scalaxia เริ่มกระพือปีกอย่างรุนแรง"
RAID_WARNING_BLUE_DREGON_5,"[FF0000]Scalaxia ทะยานขึ้น ทิ้งคริสตัลน้ำแข็งไว้บนพื้น"
RAID_WARNING_GREEN_DREGON_4,"[FF8200]Zyrrkinoth เริ่มกระพือปีกอย่างรุนแรง"
RAID_WARNING_BLACK_DREGON_4,"[FF8200]Armarta เริ่มกระพือปีกอย่างรุนแรง"
RAID_WARNING_MOUNTAIN_FORTRESS_4,"[FF8200]ป้อมปราการภูเขาชารจ์พลังมหาศาลในแก่น"
RADE_WARNING_PROTIANUS_4,"[FF8200]Protianus ทำให้เกิดสึนามิ"
RAID_WARNING_SATRIA_3,"[FF8200]Satria เพ่งพลังแห่งความมืดไปที่หอก"
RAID_WARNING_KERBEREN_4,"[FF8200]Kerberen ซัดกำปั้นลงพื้นอย่างรุนแรง"
RAID_WARNING_OBRIGARD_4,"[FF8200]หัวกะโหลกปีศาจตื่นขึ้น"
RAID_WARNING_MAVIEL_4,"[FF8200]Maviel ซ่อนตัวในเงามืด"
RAID_WARNING_NUBIS_3,"[FF8200]พิษอันตรายไหลออกมาจากหางของ Nubis"
RAID_WARNING_GUSHAK_3,"[FF8200]Gushak ชาร์จพลังลงในดาบและกระทืบเท้า"
RAID_WARNING_NORDIK_3,"[FF8200]Nordik ใช้มานาสร้างพายุ"
RAID_WARNING_MANTICORE_4,"[FF8200]Manticore พุ่งไปจู่โจมด้วยกรงเล็บใส่ศัตรู"
RAID_WARNING_THORPE_4,"[FF8200]Thorpe พยายามที่จะกระโดด"
RAID_WARNING_THORPE_CRASH,"Thorpe เสียสมดุลและล้มลงบนพื้น"
RAID_WARNING_TYRFAS_4,"[FF8200]Tyrfas กระทืบเท้าซึ่งก่อให้เกิดหิมะถล่ม"
RAID_WARNING_VELKAZAR_2,"[FF8200]Velkazar เรียกเพลิงเผาผลาญรอบตัวเขา"
RAID_WARNING_VELKAZAR_4,"[FF0000]Velkazar เรียกโลงศพแห่งการลงทัณฑ์"
MAZE_WARNING_ARCHER_1,"[FF8200]El Rosed เรียกพวกเอลฟ์มืด"
MAZE_WARNING_WARRIOR_1,"[FF8200]โครงกระดูกกำลังเตรียมการที่จะปลดปล่อยการโจมตีอันทรงพลัง"
MAZE_WARNING_KNIGHT_1,"[FF8200]นักรบกอธพยายามที่จะกำจัดศัตรู"
RAID_WARNING_LAKREIL_1,"[FF8200]Lakreil เริ่มที่จะโยนบูมเมอแรงพิฆาต"
RAID_WARNING_LAKREIL_2,"[FF8200]Lakreil เตรียมที่จะใช้ร่างกระแทก"
RAID_WARNING_Xanadus_1,"Xanadus เชิญชวนคุณลงไปในอเวจี"
RAID_WARNING_Xanadus_2,"[FF8200]Xanadus เปิดม่านความมืด"
RAID_WARNING_Xanadus_3,"Xanadus แกว่งปีกไปด้านหลังสุด"
RAID_WARNING_Xanadus_4,"[FF0000]Xanadus พยายามสร้างฝันร้ายแห่งอเวจี"
RAID_WARNING_Xanadus_5,"[หินวิญญาณอเวจี] จะเพิ่มพลังโจมตีของ Xanadus"
