KEY,"English"
ITEM_TYPE.EQUIP,"Equipment"
ITEM_TYPE.PACKAGE,"Package"
ITEM_TYPE.ENCHANT,"Enchant"
EQUIP_PART_TYPE.WEAPON,"Weapon"
EQUIP_PART_TYPE.ARMOR,"Armor"
EQUIP_PART_TYPE.ACCESSORY,"Accessory"
EQUIP_PART_TYPE.SECOND_GEAR,"Secondary Gear"
EQUIP_PART_TYPE.ORB,"Orb"
EQUIP_PART_TYPE.ARTIFACT,"Artifact"
EQUIP_PART_TYPE.ENHANCE_STONE,"Magic Crystal"
EQUIP_PART_TYPE.TREASURE,"Treasure"
STAT_TYPE.MAX_HP,"MAX HP"
STAT_TYPE.PHYSICAL_ATTACK,"ATK"
STAT_TYPE.MAGICAL_ATTACK,"ATK"
STAT_TYPE.PHYSICAL_DEFENSE,"P.DEF"
STAT_TYPE.MAGICAL_DEFENSE,"M.DEF"
STAT_TYPE.ADD_MAX_HP_R,"MAX HP"
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,"ATK"
STAT_TYPE.ADD_MAGICAL_ATTACK_R,"ATK"
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,"P.DEF"
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,"M.DEF"
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,"Crit"
STAT_TYPE.PHYSICAL_CRITICAL_POWER,"Crit DMG"
STAT_TYPE.PHYSICAL_DODGE_CHANCE,"P.Dodge"
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,"P.Block"
STAT_TYPE.PHYSICAL_BLOCK_POWER,"P.Block DEF"
STAT_TYPE.PHYSICAL_HIT_CHANCE,"ACC"
STAT_TYPE.PHYSICAL_PIERCE_POWER,"Penetration"
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,"Crit"
STAT_TYPE.MAGICAL_CRITICAL_POWER,"Crit DMG"
STAT_TYPE.MAGICAL_DODGE_CHANCE,"M.Dodge"
STAT_TYPE.MAGICAL_BLOCK_CHANCE,"M.Block"
STAT_TYPE.MAGICAL_BLOCK_POWER,"M.Block DEF"
STAT_TYPE.MAGICAL_HIT_CHANCE,"ACC"
STAT_TYPE.MAGICAL_PIERCE_POWER,"Penetration"
STAT_TYPE.HEAL_POWER,"Heal"
STAT_TYPE.RECOVER_POWER,"Recovery"
STAT_TYPE.ANTI_CC_CHANCE,"CC Resist"
STAT_TYPE.HIT_CC_CHANCE,"Debuff ACC"
STAT_TYPE.ANTI_DEBUFF_CHANCE,"Debuff Resist"
STAT_TYPE.PHYSICAL_WEAKNESS,"P.Weak"
STAT_TYPE.PHYSICAL_TOUGHNESS,"P.Tough"
STAT_TYPE.MAGICAL_WEAKNESS,"M.Weak"
STAT_TYPE.MAGICAL_TOUGHNESS,"M.Tough"
STAT_TYPE.HP_STEAL_POWER,"Lifesteal"
STAT_TYPE.HP_ON_DAMAGE,"HP Recovery/DMG"
STAT_TYPE.HP_ON_ATTACK,"HP Recovery/Attack"
STAT_TYPE.HP_ON_KILL,"HP Recovery/elimination"
STAT_TYPE.HP_ON_WAVE,"HP Recovery/Battle"
STAT_TYPE.HP_ON_SECOND,"HP Recovery/Sec"
STAT_TYPE.HP_RATIO_ON_DAMAGE,"HP Recovery Rate/DMG"
STAT_TYPE.HP_RATIO_ON_ATTACK,"HP Recovery Rate/Hit"
STAT_TYPE.HP_RATIO_ON_KILL,"HP Recovery Rate/elimination"
