KEY,French
ITEM_TYPE.EQUIP,Équipement
ITEM_TYPE.PACKAGE,Pack
ITEM_TYPE.ENCHANT,Enchantement
EQUIP_PART_TYPE.WEAPON,Arme
EQUIP_PART_TYPE.ARMOR,Armure
EQUIP_PART_TYPE.ACCESSORY,Accessoire
EQUIP_PART_TYPE.SECOND_GEAR,Équipement secondaire
EQUIP_PART_TYPE.ORB,Orbe
EQUIP_PART_TYPE.ARTIFACT,Relique
EQUIP_PART_TYPE.ENHANCE_STONE,Cristaux magiques
EQUIP_PART_TYPE.TREASURE,Trésor
STAT_TYPE.MAX_HP,PV Max
STAT_TYPE.PHYSICAL_ATTACK,ATQ
STAT_TYPE.MAGICAL_ATTACK,ATQ
STAT_TYPE.PHYSICAL_DEFENSE,DEF P
STAT_TYPE.MAGICAL_DEFENSE,DEF M
STAT_TYPE.ADD_MAX_HP_R,PV Max
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,ATQ
STAT_TYPE.ADD_MAGICAL_ATTACK_R,ATQ
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,DEF P
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,DEF M
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,Crit
STAT_TYPE.PHYSICAL_CRITICAL_POWER,DEG Crit
STAT_TYPE.PHYSICAL_DODGE_CHANCE,Esquive P
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,Blocage P
STAT_TYPE.PHYSICAL_BLOCK_POWER,DEF Blocage P
STAT_TYPE.PHYSICAL_HIT_CHANCE,Précision
STAT_TYPE.PHYSICAL_PIERCE_POWER,Pénétration
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,Crit
STAT_TYPE.MAGICAL_CRITICAL_POWER,DEG Crit
STAT_TYPE.MAGICAL_DODGE_CHANCE,Esquive M
STAT_TYPE.MAGICAL_BLOCK_CHANCE,Blocage M
STAT_TYPE.MAGICAL_BLOCK_POWER,DEF Blocage M
STAT_TYPE.MAGICAL_HIT_CHANCE,Précision
STAT_TYPE.MAGICAL_PIERCE_POWER,Pénétration
STAT_TYPE.HEAL_POWER,Soin
STAT_TYPE.RECOVER_POWER,Récupération
STAT_TYPE.ANTI_CC_CHANCE,Résist. Contrôles
STAT_TYPE.HIT_CC_CHANCE,Precision Contrôles
STAT_TYPE.ANTI_DEBUFF_CHANCE,Résist. Effets néfastes
STAT_TYPE.PHYSICAL_WEAKNESS,Aug. DEG P reçus
STAT_TYPE.PHYSICAL_TOUGHNESS,Réd. DEG P reçus
STAT_TYPE.MAGICAL_WEAKNESS,Aug. DEG M reçus
STAT_TYPE.MAGICAL_TOUGHNESS,Réd. DEG M reçus
STAT_TYPE.HP_STEAL_POWER,Vol de vie
STAT_TYPE.HP_ON_DAMAGE,Récupération PV/DEG reçus
STAT_TYPE.HP_ON_ATTACK,Récupération PV/Attaque
STAT_TYPE.HP_ON_KILL,Récupération PV/Élimination
STAT_TYPE.HP_ON_WAVE,Récupération PV/Bataille
STAT_TYPE.HP_ON_SECOND,Récupération PV/Sec
STAT_TYPE.HP_RATIO_ON_DAMAGE,Taux de Récupération PV/DEG reçus
STAT_TYPE.HP_RATIO_ON_ATTACK,Taux de Récupération PV/Attaque
STAT_TYPE.HP_RATIO_ON_KILL,Taux de Récupération PV/Élimination
STAT_TYPE.HP_RATIO_ON_WAVE,Taux de Récupération PV/Bataille
STAT_TYPE.HP_RATIO_ON_SECOND,Taux de Récupération PV/Sec
STAT_TYPE.MAX_MP,PM Max
STAT_TYPE.MP_ON_DAMAGE,Récupération PM/DEG reçus
STAT_TYPE.MP_ON_ATTACK,Récupération PM/Attaque
STAT_TYPE.MP_ON_KILL,Récupération PM/Élimination
STAT_TYPE.MP_ON_WAVE,Récupération PM/Bataille
STAT_TYPE.MP_ON_SECOND,Récupération PM/Sec
STAT_TYPE.ATTACK_SPEED,Vitesse d'ATQ
STAT_TYPE.MOVE_SPEED_MMS,Vitesse de Déplacement
STAT_TYPE.PHYSICAL_CRITICAL_DODGE_CHANCE,Résistance Crit P
STAT_TYPE.MAGICAL_CRITICAL_DODGE_CHANCE,Résistance Crit M
STAT_TYPE.HP,PV actuels
STAT_TYPE.CCACCURACY,Precision Contrôles
STAT_TEAMLEVEL,Niv d'Équipe
STAT_TEAMEXP,EXP d'Équipe
STAT_VIPLEVEL,Niv de VIP
STAT_VIPEXP,EXP de VIP
STAT_LEVEL,Niveau
STAT_EXP,EXP
STAT_STAR,★
STAT_GRADE,Rang
STAT_TYPE.ADD_MP_ON_DAMAGE_R,Récupération PM/DEG reçus
STAT_TYPE.ADD_MP_ON_ATTACK_R,Récupération PM/Attaque
STAT_TYPE.ADD_MP_ON_TIME_R,Récupération PM/Sec
EQUIP_SORT_TYPE.STAR_UP,★ (+)
EQUIP_SORT_TYPE.STAR_DOWN,★ (-)
EQUIP_SORT_TYPE.LEVEL_UP,Niveau d'Amélioration (+)
EQUIP_SORT_TYPE.LEVEL_DOWN,Niveau d'Amélioration (-)
EQUIP_SORT_TYPE.GRADE_UP,Rang (+)
EQUIP_SORT_TYPE.GRADE_DOWN,Rang (-)
ITEM_SORT_TYPE.GRADE_UP,Rang (+)
ITEM_SORT_TYPE.GRADE_DOWN,Rang (-)
ITEM_SORT_TYPE.LEVEL_UP,Par Niveau (+)
ITEM_SORT_TYPE.LEVEL_DOWN,Par Niveau (-)
MATCH_TIER_TYPE.BRONZE,Bronze
MATCH_TIER_TYPE.SILVER,Argent
MATCH_TIER_TYPE.GOLD,Or
MATCH_TIER_TYPE.PLATINUM,Platine
MATCH_TIER_TYPE.DIAMOND,Diamant
MATCH_TIER_TYPE.MASTER,Maître
MATCH_TIER_TYPE.ROYAL_MASTER,Maître Royal
MATCH_TIER_TYPE.CHALLENGER,Challenger
MATCH_TIER_TYPE.CHAMPION,Champion
OPERATION_TYPE.MOD_POWER_R,ATQ
OPERATION_TYPE.MOD_PHYSICAL_POWER,ATQ P
OPERATION_TYPE.MOD_PHYSICAL_POWER_R,ATQ P
OPERATION_TYPE.MOD_MAGICAL_POWER,ATQ M
OPERATION_TYPE.MOD_MAGICAL_POWER_R,ATQ M
OPERATION_TYPE.MOD_MAX_HP,PV Max
OPERATION_TYPE.MOD_MAX_HP_R,PV Max
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE,DEF P
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE_R,DEF P
OPERATION_TYPE.MOD_MAGICAL_DEFENCE,DEF M
OPERATION_TYPE.MOD_MAGICAL_DEFENCE_R,DEF M
OPERATION_TYPE.MOD_DEFENCE_R,DEF
OPERATION_TYPE.MOD_PHYSICAL_CRITICAL_CHANCE,Crit P
OPERATION_TYPE.MOD_MAGICAL_CRITICAL_CHANCE,Crit M
OPERATION_TYPE.MOD_CRITICAL_CHANCE,Crit
OPERATION_TYPE.MOD_PHYSICAL_DODGE_CHANCE,Esquive P
OPERATION_TYPE.MOD_MAGICAL_DODGE_CHANCE,Esquive M
OPERATION_TYPE.MOD_DODGE_CHANCE,Esquive
