KEY,"French"
ITEM_TYPE.EQUIP,"Équipement"
ITEM_TYPE.PACKAGE,"Pack"
ITEM_TYPE.ENCHANT,"Enchantement"
EQUIP_PART_TYPE.WEAPON,"Arme"
EQUIP_PART_TYPE.ARMOR,"Armure"
EQUIP_PART_TYPE.ACCESSORY,"Accessoire"
EQUIP_PART_TYPE.SECOND_GEAR,"Équipement secondaire"
EQUIP_PART_TYPE.ORB,"Orbe"
EQUIP_PART_TYPE.ARTIFACT,"Artéfact"
EQUIP_PART_TYPE.ENHANCE_STONE,"Cristaux magiques"
EQUIP_PART_TYPE.TREASURE,"Trésor"
STAT_TYPE.MAX_HP,"PV MAX"
STAT_TYPE.PHYSICAL_ATTACK,"ATQ"
STAT_TYPE.MAGICAL_ATTACK,"ATQ"
STAT_TYPE.PHYSICAL_DEFENSE,"DEF P."
STAT_TYPE.MAGICAL_DEFENSE,"DEF M."
STAT_TYPE.ADD_MAX_HP_R,"PV MAX"
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,"ATQ"
STAT_TYPE.ADD_MAGICAL_ATTACK_R,"ATQ"
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,"DEF P."
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,"DEF M."
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,"Crit"
STAT_TYPE.PHYSICAL_CRITICAL_POWER,"DEG Crit"
STAT_TYPE.PHYSICAL_DODGE_CHANCE,"Esquive P."
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,"Blocage P."
STAT_TYPE.PHYSICAL_BLOCK_POWER,"DEF Blocage P."
STAT_TYPE.PHYSICAL_HIT_CHANCE,"Précision"
STAT_TYPE.PHYSICAL_PIERCE_POWER,"Pénétration"
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,"Critiques"
STAT_TYPE.MAGICAL_CRITICAL_POWER,"DEG Crit"
STAT_TYPE.MAGICAL_DODGE_CHANCE,"Esquive M."
STAT_TYPE.MAGICAL_BLOCK_CHANCE,"Blocage M."
STAT_TYPE.MAGICAL_BLOCK_POWER,"DEF Blocage M."
STAT_TYPE.MAGICAL_HIT_CHANCE,"Précision"
STAT_TYPE.MAGICAL_PIERCE_POWER,"Pénétration"
STAT_TYPE.HEAL_POWER,"Soin"
STAT_TYPE.RECOVER_POWER,"Récupération"
STAT_TYPE.ANTI_CC_CHANCE,"Résist. Contrôles"
STAT_TYPE.HIT_CC_CHANCE,"Affaiblissement PREC"
STAT_TYPE.ANTI_DEBUFF_CHANCE,"Résist. Effets Négatifs"
STAT_TYPE.PHYSICAL_WEAKNESS,"Aug. DEG P. reçus"
STAT_TYPE.PHYSICAL_TOUGHNESS,"Réd. DEG P. reçus"
STAT_TYPE.MAGICAL_WEAKNESS,"Aug. DEG M. reçus"
STAT_TYPE.MAGICAL_TOUGHNESS,"Réd. DEG M. reçus"
STAT_TYPE.HP_STEAL_POWER,"Vol de vie"
STAT_TYPE.HP_ON_DAMAGE,"Récupération PV/DEG"
STAT_TYPE.HP_ON_ATTACK,"Récupération PV/Attack"
STAT_TYPE.HP_ON_KILL,"Récupération PV/elimination"
STAT_TYPE.HP_ON_WAVE,"Récupération PV/Battle"
STAT_TYPE.HP_ON_SECOND,"Récupération PV/Sec"
STAT_TYPE.HP_RATIO_ON_DAMAGE,"Taux Récupération PV/DEG"
STAT_TYPE.HP_RATIO_ON_ATTACK,"Taux Récupération PV/Hit"
STAT_TYPE.HP_RATIO_ON_KILL,"Taux Récupération PV/elimination"
STAT_TYPE.HP_RATIO_ON_WAVE,"Taux Récupération PV/Battle"
STAT_TYPE.HP_RATIO_ON_SECOND,"Taux Récupération PV/Sec"
STAT_TYPE.MAX_MP,"PM MAX"
STAT_TYPE.MP_ON_DAMAGE,"Récupération PM/DEG"
STAT_TYPE.MP_ON_ATTACK,"Récupération PM/Attack"
STAT_TYPE.MP_ON_KILL,"Récupération PM/Elimination"
STAT_TYPE.MP_ON_WAVE,"Récupération PM/Battle"
STAT_TYPE.MP_ON_SECOND,"Récupération PM/Sec"
STAT_TYPE.ATTACK_SPEED,"Vit ATQ"
STAT_TYPE.MOVE_SPEED_MMS,"Vit Dépl."
STAT_TYPE.PHYSICAL_CRITICAL_DODGE_CHANCE,"Résistance Crit P."
STAT_TYPE.MAGICAL_CRITICAL_DODGE_CHANCE,"Résistance Crit M."
STAT_TYPE.HP,"PV Actuels"
STAT_TYPE.CCACCURACY,"Affaiblissement Précision"
STAT_TEAMLEVEL,"Niv. Équipe"
STAT_TEAMEXP,"EXP Équipe"
STAT_VIPLEVEL,"Niv. VIP"
STAT_VIPEXP,"EXP VIP"
STAT_LEVEL,"Niv."
STAT_EXP,"EXP"
STAT_STAR,"Étoiles"
STAT_GRADE,"Rang"
STAT_TYPE.ADD_MP_ON_DAMAGE_R,"Récupération PM/DMG"
STAT_TYPE.ADD_MP_ON_ATTACK_R,"Récupération PM/Attaque"
STAT_TYPE.ADD_MP_ON_TIME_R,"Récupération PM/Sec"
EQUIP_SORT_TYPE.STAR_UP,"Nombre d'Étoiles (+)"
EQUIP_SORT_TYPE.STAR_DOWN,"Nombre d'Étoiles (-)"
EQUIP_SORT_TYPE.LEVEL_UP,"Niveau Amélioration (+)"
EQUIP_SORT_TYPE.LEVEL_DOWN,"Niveau Amélioration (-)"
EQUIP_SORT_TYPE.GRADE_UP,"Rang (+)"
EQUIP_SORT_TYPE.GRADE_DOWN,"Rang (-)"
ITEM_SORT_TYPE.GRADE_UP,"Rang (+)"
ITEM_SORT_TYPE.GRADE_DOWN,"Rang (-)"
ITEM_SORT_TYPE.LEVEL_UP,"Par Niveau (+)"
ITEM_SORT_TYPE.LEVEL_DOWN,"Par Niveau (-)"
MATCH_TIER_TYPE.BRONZE,"Bronze"
MATCH_TIER_TYPE.SILVER,"Silver"
MATCH_TIER_TYPE.GOLD,"Gold"
MATCH_TIER_TYPE.PLATINUM,"Platinum"
MATCH_TIER_TYPE.DIAMOND,"Diamond"
MATCH_TIER_TYPE.MASTER,"Master"
MATCH_TIER_TYPE.ROYAL_MASTER,"Maître royal"
MATCH_TIER_TYPE.CHALLENGER,"Challenger"
MATCH_TIER_TYPE.CHAMPION,"Champion"
OPERATION_TYPE.MOD_POWER_R,"ATQ"
OPERATION_TYPE.MOD_PHYSICAL_POWER,"ATQ P."
OPERATION_TYPE.MOD_PHYSICAL_POWER_R,"ATQ P."
OPERATION_TYPE.MOD_MAGICAL_POWER,"ATQ M."
OPERATION_TYPE.MOD_MAGICAL_POWER_R,"ATQ M."
OPERATION_TYPE.MOD_MAX_HP,"PV Max"
OPERATION_TYPE.MOD_MAX_HP_R,"PV Max"
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE,"DEF P."
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE_R,"DEF P."
OPERATION_TYPE.MOD_MAGICAL_DEFENCE,"DEF M."
OPERATION_TYPE.MOD_MAGICAL_DEFENCE_R,"DEF M."
OPERATION_TYPE.MOD_DEFENCE_R,"DEF"
