KEY,Japanese
ITEM_TYPE.EQUIP,装備
ITEM_TYPE.PACKAGE,パック
ITEM_TYPE.ENCHANT,エンチャント
EQUIP_PART_TYPE.WEAPON,武器
EQUIP_PART_TYPE.ARMOR,防具
EQUIP_PART_TYPE.ACCESSORY,装身具
EQUIP_PART_TYPE.SECOND_GEAR,補助装備
EQUIP_PART_TYPE.ORB,宝珠
EQUIP_PART_TYPE.ARTIFACT,遺物
EQUIP_PART_TYPE.ENHANCE_STONE,魔法結晶
EQUIP_PART_TYPE.TREASURE,宝物
STAT_TYPE.MAX_HP,最大HP
STAT_TYPE.PHYSICAL_ATTACK,攻撃力
STAT_TYPE.MAGICAL_ATTACK,攻撃力
STAT_TYPE.PHYSICAL_DEFENSE,物理防御力
STAT_TYPE.MAGICAL_DEFENSE,魔法防御力
STAT_TYPE.ADD_MAX_HP_R,最大HP
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,攻撃力
STAT_TYPE.ADD_MAGICAL_ATTACK_R,攻撃力
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,物理防御力
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,魔法防御力
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,クリティカル率
STAT_TYPE.PHYSICAL_CRITICAL_POWER,クリティカルダメージ
STAT_TYPE.PHYSICAL_DODGE_CHANCE,物理回避率
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,物理ガード率
STAT_TYPE.PHYSICAL_BLOCK_POWER,物理ガードダメージ減少
STAT_TYPE.PHYSICAL_HIT_CHANCE,命中率
STAT_TYPE.PHYSICAL_PIERCE_POWER,防御貫通力
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,クリティカル率
STAT_TYPE.MAGICAL_CRITICAL_POWER,クリティカルダメージ
STAT_TYPE.MAGICAL_DODGE_CHANCE,魔法回避率
STAT_TYPE.MAGICAL_BLOCK_CHANCE,魔法ガード率
STAT_TYPE.MAGICAL_BLOCK_POWER,魔法ガードダメージ減少
STAT_TYPE.MAGICAL_HIT_CHANCE,命中率
STAT_TYPE.MAGICAL_PIERCE_POWER,防御貫通力
STAT_TYPE.HEAL_POWER,治癒力
STAT_TYPE.RECOVER_POWER,回復力
STAT_TYPE.ANTI_CC_CHANCE,状態異常耐性
STAT_TYPE.HIT_CC_CHANCE,状態異常命中率
STAT_TYPE.ANTI_DEBUFF_CHANCE,状態制御耐性
STAT_TYPE.PHYSICAL_WEAKNESS,被物理ダメージ増加
STAT_TYPE.PHYSICAL_TOUGHNESS,被物理ダメージ減少
STAT_TYPE.MAGICAL_WEAKNESS,被魔法ダメージ増加
STAT_TYPE.MAGICAL_TOUGHNESS,被魔法ダメージ減少
STAT_TYPE.HP_STEAL_POWER,吸血
STAT_TYPE.HP_ON_DAMAGE,被ダメージ時HP回復量
STAT_TYPE.HP_ON_ATTACK,攻撃時HP回復量
STAT_TYPE.HP_ON_KILL,退治時HP回復量
STAT_TYPE.HP_ON_WAVE,戦闘終了時HP回復量
STAT_TYPE.HP_ON_SECOND,1秒あたりHP回復量
STAT_TYPE.HP_RATIO_ON_DAMAGE,被ダメージ時HP回復率
STAT_TYPE.HP_RATIO_ON_ATTACK,攻撃時HP回復率
STAT_TYPE.HP_RATIO_ON_KILL,退治時HP回復率
STAT_TYPE.HP_RATIO_ON_WAVE,戦闘終了時HP回復率
STAT_TYPE.HP_RATIO_ON_SECOND,1秒あたりHP回復率
STAT_TYPE.MAX_MP,最大MP
STAT_TYPE.MP_ON_DAMAGE,被ダメージ時MP回復量
STAT_TYPE.MP_ON_ATTACK,攻撃時MP回復量
STAT_TYPE.MP_ON_KILL,退治時MP回復量
STAT_TYPE.MP_ON_WAVE,戦闘終了時MP回復量
STAT_TYPE.MP_ON_SECOND,1秒あたりMP回復量
STAT_TYPE.ATTACK_SPEED,攻撃速度
STAT_TYPE.MOVE_SPEED_MMS,移動速度
STAT_TYPE.PHYSICAL_CRITICAL_DODGE_CHANCE,物理クリティカル耐性
STAT_TYPE.MAGICAL_CRITICAL_DODGE_CHANCE,魔法クリティカル耐性
STAT_TYPE.HP,現在HP
STAT_TYPE.CCACCURACY,状態異常命中率
STAT_TEAMLEVEL,チームレベル
STAT_TEAMEXP,チーム経験値
STAT_VIPLEVEL,VIPレベル
STAT_VIPEXP,VIP経験値
STAT_LEVEL,レベル
STAT_EXP,経験値
STAT_STAR,星
STAT_GRADE,ランク
STAT_TYPE.ADD_MP_ON_DAMAGE_R,被ダメージ時MP回復量
STAT_TYPE.ADD_MP_ON_ATTACK_R,攻撃時MP回復量
STAT_TYPE.ADD_MP_ON_TIME_R,1秒あたりMP回復量
EQUIP_SORT_TYPE.STAR_UP,星(+)
EQUIP_SORT_TYPE.STAR_DOWN,星(-)
EQUIP_SORT_TYPE.LEVEL_UP,強化レベル(+)
EQUIP_SORT_TYPE.LEVEL_DOWN,強化レベル(-)
EQUIP_SORT_TYPE.GRADE_UP,ランク(+)
EQUIP_SORT_TYPE.GRADE_DOWN,ランク(-)
ITEM_SORT_TYPE.GRADE_UP,ランク(+)
ITEM_SORT_TYPE.GRADE_DOWN,ランク(-)
ITEM_SORT_TYPE.LEVEL_UP,レベル順(+)
ITEM_SORT_TYPE.LEVEL_DOWN,レベル順(-)
MATCH_TIER_TYPE.BRONZE,ブロンズ
MATCH_TIER_TYPE.SILVER,シルバー
MATCH_TIER_TYPE.GOLD,ゴールド
MATCH_TIER_TYPE.PLATINUM,プラチナ
MATCH_TIER_TYPE.DIAMOND,ダイヤ
MATCH_TIER_TYPE.MASTER,マスター
MATCH_TIER_TYPE.ROYAL_MASTER,ロイヤルマスター
MATCH_TIER_TYPE.CHALLENGER,チャレンジャー
MATCH_TIER_TYPE.CHAMPION,チャンピオン
OPERATION_TYPE.MOD_POWER_R,攻撃力
OPERATION_TYPE.MOD_PHYSICAL_POWER,物理攻撃力
OPERATION_TYPE.MOD_PHYSICAL_POWER_R,物理攻撃力
OPERATION_TYPE.MOD_MAGICAL_POWER,魔法攻撃力
OPERATION_TYPE.MOD_MAGICAL_POWER_R,魔法攻撃力
OPERATION_TYPE.MOD_MAX_HP,最大HP
OPERATION_TYPE.MOD_MAX_HP_R,最大HP
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE,物理防御力
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE_R,物理防御力
OPERATION_TYPE.MOD_MAGICAL_DEFENCE,魔法防御力
OPERATION_TYPE.MOD_MAGICAL_DEFENCE_R,魔法防御力
OPERATION_TYPE.MOD_DEFENCE_R,防御力
OPERATION_TYPE.MOD_PHYSICAL_CRITICAL_CHANCE,物理クリティカル率
OPERATION_TYPE.MOD_MAGICAL_CRITICAL_CHANCE,魔法クリティカル率
OPERATION_TYPE.MOD_CRITICAL_CHANCE,クリティカル率
OPERATION_TYPE.MOD_PHYSICAL_DODGE_CHANCE,物理回避率
OPERATION_TYPE.MOD_MAGICAL_DODGE_CHANCE,魔法回避率
OPERATION_TYPE.MOD_DODGE_CHANCE,回避率
OPERATION_TYPE.MOD_PHYSICAL_BLOCK_CHANCE,物理ガード率
OPERATION_TYPE.MOD_MAGICAL_BLOCK_CHANCE,魔法ガード率
OPERATION_TYPE.MOD_BLOCK_CHANCE,ガード率
OPERATION_TYPE.MOD_PHYSICAL_PIERCE_POWER,物理防御貫通力
OPERATION_TYPE.MOD_MAGICAL_PIERCE_POWER,魔法防御貫通力
OPERATION_TYPE.MOD_PIERCE_POWER,防御貫通力
OPERATION_TYPE.MOD_PHYSICAL_HIT_CHANCE,物理命中率
OPERATION_TYPE.MOD_MAGICAL_HIT_CHANCE,魔法命中率
OPERATION_TYPE.MOD_HIT_CHANCE,命中率
OPERATION_TYPE.MOD_HP_STEAL_POWER,吸血
OPERATION_TYPE.MOD_ANTI_CC_CHANCE,状態異常耐性
OPERATION_TYPE.MOD_HEAL_POWER,治癒力
OPERATION_TYPE.MOD_RECOVER_POWER,回復力
OPERATION_TYPE.MOD_PHYSICAL_CRITICAL_POWER,物理クリティカルダメージ
OPERATION_TYPE.MOD_MAGICAL_CRITICAL_POWER,魔法クリティカルダメージ
OPERATION_TYPE.MOD_CRITICAL_POWER,クリティカルダメージ
OPERATION_TYPE.MOD_ATTACK_SPEED,攻撃速度
OPERATION_TYPE.MOD_ATTACK_SPEED_R,攻撃速度
OPERATION_TYPE.MOD_MP_ON_KILL,退治時MP回復量
OPERATION_TYPE.MOD_HP_RATIO_ON_WAVE,戦闘終了時HP回復量
OPERATION_TYPE.MOD_MP_ON_WAVE,戦闘終了時MP回復量
OPERATION_TYPE.MOD_PHYSICAL_WEAKNESS,被物理ダメージ増加
OPERATION_TYPE.MOD_PHYSICAL_TOUGHNESS,被物理ダメージ減少
OPERATION_TYPE.MOD_MAGICAL_WEAKNESS,被魔法ダメージ増加
OPERATION_TYPE.MOD_MAGICAL_TOUGHNESS,被魔法ダメージ減少
OPERATION_TYPE.MOD_TOUGHNESS,ダメージ減少
OPERATION_TYPE.MOD_MP_ON_ATTACK_R,攻撃時MP回復量
OPERATION_TYPE.MOD_MP_ON_TIME_R,1秒あたりMP回復量
OPERATION_TYPE.MOD_CRITICAL_DODGE_CHANCE,クリティカル耐性
OPERATION_TYPE.MOD_PHYSICAL_CRITICAL_DODGE_CHANCE,物理クリティカル耐性
OPERATION_TYPE.MOD_MAGICAL_CRITICAL_DODGE_CHANCE,魔法クリティカル耐性
OPERATION_TYPE.MOD_MP_ON_DAMAGE_R,被ダメージ時MP回復量
OPERATION_TYPE.MOD_PHYSICAL_BLOCK_POWER,物理ガード時ダメージ減少
OPERATION_TYPE.MOD_MAGICAL_BLOCK_POWER,魔法ガード時ダメージ減少
OPERATION_TYPE.MOD_BLOCK_POWER,ガード時ダメージ減少
OPERATION_TYPE.MOD_HIT_CC_CHANCE,状態異常命中率
ITEM_ACTION_TYPE.RECOVER_STAMINA,スタミナ回復
SELECT_REWARD.RECEIVED_SELECTED_REWARD,選択報酬GET
MAIL.RECEIVED_MAIL_ATTACHMENT,受け取り完了
COMMON.PARENTHESES_NUMBER,({1})
PORTAL.LAST_BATTLE_POSITION,最近の\nバトル
COMMON.COMMON_OPEN,開ける
ITEM.NOT_FOR_SALE,売却不可
INVENTORY.OPEN_PACKAGE_COUNT,{1}回開ける
INVENTORY.PACKAGE_RANDOM_SELECT,ランダム{1}コ
INVENTORY.SELECT_OPTION_NOTIFICATION_TEXT,これ以上選択できる効果がありません。\n効果を変更するには、効果リセットボタンをタップしてください。
HERO_SKILL.GET_SKILL_HERO_LEVEL,レベル{1}に習得
ITEM_TYPE.AWAKE_CHALLENGE,欠片
ACHIEVEMENT.ACHIEVEMENT_REWARD_TITLE,アチーブメント報酬
EQUIP.EQUIP_OPEN_OPTION_LEVEL,強化 +{1}：
EQUIP.EQUIP_HIDE_GRADE_STAT_TEXT,強化 +{1}：追加能力値
EQUIP.EQUIP_OPTION_STAT_TEXT,追加能力値
EQUIP_ENCHANT.SET_OPTION,セット効果
EQUIP.EQUIP_SET_OPTION_NUMBER,{1}セット：
EQUIP_AWAKEN.EQUIP_AWAKEN_CONFIRM_USE_MATERIAL_MSG,ランクの高い装備です。本当に素材として使いますか？
HERO_STAT.NOT_ENOUGH_AWAKE_MATERIAL,覚醒素材が足りません。
HERO_STAT.NOT_ENOUGH_TRANSCEND_MATERIAL,足りない素材をタップすると、[制作]画面に移動します。
HERO_STAT.ENOUGH_AWAKE_MATERIAL,[試練の部屋]から覚醒することができます。
HERO_STAT.ENOUGH_TRANSCEND_MATERIAL,[試練の部屋]から超越することができます。
HERO_STAT.IN_BATTLE,[試練の部屋]で戦闘中です…
HERO_STAT.IN_PURIFYING,[浄化の部屋]で覚醒中です…
HERO_STAT.IN_TRANSCEND_PURIFYING,[浄化の部屋]で超越中です…
HERO_NOTIFY_TRANSCEND_PURIFY,[浄化の部屋]で超越中です…
HERO_STAT.FULLY_AWAKEN,英雄が覚醒しました！
HERO_STAT.STATE_AWAKENING,覚醒進行中…
HERO_STAT.STATE_TRANSCENDING,超越進行中…
