KEY,Korean
ITEM_TYPE.EQUIP,장비
ITEM_TYPE.PACKAGE,패키지
ITEM_TYPE.ENCHANT,인챈트
EQUIP_PART_TYPE.WEAPON,무기
EQUIP_PART_TYPE.ARMOR,방어구
EQUIP_PART_TYPE.ACCESSORY,장신구
EQUIP_PART_TYPE.SECOND_GEAR,보조 장비
EQUIP_PART_TYPE.ORB,보주
EQUIP_PART_TYPE.ARTIFACT,유물
EQUIP_PART_TYPE.ENHANCE_STONE,마법 수정
EQUIP_PART_TYPE.TREASURE,보물
STAT_TYPE.MAX_HP,최대 체력
STAT_TYPE.PHYSICAL_ATTACK,공격력
STAT_TYPE.MAGICAL_ATTACK,공격력
STAT_TYPE.PHYSICAL_DEFENSE,물리 방어력
STAT_TYPE.MAGICAL_DEFENSE,마법 방어력
STAT_TYPE.ADD_MAX_HP_R,최대 체력
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,공격력
STAT_TYPE.ADD_MAGICAL_ATTACK_R,공격력
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,물리 방어력
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,마법 방어력
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,치명타 확률
STAT_TYPE.PHYSICAL_CRITICAL_POWER,치명타 피해량
STAT_TYPE.PHYSICAL_DODGE_CHANCE,물리 회피 확률
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,물리 블록 확률
STAT_TYPE.PHYSICAL_BLOCK_POWER,물리블록 피해감소
STAT_TYPE.PHYSICAL_HIT_CHANCE,적중률
STAT_TYPE.PHYSICAL_PIERCE_POWER,방어 관통력
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,치명타 확률
STAT_TYPE.MAGICAL_CRITICAL_POWER,치명타 피해량
STAT_TYPE.MAGICAL_DODGE_CHANCE,마법 회피 확률
STAT_TYPE.MAGICAL_BLOCK_CHANCE,마법 블록 확률
STAT_TYPE.MAGICAL_BLOCK_POWER,마법블록 피해감소
STAT_TYPE.MAGICAL_HIT_CHANCE,적중률
STAT_TYPE.MAGICAL_PIERCE_POWER,방어 관통력
STAT_TYPE.HEAL_POWER,치유력
STAT_TYPE.RECOVER_POWER,회복력
STAT_TYPE.ANTI_CC_CHANCE,상태이상 저항
STAT_TYPE.HIT_CC_CHANCE,상태이상 적중률
STAT_TYPE.ANTI_DEBUFF_CHANCE,상태제어 저항
STAT_TYPE.PHYSICAL_WEAKNESS,받는 물리 피해 증가
STAT_TYPE.PHYSICAL_TOUGHNESS,받는 물리 피해 감소
STAT_TYPE.MAGICAL_WEAKNESS,받는 마법 피해 증가
STAT_TYPE.MAGICAL_TOUGHNESS,받는 마법 피해 감소
STAT_TYPE.HP_STEAL_POWER,흡혈
STAT_TYPE.HP_ON_DAMAGE,피격 시 체력 회복량
STAT_TYPE.HP_ON_ATTACK,공격 시 체력 회복량
STAT_TYPE.HP_ON_KILL,처치 시 체력 회복량
STAT_TYPE.HP_ON_WAVE,전투 종료 시 체력 회복량
STAT_TYPE.HP_ON_SECOND,초당 체력 회복량
STAT_TYPE.HP_RATIO_ON_DAMAGE,피격 시 체력 회복율
STAT_TYPE.HP_RATIO_ON_ATTACK,공격 시 체력 회복율
STAT_TYPE.HP_RATIO_ON_KILL,처치 시 체력 회복율
STAT_TYPE.HP_RATIO_ON_WAVE,전투 종료 시 체력 회복율
STAT_TYPE.HP_RATIO_ON_SECOND,초당 체력 회복율
STAT_TYPE.MAX_MP,최대마나
STAT_TYPE.MP_ON_DAMAGE,피격 시 마나 회복량
STAT_TYPE.MP_ON_ATTACK,공격 시 마나 회복량
STAT_TYPE.MP_ON_KILL,처치 시 마나 회복량
STAT_TYPE.MP_ON_WAVE,전투 종료 시 마나 회복량
STAT_TYPE.MP_ON_SECOND,초당 마나 회복량
STAT_TYPE.ATTACK_SPEED,공격 속도
STAT_TYPE.MOVE_SPEED_MMS,이동 속도
STAT_TYPE.PHYSICAL_CRITICAL_DODGE_CHANCE,물리 치명타 저항
STAT_TYPE.MAGICAL_CRITICAL_DODGE_CHANCE,마법 치명타 저항
STAT_TYPE.HP,현재 체력
STAT_TYPE.CCACCURACY,상태이상 적중률
STAT_TEAMLEVEL,팀 레벨
STAT_TEAMEXP,팀 경험치
STAT_VIPLEVEL,VIP 레벨
STAT_VIPEXP,VIP 경험치
STAT_LEVEL,레벨
STAT_EXP,경험치
STAT_STAR,별
STAT_GRADE,등급
STAT_TYPE.ADD_MP_ON_DAMAGE_R,피격 시 마나 회복량
STAT_TYPE.ADD_MP_ON_ATTACK_R,공격 시 마나 회복량
STAT_TYPE.ADD_MP_ON_TIME_R,초당 마나 회복량
EQUIP_SORT_TYPE.STAR_UP,별 개수(+)
EQUIP_SORT_TYPE.STAR_DOWN,별 개수(-)
EQUIP_SORT_TYPE.LEVEL_UP,강화레벨(+)
EQUIP_SORT_TYPE.LEVEL_DOWN,강화레벨(-)
EQUIP_SORT_TYPE.GRADE_UP,등급(+)
EQUIP_SORT_TYPE.GRADE_DOWN,등급(-)
ITEM_SORT_TYPE.GRADE_UP,등급(+)
ITEM_SORT_TYPE.GRADE_DOWN,등급(-)
ITEM_SORT_TYPE.LEVEL_UP,레벨 순(+)
ITEM_SORT_TYPE.LEVEL_DOWN,레벨 순(-)
MATCH_TIER_TYPE.BRONZE,브론즈
MATCH_TIER_TYPE.SILVER,실버
MATCH_TIER_TYPE.GOLD,골드
MATCH_TIER_TYPE.PLATINUM,플래티넘
MATCH_TIER_TYPE.DIAMOND,다이아몬드
MATCH_TIER_TYPE.MASTER,마스터
MATCH_TIER_TYPE.ROYAL_MASTER,로열 마스터
MATCH_TIER_TYPE.CHALLENGER,챌린저
MATCH_TIER_TYPE.CHAMPION,챔피언
OPERATION_TYPE.MOD_POWER_R,공격력
OPERATION_TYPE.MOD_PHYSICAL_POWER,물리 공격력
