KEY,Portuguese
ITEM_TYPE.EQUIP,Equipamento
ITEM_TYPE.PACKAGE,Pacote
ITEM_TYPE.ENCHANT,Encantar
EQUIP_PART_TYPE.WEAPON,Arma
EQUIP_PART_TYPE.ARMOR,Armadura
EQUIP_PART_TYPE.ACCESSORY,Acessório
EQUIP_PART_TYPE.SECOND_GEAR,Equipamento Secundário
EQUIP_PART_TYPE.ORB,Orbe
EQUIP_PART_TYPE.ARTIFACT,Artefato
EQUIP_PART_TYPE.ENHANCE_STONE,Cristal Mágico
EQUIP_PART_TYPE.TREASURE,Tesouro
STAT_TYPE.MAX_HP,PV Máx.
STAT_TYPE.PHYSICAL_ATTACK,ATQ
STAT_TYPE.MAGICAL_ATTACK,ATQ
STAT_TYPE.PHYSICAL_DEFENSE,DEF F.
STAT_TYPE.MAGICAL_DEFENSE,DEF M.
STAT_TYPE.ADD_MAX_HP_R,PV Máx.
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,ATQ
STAT_TYPE.ADD_MAGICAL_ATTACK_R,ATQ
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,DEF F.
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,DEF M.
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,Crít
STAT_TYPE.PHYSICAL_CRITICAL_POWER,DANO CRÍT
STAT_TYPE.PHYSICAL_DODGE_CHANCE,Esquiva F.
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,Bloqueio F.
STAT_TYPE.PHYSICAL_BLOCK_POWER,DEF a Bloqueio F.
STAT_TYPE.PHYSICAL_HIT_CHANCE,PREC
STAT_TYPE.PHYSICAL_PIERCE_POWER,Penetração
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,Crít
STAT_TYPE.MAGICAL_CRITICAL_POWER,DANO CRÍT
STAT_TYPE.MAGICAL_DODGE_CHANCE,Esquiva M.
STAT_TYPE.MAGICAL_BLOCK_CHANCE,Bloqueio M.
STAT_TYPE.MAGICAL_BLOCK_POWER,DEF a Bloqueio M.
STAT_TYPE.MAGICAL_HIT_CHANCE,PREC
STAT_TYPE.MAGICAL_PIERCE_POWER,Penetração
STAT_TYPE.HEAL_POWER,Curar
STAT_TYPE.RECOVER_POWER,Recuperação
STAT_TYPE.ANTI_CC_CHANCE,Resistir CM
STAT_TYPE.HIT_CC_CHANCE,Penalidade de PREC
STAT_TYPE.ANTI_DEBUFF_CHANCE,Resistir a Penalidade
STAT_TYPE.PHYSICAL_WEAKNESS,Fraco F.
STAT_TYPE.PHYSICAL_TOUGHNESS,Forte F.
STAT_TYPE.MAGICAL_WEAKNESS,Fraco M.
STAT_TYPE.MAGICAL_TOUGHNESS,Forte M.
STAT_TYPE.HP_STEAL_POWER,Roubo de Vida
STAT_TYPE.HP_ON_DAMAGE,HP Recuperação/DAN
STAT_TYPE.HP_ON_ATTACK,HP Recuperação/Ataque
STAT_TYPE.HP_ON_KILL,HP Recuperação/eliminação
STAT_TYPE.HP_ON_WAVE,HP Recuperação/Batalha
STAT_TYPE.HP_ON_SECOND,HP Recuperação/Seg
STAT_TYPE.HP_RATIO_ON_DAMAGE,Índice de Recuperação de PV/DAN
STAT_TYPE.HP_RATIO_ON_ATTACK,Índice de Recuperação de PV/Acerto
STAT_TYPE.HP_RATIO_ON_KILL,Índice de Recuperação de PV/eliminação
STAT_TYPE.HP_RATIO_ON_WAVE,Índice de Recuperação de PV/Batalha
STAT_TYPE.HP_RATIO_ON_SECOND,Índice de Recuperação de PV/Seg
STAT_TYPE.MAX_MP,PM MÁX
STAT_TYPE.MP_ON_DAMAGE,Recuperação de PM/DAN
STAT_TYPE.MP_ON_ATTACK,Rec. de PM/Ataque
