KEY,"Spanish"
ITEM_TYPE.EQUIP,"Equipamiento"
ITEM_TYPE.PACKAGE,"Paquete"
ITEM_TYPE.ENCHANT,"Hechizo"
EQUIP_PART_TYPE.WEAPON,"Arma"
EQUIP_PART_TYPE.ARMOR,"Armadura"
EQUIP_PART_TYPE.ACCESSORY,"Accesorio"
EQUIP_PART_TYPE.SECOND_GEAR,"Equipo Secundario"
EQUIP_PART_TYPE.ORB,"Esfera"
EQUIP_PART_TYPE.ARTIFACT,"Artefacto"
EQUIP_PART_TYPE.ENHANCE_STONE,"Cristal mágico"
EQUIP_PART_TYPE.TREASURE,"Tesoro"
STAT_TYPE.MAX_HP,"MAX. Salud"
STAT_TYPE.PHYSICAL_ATTACK,"ATQ"
STAT_TYPE.MAGICAL_ATTACK,"ATQ"
STAT_TYPE.PHYSICAL_DEFENSE,"DEF. Fis."
STAT_TYPE.MAGICAL_DEFENSE,"DEF. Mágica"
STAT_TYPE.ADD_MAX_HP_R,"MAX. Salud"
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,"ATQ"
STAT_TYPE.ADD_MAGICAL_ATTACK_R,"ATQ"
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,"DEF. Fis."
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,"DEF. Mágica"
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,"Crit."
STAT_TYPE.PHYSICAL_CRITICAL_POWER,"DAÑO Crit."
STAT_TYPE.PHYSICAL_DODGE_CHANCE,"Evasión Fis."
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,"Bloq. Fis."
STAT_TYPE.PHYSICAL_BLOCK_POWER,"Bloq. DEF. Fis."
STAT_TYPE.PHYSICAL_HIT_CHANCE,"Precisión"
STAT_TYPE.PHYSICAL_PIERCE_POWER,"Entrada"
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,"Crit."
STAT_TYPE.MAGICAL_CRITICAL_POWER,"DAÑO Crit."
STAT_TYPE.MAGICAL_DODGE_CHANCE,"Evasión Mágica"
STAT_TYPE.MAGICAL_BLOCK_CHANCE,"Bloq. Mágico"
STAT_TYPE.MAGICAL_BLOCK_POWER,"Bloq. DEF. Mágico"
STAT_TYPE.MAGICAL_HIT_CHANCE,"Precisión"
STAT_TYPE.MAGICAL_PIERCE_POWER,"Entrada"
STAT_TYPE.HEAL_POWER,"Curar"
STAT_TYPE.RECOVER_POWER,"Recuperación"
STAT_TYPE.ANTI_CC_CHANCE,"Resistencia Ctrl. Masas"
STAT_TYPE.HIT_CC_CHANCE,"ACC Débil"
STAT_TYPE.ANTI_DEBUFF_CHANCE,"Resist Debilit."
STAT_TYPE.PHYSICAL_WEAKNESS,"Mayor Daño Fis."
STAT_TYPE.PHYSICAL_TOUGHNESS,"Menor Daño Fis."
STAT_TYPE.MAGICAL_WEAKNESS,"Mayor Daño Mágico"
STAT_TYPE.MAGICAL_TOUGHNESS,"Menor Daño Mágico"
STAT_TYPE.HP_STEAL_POWER,"Roba Vidas"
STAT_TYPE.HP_ON_DAMAGE,"Recuperación Salud/DAÑO"
STAT_TYPE.HP_ON_ATTACK,"Recuperación Salud/Ataque"
STAT_TYPE.HP_ON_KILL,"Recuperación Salud/eliminación"
STAT_TYPE.HP_ON_WAVE,"Recuperación Salud/batalla"
STAT_TYPE.HP_ON_SECOND,"Recuperación Salud/Seg."
STAT_TYPE.HP_RATIO_ON_DAMAGE,"Tasa Recuperación Salud/DAÑO"
STAT_TYPE.HP_RATIO_ON_ATTACK,"Tasa Recuperación Salud/Golpe"
STAT_TYPE.HP_RATIO_ON_KILL,"Tasa Recuperación Salud/eliminación"
STAT_TYPE.HP_RATIO_ON_WAVE,"Tasa Recuperación Salud/Batalla"
STAT_TYPE.HP_RATIO_ON_SECOND,"Tasa Recuperación Salud/Seg."
STAT_TYPE.MAX_MP,"MAX. PM"
STAT_TYPE.MP_ON_DAMAGE,"Recuperación PM/DAÑO"
STAT_TYPE.MP_ON_ATTACK,"Recuperación PM/Ataque"
STAT_TYPE.MP_ON_KILL,"Recuperación PM/Eliminación"
STAT_TYPE.MP_ON_WAVE,"Recuperación PM/Batalla"
STAT_TYPE.MP_ON_SECOND,"Recuperación PM/Seg."
STAT_TYPE.ATTACK_SPEED,"Veloc. ATQ"
STAT_TYPE.MOVE_SPEED_MMS,"Veloc. Movimiento"
STAT_TYPE.PHYSICAL_CRITICAL_DODGE_CHANCE,"Resistencia Fis. Crit."
STAT_TYPE.MAGICAL_CRITICAL_DODGE_CHANCE,"Resistencia Mágica Crit."
STAT_TYPE.HP,"Salud Actual"
STAT_TYPE.CCACCURACY,"Precisión Débil"
STAT_TEAMLEVEL,"Niv. Equipo"
STAT_TEAMEXP,"EXP. Equipo"
STAT_VIPLEVEL,"Niv. VIP"
STAT_VIPEXP,"EXP. VIP"
STAT_LEVEL,"Niv."
STAT_EXP,"EXP."
STAT_STAR,"Estrellas"
STAT_GRADE,"Rango"
STAT_TYPE.ADD_MP_ON_DAMAGE_R,"Recuperación PM/DAÑO"
STAT_TYPE.ADD_MP_ON_ATTACK_R,"Recuperación PM/Ataque"
STAT_TYPE.ADD_MP_ON_TIME_R,"Recuperación PM/Seg."
EQUIP_SORT_TYPE.STAR_UP,"Número de Estrellas (+)"
EQUIP_SORT_TYPE.STAR_DOWN,"Número de Estrellas (-)"
EQUIP_SORT_TYPE.LEVEL_UP,"Nivel de Mejora (+)"
EQUIP_SORT_TYPE.LEVEL_DOWN,"Nivel de Mejora (-)"
EQUIP_SORT_TYPE.GRADE_UP,"Rango (+)"
EQUIP_SORT_TYPE.GRADE_DOWN,"Rango (-)"
ITEM_SORT_TYPE.GRADE_UP,"Rango (+)"
ITEM_SORT_TYPE.GRADE_DOWN,"Rango (-)"
ITEM_SORT_TYPE.LEVEL_UP,"Por Nivel (+)"
ITEM_SORT_TYPE.LEVEL_DOWN,"Por Nivel (-)"
MATCH_TIER_TYPE.BRONZE,"Bronze"
MATCH_TIER_TYPE.SILVER,"Silver"
MATCH_TIER_TYPE.GOLD,"Gold"
MATCH_TIER_TYPE.PLATINUM,"Platinum"
MATCH_TIER_TYPE.DIAMOND,"Diamond"
MATCH_TIER_TYPE.MASTER,"Master"
MATCH_TIER_TYPE.ROYAL_MASTER,"Maestro real"
MATCH_TIER_TYPE.CHALLENGER,"Retador"
MATCH_TIER_TYPE.CHAMPION,"Champion"
OPERATION_TYPE.MOD_POWER_R,"ATQ"
OPERATION_TYPE.MOD_PHYSICAL_POWER,"ATQ Fis."
OPERATION_TYPE.MOD_PHYSICAL_POWER_R,"ATQ Fis."
OPERATION_TYPE.MOD_MAGICAL_POWER,"ATQ Mágico"
OPERATION_TYPE.MOD_MAGICAL_POWER_R,"ATQ Mágico"
OPERATION_TYPE.MOD_MAX_HP,"Max. Salud"
OPERATION_TYPE.MOD_MAX_HP_R,"Max. Salud"
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE,"DEF. Fis."
OPERATION_TYPE.MOD_PHYSICAL_DEFENCE_R,"DEF. Fis."
OPERATION_TYPE.MOD_MAGICAL_DEFENCE,"DEF. Mágica"
OPERATION_TYPE.MOD_MAGICAL_DEFENCE_R,"DEF. Mágica"
OPERATION_TYPE.MOD_DEFENCE_R,"DEF"
OPERATION_TYPE.MOD_PHYSICAL_CRITICAL_CHANCE,"Tasa Crit. Fis."
OPERATION_TYPE.MOD_MAGICAL_CRITICAL_CHANCE,"Tasa Crit. Mágica"
OPERATION_TYPE.MOD_CRITICAL_CHANCE,"Crit."
OPERATION_TYPE.MOD_PHYSICAL_DODGE_CHANCE,"Esquivar Fis."
OPERATION_TYPE.MOD_MAGICAL_DODGE_CHANCE,"Esquivar Magia"
OPERATION_TYPE.MOD_DODGE_CHANCE,"Evasión"
OPERATION_TYPE.MOD_PHYSICAL_BLOCK_CHANCE,"Bloqueo Fis."
OPERATION_TYPE.MOD_MAGICAL_BLOCK_CHANCE,"Bloqueo Mágico"
OPERATION_TYPE.MOD_BLOCK_CHANCE,"Bloqueo"
OPERATION_TYPE.MOD_PHYSICAL_PIERCE_POWER,"Entrada Fis."
OPERATION_TYPE.MOD_MAGICAL_PIERCE_POWER,"Entrada Mágica"
OPERATION_TYPE.MOD_PIERCE_POWER,"Entrada"
OPERATION_TYPE.MOD_PHYSICAL_HIT_CHANCE,"Precisión Fis."
OPERATION_TYPE.MOD_MAGICAL_HIT_CHANCE,"Presición Mágica"
OPERATION_TYPE.MOD_HIT_CHANCE,"Presición"
OPERATION_TYPE.MOD_HP_STEAL_POWER,"Roba Vidas"
OPERATION_TYPE.MOD_ANTI_CC_CHANCE,"Resistir Ctrl. Masas"
OPERATION_TYPE.MOD_HEAL_POWER,"Curar"
OPERATION_TYPE.MOD_RECOVER_POWER,"Recuperación"
OPERATION_TYPE.MOD_PHYSICAL_CRITICAL_POWER,"DAÑO Fis. Crit."
OPERATION_TYPE.MOD_MAGICAL_CRITICAL_POWER,"DAÑO Mágico Crit."
OPERATION_TYPE.MOD_CRITICAL_POWER,"DAÑO Crit."
OPERATION_TYPE.MOD_ATTACK_SPEED,"Veloc. ATQ"
OPERATION_TYPE.MOD_ATTACK_SPEED_R,"Veloc. ATQ"
OPERATION_TYPE.MOD_MP_ON_KILL,"Recuperación PM/Eliminación"
OPERATION_TYPE.MOD_HP_RATIO_ON_WAVE,"Recuperación Salud/batalla"
OPERATION_TYPE.MOD_MP_ON_WAVE,"Recuperación PM/Batalla"
OPERATION_TYPE.MOD_PHYSICAL_WEAKNESS,"Debilidad Fis."
OPERATION_TYPE.MOD_PHYSICAL_TOUGHNESS,"Resistencia Fis."
OPERATION_TYPE.MOD_MAGICAL_WEAKNESS,"Debilidad Mágica"
OPERATION_TYPE.MOD_MAGICAL_TOUGHNESS,"Resistencia Mágica"
OPERATION_TYPE.MOD_TOUGHNESS,"Fuerte"
OPERATION_TYPE.MOD_MP_ON_ATTACK_R,"Recuperación PM/Ataque"
OPERATION_TYPE.MOD_MP_ON_TIME_R,"Recuperación PM/Seg."
OPERATION_TYPE.MOD_CRITICAL_DODGE_CHANCE,"Resistencia Crit."
OPERATION_TYPE.MOD_PHYSICAL_CRITICAL_DODGE_CHANCE,"Resistencia Fis. Crit."
OPERATION_TYPE.MOD_MAGICAL_CRITICAL_DODGE_CHANCE,"Resistencia Mágica Crit."
OPERATION_TYPE.MOD_MP_ON_DAMAGE_R,"Recuperación del Mana al recibir Daño"
OPERATION_TYPE.MOD_PHYSICAL_BLOCK_POWER,"Reducción de Daño al Bloquear Fis."
OPERATION_TYPE.MOD_MAGICAL_BLOCK_POWER,"Reduccion de Daño al Bloquear Magicamente"
OPERATION_TYPE.MOD_BLOCK_POWER,"Reducción del Daño al Bloquear."
OPERATION_TYPE.MOD_HIT_CC_CHANCE,"Precisión Débil"
ITEM_ACTION_TYPE.RECOVER_STAMINA,"Recuperación de Energía"
SELECT_REWARD.RECEIVED_SELECTED_REWARD,"Adquirir Recompensa Seleccionada"
MAIL.RECEIVED_MAIL_ATTACHMENT,"Adjunto de Correo"
COMMON.PARENTHESES_NUMBER,"({1})"
PORTAL.LAST_BATTLE_POSITION,"Ultima\nUbicación"
COMMON.COMMON_OPEN,"Abrir"
ITEM.NOT_FOR_SALE,"No esta a la venta"
INVENTORY.OPEN_PACKAGE_COUNT,"Abrir {1} paquete(s)"
INVENTORY.PACKAGE_RANDOM_SELECT,"Aleatorio {1}"
INVENTORY.SELECT_OPTION_NOTIFICATION_TEXT,"No hay opciones seleccionables.\nPara cambiarlas, toca Restablecer opción."
HERO_SKILL.GET_SKILL_HERO_LEVEL,"Aprender en Niv. {1}"
ITEM_TYPE.AWAKE_CHALLENGE,"Fragmento"
ACHIEVEMENT.ACHIEVEMENT_REWARD_TITLE,"Recompensa de Logro"
EQUIP.EQUIP_OPEN_OPTION_LEVEL,"Mejorar +{1}:"
EQUIP.EQUIP_HIDE_GRADE_STAT_TEXT,"Mejorar +{1}: Capacidades Adicionales"
EQUIP.EQUIP_OPTION_STAT_TEXT,"Capacidades Adicionales"
EQUIP_ENCHANT.SET_OPTION,"Establecer Opción"
EQUIP.EQUIP_SET_OPTION_NUMBER,"{1}Establecer:"
EQUIP_AWAKEN.EQUIP_AWAKEN_CONFIRM_USE_MATERIAL_MSG,"Este equipo tiene una puntuación alta. Deseas utilizarlo como material?"
HERO_STAT.NOT_ENOUGH_AWAKE_MATERIAL,"No hay suficientes materiales para el despertar"
HERO_STAT.NOT_ENOUGH_TRANSCEND_MATERIAL,"Presiona en los mater. faltantes, para ir a la Etiq. de Elab."
HERO_STAT.ENOUGH_AWAKE_MATERIAL,"Capaz de ingresar al Cuarto de Pruebas"
HERO_STAT.ENOUGH_TRANSCEND_MATERIAL,"Puedes trascender al héroe en el Cuarto de Pruebas"
HERO_STAT.IN_BATTLE,"Hay una batalla en curso en el Cuarto de Pruebas"
HERO_STAT.IN_PURIFYING,"Purificando"
HERO_STAT.IN_TRANSCEND_PURIFYING,"Puedes trascender al héroe en el Cuarto de Purificacion"
HERO_NOTIFY_TRANSCEND_PURIFY,"Puedes trascender al héroe en el Cuarto de Purificacion"
HERO_STAT.FULLY_AWAKEN,"el Héroe ha despertado"
HERO_STAT.STATE_AWAKENING,"Despertar en Progreso"
HERO_STAT.STATE_TRANSCENDING,"Trascendencia en Progreso"
HERO_STAT.STATE_FULLY_AWAKEN,"Despertar Max."
HERO_STAT.STATE_FULLY_TRANSCENDED,"Trascendencia Max."
DUNGEON_DIFFICULTY_TYPE.EASY,"Easy"
DUNGEON_DIFFICULTY_TYPE.NORMAL,"Normal"
DUNGEON_DIFFICULTY_TYPE.HARD,"Hard"
DUNGEON_DIFFICULTY_TYPE.HELL,"Hell"
NODE_FUNCTION.ALL_NODE_FUNCTION_LOCKED,"Necesitas terminar {1} - {2}."
NODE_FUNCTION.CURRENT_NODE_FUNCTION_LOCKED,"Necesitas terminar {1} - {2}."
NODE_FUNCTION.NOT_READY,"Contenido esta siendo preparado"
MATCH.MATCH_SEASON_REMAIN_LABEL_MINUTE,"{3} mins restantes"
RUNE.EQUIP_INFO_TAKEOFF,"Retirar"
RUNE.RUNE_ALERT_SELECT_EQUIP,"Selecciona el equipo para la runa"
RUNE.RUNE_EQUIP_ASK_MESSAGE,"Deseas asignar una runa al espacio libre?"
RUNE.RUNE_EQUIP_ASK_TITLE,"Equipar Runa"
RUNE.RUNE_STAT,"Opciones de Runa"
RUNE.RUNE_TYPE_ACCESSORY_ONLY,"Runas para Accesorios"
RUNE.RUNE_TYPE_ARMOR_ONLY,"Runas para Armadura Protectora"
RUNE.RUNE_TYPE_WEAPON_ONLY,"Runas para Armas"
RUNE.RUNE_WEAPON_ARMOR,"Runas para armas y armaduras"
RUNE.RUNE_WEAPON_SECONDGEAR,"Runas para armas y equipo secundario"
RUNE.RUNE_ARMOR_SECONDGEAR,"Runas para armadura y equipo secundario"
RUNE.RUNE_WEAPON_ARMOR_SECONDGEAR,"Runas para armas, armadura y equipo secundario"
RUNE.RUNE_UNEQUIP_ASK_MESSAGE,"Deseas remover la runa?\n(Si remueves la runa, será destruida.)"
RUNE.RUNE_UNEQUIP_ASK_TITLE,"Conservar Runa"
RUNE.RUNE_PRESERVE_ASK_MESSAGE,250,"Rubíes Insuficientes \nDeseas ir a la Tienda Especial?"
RUNE.RUNE_ALERT_NO_EMPTY_SLOT,"No hay espacios libres para equipar esta runa.\nRemueve otra runa primero"
RUNE.RUNE_PRESERVE_ASK_MESSAGE,"Deseas utilizar {1} Rubíes para conservar\n la runa en este espacio?"
ITEM.COMMON_GROWTH_REWARD_COUNT,"Posesión:{1}"
ITEM.BOOSTER_END_DURATION_TIME,"Tiempo Restante: {1} h {2} m"
ITEM.BOOSTER_END_MESSAGE,"el Tiempo se ha terminado, el efecto amplificador finalizará."
BATTLE.AUTO_BUTTON_DISABLED,"Para activar AUTO, debes terminar el escenario primero."
BATTLE.CANNOT_REMOVE_FORCED_HERO,"Este héroe no se puede eliminar del grupo en este calabozo."
PAY_SHOP.BUY_GEM_BASIC_BONUS_ADD_MSG,"(Bonificación Basica)"
PAY_SHOP.BUY_GEM_DAILY_ADD_MSG,"(Por 30 días, una vez iniciada sesión)"
PAY_SHOP.BUY_GEM_FIRST_BONUS_ADD_MSG,"(Bonificación de Primera Compra)"
PAY_SHOP.BUY_GEM_DAY_BONUS,"(Día de Bonificación{1})"
PAY_SHOP.RUBY_MONTHLY_BENEFIT,"Por {1} días, una vez iniciada sesión, obtén {2} rubíes. Total de {3} Rubíes.\n(incluyendo bonificación)"
PAY_SHOP.BOOSTER_MONTHLY_BENEFIT,"{2} Efecto aplica por {1}día(s)\nMismos Efectos pueden funcionar de manera coincidente"
PAY_SHOP.BUY_BOOSTER_APPLY_IMMEDIATELY,"(Aplicar Inmediatamente luego de la compra)"
SCENARIO_QUEST.REWARD_TITLE,"Mision Completa!"
GACHA.FREE_GACHA_ITEM_COUNT,"Convocar {1} Boleto(s)"
GUILD.GUILD_RANK_NEW_MEMBER,"Nuevo Miembro"
GUILD.GUILD_CHAT_NEW_MEMBER,"{1} se ha unido a tu clan. Recibe Amigablemente a tu nuevo miembro!"
GUILD.GUILD_CHAT_WITHDRAW,"{1} ha dejado tu clan."
GUILD.GUILD_CHAT_CHANGE_RANK,"La posición de {1} cambio a {2}."
GUILD.GUILD_RANK_GHOST_MEMBER,"Fantasma"
GUILD.GUILD_JOIN_REQUEST_COMPLETED,"[FF7F00]Has enviado una solicitud para unirte al clan.\nSerás aceptado una vez que tu solicitud sea aprobada."
RESULT_TYPE.GUILD_JOIN_REQUEST_EXIST,"Te has unido a la lista de espera de solicitud"
RESULT_TYPE.NOT_ELAPSED_GUILD_REQUEST_COOL_TIME,"No han pasado 24 horas desde que abandonaste el clan anterior. No puedes unirte o crear un nuevo Clan todavía."
SYSTEM.LABEL_REMAIN_DAY_HOUR,"{1}d {2}h"
SYSTEM.LABEL_REMAIN_HOUR_MINUTE,"{1}h {2}min"
SYSTEM.LABEL_REMAIN_MIN_SEC,"{1}min {2}seg"
SYSTEM.LABEL_REMAIN_SEC,"{1}seg"
SYSTEM.LABEL_REMAIN_DAY,"{1}d"
SYSTEM.LABEL_REMAIN_HOUR,"{1}h"
SYSTEM.LABEL_REMAIN_MIN,"{1}min"
GUILD.GUILD_CONFIRM_KICK,"Deseas expulsar a {1} del Clan?"
GUILD.GUILD_CONFIRM_RANK,"Deseas asignar a {1} a {2}?"
GUILD.GUILD_LEVELUP_MAXLEVEL,"nivel del Clan está al Max."
GUILD.GUILD_LEVELUP_NOT_ENOUGH_AP,"Insuficientes PA del Clan. {1} los PA son necesarios para aumentar el nivel"
SYSTEM.REMAIN_TIME_DAY_HOUR,"{1}d {2}h"
SYSTEM.REMAIN_TIME_HOUR_MINUTE,"{1}h {2}min"
SYSTEM.REMAIN_TIME_MIN_SEC,"{1}min {2}seg"
SYSTEM.REMAIN_TIME_SEC,"{1}seg"
SYSTEM.REMAIN_TIME_DAY,"{1}d"
SYSTEM.REMAIN_TIME_HOUR,"{1}h"
SYSTEM.REMAIN_TIME_MIN,"{1}min"
CurrentMaxTranscended,"Al Max. Niv. de Trascendencia"
SELECT_TRANSCEND_ATTR,"Seleccionar Beneficio de Trascendencia"
TUTORIAL.TUTORIAL_BACKBUTTON_WARNING,"No se puede ejecutar el 'Boton Regresar'"
RESULT_TYPE.INVALID_PARTY,"Grupo no existe"
RESULT_TYPE.PARTY_FULL,"Grupo esta lleno"
RESULT_TYPE.SLOT_FULL,"Grupo esta lleno"
RESULT_TYPE.BANNED,"Has sido expulsado."
INVEN_USE_STAMINA3,"Cuántos de {1} utilizarás?"
STAMINA_TYPE.CHALLENGE_TOWER_KEY,"Cubo"
STAMINA_TYPE.CHICKEN,"Energía"
STAMINA_TYPE.HIDEOUT_KEY,"Llave del Calabozo Superior"
STAMINA_TYPE.EVENT_DUNGEON_TICKET,"Boleto de entrada al festival"
