KEY,Thai
ITEM_TYPE.EQUIP,Equipment
ITEM_TYPE.PACKAGE,Package
ITEM_TYPE.ENCHANT,มนตรา
EQUIP_PART_TYPE.WEAPON,อาวุธ
EQUIP_PART_TYPE.ARMOR,เกราะ
EQUIP_PART_TYPE.ACCESSORY,เครื่องประดับ
EQUIP_PART_TYPE.SECOND_GEAR,อุปกรณ์เสริม
EQUIP_PART_TYPE.ORB,Orb
EQUIP_PART_TYPE.ARTIFACT,Artifact
EQUIP_PART_TYPE.ENHANCE_STONE,คริสตัลเวทมนตร์
EQUIP_PART_TYPE.TREASURE,สมบัติ
STAT_TYPE.MAX_HP,HP สุงสุด
STAT_TYPE.PHYSICAL_ATTACK,โจมตี
STAT_TYPE.MAGICAL_ATTACK,โจมตี
STAT_TYPE.PHYSICAL_DEFENSE,ป้องกันกาย
STAT_TYPE.MAGICAL_DEFENSE,ป้องกันเวทย์
STAT_TYPE.ADD_MAX_HP_R,พลังชีวิตสุงสุด
STAT_TYPE.ADD_PHYSICAL_ATTACK_R,โจมตี
STAT_TYPE.ADD_MAGICAL_ATTACK_R,โจมตี
STAT_TYPE.ADD_PHYSICAL_DEFENSE_R,ป้องกันกาย
STAT_TYPE.ADD_MAGICAL_DEFENSE_R,ป้องกันเวทย์
STAT_TYPE.PHYSICAL_CRITICAL_CHANCE,อัตราคริ
STAT_TYPE.PHYSICAL_CRITICAL_POWER,ความเสียหายคริติคอล
STAT_TYPE.PHYSICAL_DODGE_CHANCE,หลบหลีกกาย
STAT_TYPE.PHYSICAL_BLOCK_CHANCE,บล็อคกาย
STAT_TYPE.PHYSICAL_BLOCK_POWER,ลดดาเมจกาย/บล็อค
STAT_TYPE.PHYSICAL_HIT_CHANCE,แม่นยำ
STAT_TYPE.PHYSICAL_PIERCE_POWER,เจาะเกราะ
STAT_TYPE.MAGICAL_CRITICAL_CHANCE,อัตราคริ
STAT_TYPE.MAGICAL_CRITICAL_POWER,ความเสียหายคริติคอล
STAT_TYPE.MAGICAL_DODGE_CHANCE,หลบหลีกเวทย์
STAT_TYPE.MAGICAL_BLOCK_CHANCE,บล็อคเวทย์
STAT_TYPE.MAGICAL_BLOCK_POWER,ลดดาเมจเวทย์/บล็อค
STAT_TYPE.MAGICAL_HIT_CHANCE,แม่นยำ
STAT_TYPE.MAGICAL_PIERCE_POWER,เจาะเกราะ
STAT_TYPE.HEAL_POWER,รักษา
STAT_TYPE.RECOVER_POWER,ฟิ้นฟู
STAT_TYPE.ANTI_CC_CHANCE,ป้องกันสถานะ
STAT_TYPE.HIT_CC_CHANCE,อัตราการเกิดดีบัฟ
STAT_TYPE.ANTI_DEBUFF_CHANCE,ป้องกันดีบัฟ
STAT_TYPE.PHYSICAL_WEAKNESS,ดาเมจกายเพิ่มขึ้น
STAT_TYPE.PHYSICAL_TOUGHNESS,ต้านทานดาเมจกาย
STAT_TYPE.MAGICAL_WEAKNESS,ดาเมจเวทย์เพิ่มขึ้น
STAT_TYPE.MAGICAL_TOUGHNESS,ต้านทานดาเมจเวทย์
STAT_TYPE.HP_STEAL_POWER,ดูด HP
STAT_TYPE.HP_ON_DAMAGE,ฟื้นฟู HP/ถูกโจมตี
STAT_TYPE.HP_ON_ATTACK,ฟื้นฟู HP/โจมตี
STAT_TYPE.HP_ON_KILL,ฟื้นฟู HP/กำจัดศัตรู
STAT_TYPE.HP_ON_WAVE,ฟื้นฟู HP/ต่อสู้
