KEY,"ChineseTraditional"
GAME_GUIDE,"遊戲引導"
SELECT_GUIDE,"選擇引導"
SHOW_GUIDE,"查看詳情"
GUIDE_MENU,"遊戲引導"
CONTENT_NOT_OPEN_WORLDBOSS,"世界BOSS尚未開放"
GUIDE_MENU_SHOW,"查看引導"
GAME_GUIDE_TITLE_01,"無條件跟隨克麗歐一起認識王之逆襲"
GAME_GUIDE_DESC_01,"專為初來乍到的冒險家而提供的遊戲引導"
GAME_GUIDE_0101,"英雄"
GAME_GUIDE_0101_SUM,"確認英雄的職業與攻擊屬性後，來組一個強而有力的隊伍吧！"
GAME_GUIDE_0101_001_TITLE,"英雄可以從哪裡獲得呢？"
GAME_GUIDE_0101_001_DESC,"可以透過特惠商城使用紅寶石來獲得英雄，\n另外，培養在英雄旅館內英雄的好感度，也可以招募該英雄。"
GAME_GUIDE_0101_002_TITLE,"英雄有幾種職業呢？"
GAME_GUIDE_0101_002_DESC,"所有英雄總共可以分為7種職業。\n▶職業：騎士／戰士／刺客／魔法師／弓箭手／牧師／機械工"
GAME_GUIDE_0101_003_TITLE,"英雄有哪幾種屬性？"
GAME_GUIDE_0101_003_DESC,"英雄有分物理屬性與魔法屬性。\n▶攻擊屬性：物理屬性／魔法屬性\n由於物理免疫的怪物對物理屬性的傷害無效，這時候就需要使用魔法屬性攻擊。"
GAME_GUIDE_0102,"升級"
GAME_GUIDE_0102_SUM,"在戰鬥中獲得經驗值來提升等級吧！讓自己變得更加強大！"
GAME_GUIDE_0102_001_TITLE,"可以從哪裡獲得經驗值？"
GAME_GUIDE_0102_001_DESC,"所有戰鬥皆可獲得經驗值。\n特別是討伐戰鬥可以獲得大量的經驗值喔！"
GAME_GUIDE_0102_002_TITLE,"升級後會有什麼效果呢？"
GAME_GUIDE_0102_002_DESC,"升級的話，英雄的基本能力值會上升，技能等級也會一起上升。"
GAME_GUIDE_0103,"覺醒與突破"
GAME_GUIDE_0103_SUM,"透過覺醒與突破可以讓英雄變得更加強大！"
GAME_GUIDE_0103_001_TITLE,"覺醒是什麼？"
GAME_GUIDE_0103_001_DESC,"英雄達到特定等級後可以提升覺醒★階段，覺醒的★階段越高，英雄的能力值與最大等級也會提升。"
GAME_GUIDE_0103_002_TITLE,"要怎麼將英雄覺醒？"
GAME_GUIDE_0103_002_DESC,"使用英雄職業所需晶元，將覺醒★階段提升。\n最多可以覺醒到5★階段，而晶元可以在各個關卡的高級副本中獲得。"
GAME_GUIDE_0103_003_TITLE,"突破是什麼？"
GAME_GUIDE_0103_003_DESC,"英雄覺醒達到5★階級時可以進行突破。\n英雄突破後，英雄的能力值與最大等級將會提升。\n達到突破階段，即可學習突破技能。"
GAME_GUIDE_0103_004_TITLE,"要怎麼將英雄突破？"
