KEY,"English"
GAME_GUIDE,"Guide"
SELECT_GUIDE,"Select Guide"
SHOW_GUIDE,"Details"
GUIDE_MENU,"Guide"
CONTENT_NOT_OPEN_WORLDBOSS,"World Boss battle is not open"
GUIDE_MENU_SHOW,"View Guide"
GAME_GUIDE_TITLE_01,"An Intoduction to King's Raid with Cleo"
GAME_GUIDE_DESC_01,"A guide for raiders new to King's Raid"
GAME_GUIDE_0101,"Heroes"
GAME_GUIDE_0101_SUM,"Check the class and attack type of each heroes to form the strongest team!!"
GAME_GUIDE_0101_001_TITLE,"How can I recruit new heroes?"
GAME_GUIDE_0101_001_DESC,"Heroes can be purchased with rubies from the Special Shop.\nYou can also meet new heroes at the Hero's Inn to gain Kinship Rate and recruit them."
GAME_GUIDE_0101_002_TITLE,"How many hero classes are there?"
GAME_GUIDE_0101_002_DESC,"There are a total of 7 classes.\n▶Hero Class: Knight / Warrior / Assassin / Wizard / Archer / Priest / Mechanic"
GAME_GUIDE_0101_003_TITLE,"What is hero attack type?"
GAME_GUIDE_0101_003_DESC,"Each hero belong to either physical or magical attack type.\n▶Attack Type: Physical / Magical\nMonsters that are immune to physical attacks do not take physical damage, and must be attacked with magic type heroes."
GAME_GUIDE_0102,"Level Up"
GAME_GUIDE_0102_SUM,"Gain EXP to level up! You'll become much stronger!"
GAME_GUIDE_0102_001_TITLE,"Where can I get EXP?"
GAME_GUIDE_0102_001_DESC,"EXP can be gained from all type of battles.\nAmong all battles, Conquest battle will give you the most EXP."
GAME_GUIDE_0102_002_TITLE,"What can I gain from Level Up?"
GAME_GUIDE_0102_002_DESC,"Level up heroes to increase their stats and skill levels."
GAME_GUIDE_0103,"Awakening & Transcendence"
GAME_GUIDE_0103_SUM,"Awaken and transcend your heroes to make them unbelievably strong!"
GAME_GUIDE_0103_001_TITLE,"What is Hero Awakening?"
GAME_GUIDE_0103_001_DESC,"When heroes reach a certain level, you can Awaken them to raise hero ★ level. The more ★ hero has, the higher their stat and max level will rise."
GAME_GUIDE_0103_002_TITLE,"How can I Awaken Heroes?"
GAME_GUIDE_0103_002_DESC,"Each hero class requires specific types of Fragments for Awakening.\nYou can gain various types of Fragments from Upper Class Dungeons of each Stage. Use the Fragments to Awaken heros up to max 5★."
GAME_GUIDE_0103_003_TITLE,"What is Hero Transcendence?"
GAME_GUIDE_0103_003_DESC,"When a hero reaches 5★, you can Transcend them.\nUpon Transcendence, hero stat and max level will increase.\nThe hero will also gain a new Transcend Skill upon each Transcendence."
GAME_GUIDE_0103_004_TITLE,"How can I Transcend Heroes?"
GAME_GUIDE_0103_004_DESC,"To Transcend heroes, you need to craft Essence and Stone of Infinity using the required amount of Fragments and Fragment of Infinity."
GAME_GUIDE_0103_005_TITLE,"Where should I go for Hero Awakening & Transcendence?"
GAME_GUIDE_0103_005_DESC,"Once you gather the neccessary materials for Awakening, visit the Room of Ordeals at Hall of Heroes for battle. If you win the battle, you can go to the Room of Purification to purify your hero for Awakening."
GAME_GUIDE_0104,"Skills"
GAME_GUIDE_0104_SUM,"Enhance your skills and skill attributes to become stronger!\nYou can get skill books at the Stockade!"
GAME_GUIDE_0104_001_TITLE,"How can I Enhance Skills?"
GAME_GUIDE_0104_001_DESC,"You can spend Gold to Enhance hero's Skills according to their level."
GAME_GUIDE_0104_002_TITLE,"What are Skill Attributes?"
GAME_GUIDE_0104_002_DESC,"You can Enhance the Attributes each Skill holds. To Enhance Skill Attributes, different Skill Books are required according to hero class and skill type."
GAME_GUIDE_0104_003_TITLE,"What are Skill Books?"
GAME_GUIDE_0104_003_DESC,"Skill Books are materials required for Enhancing Skill Attributes. There are four types of Skill Books: Beginner, Intermediate, Expert, and Master.\nSkill Books can be gained from the Stockade."
GAME_GUIDE_0105,"Gear"
GAME_GUIDE_0105_SUM,"There are tier and grade to every gear. Read below info for more!"
GAME_GUIDE_0105_001_TITLE,"What different types of gear are there?"
GAME_GUIDE_0105_001_DESC,"Gear is grouped into Weapons, Armor (Armor, Shield, Gloves), Accessories, Orbs, Artifacts, and Treasures. All heroes can equip themselves with this gear."
GAME_GUIDE_0105_002_TITLE,"What is Gear Tier?"
GAME_GUIDE_0105_002_DESC,"Heroes can only equip gear with the according Tier that fits hero level.\n(T1: Level 1~20 / T2: Level 21~30 / T3: Level 31~40 and so on)"
GAME_GUIDE_0105_003_TITLE,"What is Gear Grade?"
GAME_GUIDE_0105_003_DESC,"There are six Grades to all gear: Common, Uncommon, Rare, Heroic, Ancient, and Legendary. The higher the Grade, stronger the Gear."
GAME_GUIDE_0105_004_TITLE,"How do I equip and unequip gear?"
GAME_GUIDE_0105_004_DESC,"Select an item and tap the Equip button from the Hero window, or tap the Auto Equip button to equip gear. Tap the Unequip button to unequip gear."
GAME_GUIDE_0105_005_TITLE,"Where can I get Lengendary gear?"
GAME_GUIDE_0105_005_DESC,"You can gain Legendary gear as loot from Raid battle. Collect Legendary gear with various options and set effects depending on the type of Raid."
GAME_GUIDE_0106,"Gear Management"
