KEY,French
GAME_GUIDE,Aide
SELECT_GUIDE,Aide
SHOW_GUIDE,Détails
GUIDE_MENU,Aide
CONTENT_NOT_OPEN_WORLDBOSS,La bataille du Boss Mondial n'est pas ouverte
GUIDE_MENU_SHOW,Voir Aide
GAME_GUIDE_TITLE_01,Une introduction à King's Raid avec Cleo
GAME_GUIDE_DESC_01,Un guide de King's Raid pour les nouveaux Aventuriers
GAME_GUIDE_0101,Héros
GAME_GUIDE_0101_SUM,Découvrez la classe et le type d'attaque de chaque Héros pour composer une équipe puissante !!
GAME_GUIDE_0101_001_TITLE,Comment puis-je recruter de nouveaux Héros ?
GAME_GUIDE_0101_001_DESC,Les Héros peuvent être obtenus avec des Rubis à la Boutique spéciale.\nVous pouvez également rencontrer de nouveaux Héros à la Taverne du Héros et gagner leur amitié afin de les recruter.
GAME_GUIDE_0101_002_TITLE,Combien y a-t-il de classes de Héros ?
GAME_GUIDE_0101_002_DESC,Il y a un total de 7 classes.\n▶Classe de Héros : Chevalier / Guerrier / Assassin / Mage / Archer / Prêtre / Mécanicien
GAME_GUIDE_0101_003_TITLE,Quels sont les types d'attaques des Héros ?
GAME_GUIDE_0101_003_DESC,Chaque Héros possède un type d'attaque physique ou magique.\n▶Type d'Attaque : Physique / Magique\n\nLes Monstres qui sont immunisés aux attaques physiques ne reçoivent aucun dégât physique et doivent être attaqués avec des Héros ayant des attaques magiques.
GAME_GUIDE_0102,Gain de Niveau
GAME_GUIDE_0102_SUM,Participez aux batailles pour obtenir de l'EXP et gagner des niveaux ! Vos Héros deviendront beaucoup plus puissants !
GAME_GUIDE_0102_001_TITLE,Où puis-je gagner de l'EXP ?
GAME_GUIDE_0102_001_DESC,"L'EXP peut être gagnée dans tous types de batailles.\nParmi toutes les batailles, les Conquêtes vous rapporteront le plus d'EXP."
GAME_GUIDE_0102_002_TITLE,Que puis-je obtenir du Gain de Niveaux?
GAME_GUIDE_0102_002_DESC,Les statistiques et le niveau des compétences augmentent au fur à mesure que les Héros gagnent des niveaux.
GAME_GUIDE_0102_003_TITLE,"Lorsque le Héros atteint le Niveau maximum, les EXP obtenues par la suite sont-elles perdues ?"
GAME_GUIDE_0102_003_DESC,"Lorsque vous équipez le Héros d'un Flacon d'Expérience Vide, les EXP qu'il gagnera seront accumulées à l'intérieur de cet objet, au lieu d'être attribuées au Héros.\nUne fois le flacon rempli, il deviendra une Potion d'EXP, qui servira à augmenter les EXP des autres Héros.\nEssayez-le !"
GAME_GUIDE_0103,Éveil & Transcendance
GAME_GUIDE_0103_SUM,Éveillez et Transcendez vos Héros afin de les rendre incroyablement plus puissants !
GAME_GUIDE_0103_001_TITLE,Qu'est-ce que l'Éveil ?
GAME_GUIDE_0103_001_DESC,"Lorsque les Héros atteignent un certain niveau, vous pouvez les éveiller pour augmenter leur niveau d'éveil ★. Plus le niveau d'éveil du Héros ★ augmente, plus les statistiques et le niveau maximum qu'il peut atteindre, augmentent."
GAME_GUIDE_0103_002_TITLE,Comment éveiller les Héros ?
