KEY,German
GAME_GUIDE,Hilfe
SELECT_GUIDE,Hilfe wählen
SHOW_GUIDE,Details
GUIDE_MENU,Hilfe
CONTENT_NOT_OPEN_WORLDBOSS,Weltboss-Kampf ist nicht zugänglich.
GUIDE_MENU_SHOW,Hilfe anzeigen
GAME_GUIDE_TITLE_01,Eine Einführung in King's Raid mit Cleo
GAME_GUIDE_DESC_01,"Eine Anleitung für Raider, die neu bei King's Raid sind."
GAME_GUIDE_0101,Helden
GAME_GUIDE_0101_SUM,"Überprüfe Klasse und Angriffstyp der Helden, um das stärkste Team zu bilden!"
GAME_GUIDE_0101_001_TITLE,Wie kann ich neue Helden rekrutieren?
GAME_GUIDE_0101_001_DESC,"Du kannst Helden im Spezial-Shop mit Rubinen kaufen.\nDu kannst neue Helden auch in der Heldenschenke treffen und das Freundschaftslevel erhöhen, um sie zu rekrutieren."
GAME_GUIDE_0101_002_TITLE,Wie viele Heldenklassen gibt es?
GAME_GUIDE_0101_002_DESC,Es gibt insgesamt 7 Klassen.\n▶ Heldenklasse: Ritter / Krieger / Assassine / Magier / Bogenschütze / Priester / Mechaniker
GAME_GUIDE_0101_003_TITLE,Was ist der Angriffstyp?
GAME_GUIDE_0101_003_DESC,"Jeder Held gehört zu einem physischen oder magischen Angriffstyp.\n▶ Angriffstyp: Körperlich / Magie\nMonster, die immun gegen körperliche Angriffe sind, erleiden keinen Körp. Schaden und müssen mit magischen Helden angegriffen werden.\n\n"
GAME_GUIDE_0102,Level-Up
GAME_GUIDE_0102_SUM,"Verdiene EP, um aufzusteigen! So wirst du viel stärker!"
GAME_GUIDE_0102_001_TITLE,Wie kann ich EP verdienen?
GAME_GUIDE_0102_001_DESC,EP kannst du in jeder Art von Kampf verdienen.\nDie meisten EP kannst du in Eroberungskämpfen erhalten.
GAME_GUIDE_0102_002_TITLE,Was bringen mir Level-Ups?
GAME_GUIDE_0102_002_DESC,"Steigere das Level deiner Helden, um ihre Werte und Skills zu verbessern."
GAME_GUIDE_0102_003_TITLE,"Was passiert mit meinen EP, wenn ich das max. Helden-Lv. erreicht habe und keine EP mehr erhalten kann?"
GAME_GUIDE_0102_003_DESC,"Kein Grund zur Sorge! Deine EP gehen nicht verloren.\nStattdessen kannst du sie sammeln, indem du deinem Helden eine leere Erfahrungsflasche gibst.\nSobald du alle EP gesammelt hast, entstehen daraus EP-Tränke, die du anderen Helden geben kannst, um deren EP zu erhöhen!"
GAME_GUIDE_0103,Erweckung & Transzendenz
GAME_GUIDE_0103_SUM,"Erwecke und transzendiere deine Helden, um sie unglaublich stark zu machen!"
GAME_GUIDE_0103_001_TITLE,Was sind Helden-Erweckungen?
GAME_GUIDE_0103_001_DESC,"Wenn deine Helden eine bestimmte Stufe erreichen, kannst du sie erwecken, um ihre ★ Heldenstufe zu erhöhen. Je mehr ★ dein Held hat, desto höher werden Stats und Maximalstufe."
GAME_GUIDE_0103_002_TITLE,Wie kann ich meine Helden erwecken?
GAME_GUIDE_0103_002_DESC,"Jede Heldenklasse benötigt bestimmte Arten von Fragmenten für ihre Erweckung.\nDu kannst verschiedene Arten von Fragmenten in den Großdungeons jedes Kapitels erhalten. Verwende die Fragmente, um deine Helden bis auf maximal 5★ zu erwecken."
GAME_GUIDE_0103_003_TITLE,Was ist Helden-Transzendenz?
GAME_GUIDE_0103_003_DESC,"Wenn deine Helden 5★ erreicht haben, kannst du sie transzendieren, das heißt die 5★ überschreiten.\nÜber Transzendenz werden Stats und Maximalstufe erhöht deiner Helden.\nDeine Helden erhalten bei jeder Transzendenz auch einen neuen Transzendenz-Skill."
GAME_GUIDE_0103_004_TITLE,Wie kann ich meine Helden erwecken transzendieren?
GAME_GUIDE_0103_004_DESC,"Um deine Helden zu transzendieren, benötigst du eine bestimmte Anzahl von Fragmenten und Fragmenten der Ewigkeit, um Essenzen und Stein der Ewigkeit herstellen zu können."
GAME_GUIDE_0103_005_TITLE,Wohin sollte ich für die Erweckung und Transzendenz meiner Helden gehen?
GAME_GUIDE_0103_005_DESC,"Sobald du die notwendigen Materialien für die Erweckung oder Transzendenz gesammelt hast, stelle dich dem Kampf im Raum der Prüfungen in der Halle der Helden.\nWenn du den Kampf gewinnst, kannst du in den Raum der Reinigung gehen, um gegen Gold deine Helden für ihre Erweckung und Transzendenz zu reinigen."
GAME_GUIDE_0104,Skills
GAME_GUIDE_0104_SUM,"Die Skill-Eigenschaftsverst. hilft dir, schnell mächtiger zu werden! Hol dir Skill-Bücher im Kerker!"
GAME_GUIDE_0104_001_TITLE,Was sind Skill-Eigenschaften?
GAME_GUIDE_0104_001_DESC,"Du kannst die Eigenschaften jedes Skills erhöhen. Um Skill-Eigenschaften zu erhöhen, benötigst du verschiedene Skill-Bücher, je nach Heldenklasse und Skilltyp."
GAME_GUIDE_0104_002_TITLE,Was sind Skill-Bücher?
GAME_GUIDE_0104_002_DESC,"Skill-Bücher werden für die Verbesserung von Eigenschaften benötigt. Es gibt vier Arten von Skill-Büchern: Anfänger, Fortgeschrittene, Experten und Meister.\nSkill-Bücher kannst du im Kerker bekommen."
GAME_GUIDE_0105,Ausrüstung
GAME_GUIDE_0105_SUM,"Ausrüstungsgegenstände haben Grade und Stufen. Lies unten weiter, um mehr zu erfahren!"
GAME_GUIDE_0105_001_TITLE,Welche verschiedenen Arten von Ausrüstung gibt es?
GAME_GUIDE_0105_001_DESC,"Ausrüstung ist in Waffen, Rüstung, Sekundärausrüstung, Schmuck, Kugeln, Artefakte und Schätze unterteilt. Alle Helden können sich mit dieser Ausrüstung ausstatten."
GAME_GUIDE_0105_002_TITLE,Was bedeuten die Stufen bei Ausrüstung?
GAME_GUIDE_0105_002_DESC,"Helden können nur Ausrüstung der Stufe verwenden, die mit ihrem Heldenlevel übereinstimmt.\n(T1: Level 1-20 / T2: Level 21-30 / T3: Level 31-40 und so weiter)"
GAME_GUIDE_0105_003_TITLE,Was bedeuten die Grade bei Ausrüstung?
GAME_GUIDE_0105_003_DESC,"Es gibt sechs Grade für alle Ausrüstungsgegenstände: Gewöhnlich, Selten, Rar, Heroisch, Antik und Legendär. Je höher der Grad, desto stärker die Ausrüstung."
GAME_GUIDE_0105_004_TITLE,Wie kann ich Ausrüstung an- und ablegen?
GAME_GUIDE_0105_004_DESC,Tippe in der Helden-Info auf 'Autom. anlegen' oder wähle einen Ausrüstungsgegenstand aus und tippe im auf 'Anlegen' um den Gegenstand auszurüsten. Mit 'Ablegen' oder 'Alles Ablegen' kannst du ausgerüstete Gegenstände wieder ablegen.
GAME_GUIDE_0105_005_TITLE,Woher bekomme ich Legendäre Ausrüstung?
GAME_GUIDE_0105_005_DESC,"Wenn du in Kapitel 8 und 9 Raids oder Kämpfe abschließt, kannst du Legendäre Ausrüstung erhalten. Abhängig von Typ und Etappe des Raids variieren auch die Setoptionen der Legendären Ausrüstung."
GAME_GUIDE_0106,Ausrüstungs-\nverwaltung
GAME_GUIDE_0106_SUM,"Du kannst deine Waffen durch Ausrüstungsverstärkung, Erweckung, Options-Verstärkung, Wiederschmieden, Verzauberung und Ausrüstungs-Aufstufung super mächtig machen!"
GAME_GUIDE_0106_001_TITLE,Was ist Ausrüstungsverstärkung?
GAME_GUIDE_0106_001_DESC,"Du kannst die Stats deiner Ausrüstung durch Ausrüstungsverstärkung erhöhen.\nVerwende Gold, um die Ausrüstung deiner Wahl zu verstärken. Je höher der Grad der Ausrüstung, desto höher das maximale Verstärkungslevel."
GAME_GUIDE_0106_002_TITLE,Wie kann ich Ausrüstung erwecken?
GAME_GUIDE_0106_002_DESC,"Verwenden einen identischen Ausrüstungsgegenstand als Material, um die ★ deiner Ausrüstung zu erhöhen. Du kannst Ausrüstung auf maximal 5 ★ erwecken.\nWenn du deine Ausrüstung erweckst, werden ihre Werte stark erhöht.\nBitte besuche die Schmiede → Ausrüstung umschmieden → Ausr. erwecken."
GAME_GUIDE_0106_003_TITLE,Was ist Options-Verstärkung?
GAME_GUIDE_0106_003_DESC,"Verbrauche Magiepulver und Gold, um eine Ausrüstungsoption zu verbessern.\nBesuche die Schmiede → Ausrüstung umschmieden → Options-Verstärkung."
GAME_GUIDE_0106_004_TITLE,Was ist Options-Wiederschmieden?
GAME_GUIDE_0106_004_DESC,"Mit Rubinen oder einem Wiederschmiede-Ticket kannst du eine der zusätzlichen Optionen einer Ausrüstung ändern.\nDie ausgewählte Option verändert sich zufällig. Nachdem die Wiederschmiedung durchgeführt worden ist, kann keine andere Option mehr verändert werden.\nGehe auf Schmiede → Ausrüstung umschmieden → Ausrüstung wiederschmieden, um deine Ausrüstung wiederzuschmieden.\nBei einer T7-Ausrüstung oder höher kann eine Option mehrfach erscheinen.\nBei Schätzen kannst du 2 zusätzliche Optionen ändern."
GAME_GUIDE_0106_005_TITLE,Was sind Verzauberungs-Schriftrollen?
GAME_GUIDE_0106_005_DESC,"Verwende Verzauberungs-Schriftrollen und Gold, um neue Rüstungsoptionen hinzuzufügen.\nVerzauberungs-Schriftrollen kannst du bei Raids (Schwierig), Ehrenliga und verschiedenen Events erhalten.\nBesuche die Schmiede → Ausrüstung umschmieden → Verzauberung."
GAME_GUIDE_0106_006_TITLE,Was ist eine Ausrüstungs-Aufstufung?
GAME_GUIDE_0106_006_DESC,"Benutze eine 5★ Ausrüstung, Aufstufungs-Materialien, Magiepulver und Gold, um die Ausrüstung aufzustufen.\nAusrüstungs-Aufstufung findest du in der Schmiede → Ausrüstung aufstufen."
GAME_GUIDE_0107,Einzigartige Waffen
GAME_GUIDE_0107_SUM,"Besondere Waffen für deine besonderen Helden! Einzigartige Waffen haben angeborene Optionen, die deine Helden stärker machen!"
GAME_GUIDE_0107_001_TITLE,Was sind Einzigartige Waffen?
GAME_GUIDE_0107_001_DESC,"Jeder deiner Helden hat eine besondere Waffe mit mächtigen Optionen, die nur der Held oder die Heldin selbst nutzen kann. Diese Waffe wird Einzigartige Waffe genannt."
GAME_GUIDE_0107_002_TITLE,Woher bekomme ich Einzigartige Waffen?
GAME_GUIDE_0107_002_DESC,"Benutze Spezialgegenst. Beschwörung oder Einzigartiges Waffenticket, um Einzigartige Waffen zu erhalten. Du kannst auch den Siegesliga-Shop besuchen und Einzigartige Waffen mit Sieger-Medaillen aus der Arena kaufen."
GAME_GUIDE_0108,Artefakte
GAME_GUIDE_0108_SUM,"Gehe zum Turm der Herausforderungen, um Artefakt-Fragmente zu bekommen. Mit diesen kannst du Artefakt kreieren!"
GAME_GUIDE_0108_001_TITLE,Was ist ein Artefakt?
GAME_GUIDE_0108_001_DESC,"Artefakte sind Spezialausrüstung, die von Helden aller Klassen ausgerüstet werden kann. Sie besitzen spezielle Optionen."
GAME_GUIDE_0108_002_TITLE,Woher bekomme ich Artefakte?
GAME_GUIDE_0108_002_DESC,"Artefakte kannst du aus Artefakt-Fragmente  kreieren, die du im Turm der Herausforderungen erhältst."
GAME_GUIDE_0108_003_TITLE,Wie kann ich Artefakte ausrüsten?
GAME_GUIDE_0108_003_DESC,"Benutze 2 Mio. Gold, um den Artefakt-Fach freizuschalten und ein Artefakt auszurüsten."
GAME_GUIDE_0109,Kostüme
GAME_GUIDE_0109_SUM,Ziehe deinen Helden hübsche Kostüme an und erhalten zusätzlich Kostüm-Effekte!
GAME_GUIDE_0109_001_TITLE,Woher bekomme ich Kostüme?
GAME_GUIDE_0109_001_DESC,Kostüme kannst mit Rubinen im Spezial-Shop in der Kategorie 'Kostüm' kaufen.
GAME_GUIDE_0109_002_TITLE,Was sind Kostüm-Effekte?
GAME_GUIDE_0109_002_DESC,Du kannst spezielle Buff-Effekte von Kostümen erhalten.\nWenn du Kostüme hast wird der Buff-Effekte akkumuliert.
GAME_GUIDE_0110,Gilden
GAME_GUIDE_0110_SUM,"Genieße verschiedene Vorzüge, indem du zusammen mit vielen anderen Leuten bei gildenexklusiven Aktivitäten mitmachst."
GAME_GUIDE_0110_001_TITLE,Was ist eine Gilde?
GAME_GUIDE_0110_001_DESC,"Du kannst dich mit anderen Spielern zusammenschließen, um Gilden-exklusive Inhalte zusätzliche Vorteile freizuschalten."
GAME_GUIDE_0110_002_TITLE,Wie kann ich eine Gilde gründen?
GAME_GUIDE_0110_002_DESC,Du kannst eine Gilde mit 3 Mio. Gold gründen.
GAME_GUIDE_0110_003_TITLE,Wie kann ich einer Gilde beitreten?
GAME_GUIDE_0110_003_DESC,"Suche ein Gilde in der Gildenliste oder über 'Gilde finden'.\nDu benötigst die Zustimmung des Gildenmeisters, für einen 'Eintritt nach Zustimmung', einer Gilde, die 'Keine Beitrittsbegrenzung' hat, kannst du dich sofort anschließen."
GAME_GUIDE_0110_004_TITLE,Welche Vorteile bieten Gilden?
GAME_GUIDE_0110_004_DESC,"Wenn du einer Gilde beitrittst, kannst du verschiedene Gilden-Buffs erhalten und an Gildenraids und Gildeneroberungen teilnehmen.\nVerwende Gildenmünzen zum Kauf von Gegenständen im Gilden-Shop und im Gildenraid-Shop."
GAME_GUIDE_0110_005_TITLE,Wozu dient „Bau verwalten“?
GAME_GUIDE_0110_005_DESC,Du kannst das Level eines in der Gildenzone errichteten Gebäudes erhöhen.
GAME_GUIDE_0110_006_TITLE,Wie erhöhe ich das Gebäudelevel?
GAME_GUIDE_0110_006_DESC,"Der Gildenmeister kann 3 Arten von Bauressourcenpunkte (Holz, Stein und Metall) in das gewünschte Gebäude investieren.\nSobald die erforderlichen Bauressourcenpunkte erreicht sind, wird das Gebäude auf das nächste Level aufgewertet."
GAME_GUIDE_0110_007_TITLE,Woher bekomme ich Ressourcenpunkte?
