KEY,"German"
GAME_GUIDE,"Guide"
SELECT_GUIDE,"Guide wählen"
SHOW_GUIDE,"Details"
GUIDE_MENU,"Guide"
CONTENT_NOT_OPEN_WORLDBOSS,"Weltenbosskampf ist nicht zugänglich."
GUIDE_MENU_SHOW,"Guide anzeigen"
GAME_GUIDE_TITLE_01,"Eine Einführung in King's Raid mit Cleo"
GAME_GUIDE_DESC_01,"Ein Leitfaden für Raider, die neu bei King's Raid sind."
GAME_GUIDE_0101,"Helden"
GAME_GUIDE_0101_SUM,"Überprüfe Klasse und Angriffstyp der Helden, um das stärkste Team zu bilden!"
GAME_GUIDE_0101_001_TITLE,"Wie kann ich neue Helden rekrutieren?"
GAME_GUIDE_0101_001_DESC,"Du kannst Helden im Spezialshop mit Rubinen kaufen.\nDu kannst neue Helden auch in der Heldenschenke treffen und das Freundschaftslevel erhöhen, um sie zu rekrutieren."
GAME_GUIDE_0101_002_TITLE,"Wie viele Heldenklassen gibt es?"
GAME_GUIDE_0101_002_DESC,"Es gibt insgesamt 7 Klassen.\n▶ Heldenklasse: Ritter / Krieger / Assassine / Magier / Bogenschütze / Priester / Mechaniker"
GAME_GUIDE_0101_003_TITLE,"Was ist der Angriffstyp?"
GAME_GUIDE_0101_003_DESC,"Jeder Held gehört zu einem physischen oder magischen Angriffstyp.\n▶ Angriffstyp: Körperlich / Magie\nMonster, die immun gegen körperliche Angriffe sind, erleiden keinen K.Schaden und müssen mit magischen Helden angegriffen werden.\n\n"
GAME_GUIDE_0102,"Level-Up"
GAME_GUIDE_0102_SUM,"Verdiene EP, um aufzusteigen! So wirst du viel stärker!"
GAME_GUIDE_0102_001_TITLE,"Wie kann ich EP verdienen?"
GAME_GUIDE_0102_001_DESC,"EP kannst du in jeder Art von Kampf verdienen.\nDie meisten EP kannst du in Eroberungskämpfen erhalten."
GAME_GUIDE_0102_002_TITLE,"Was bringen mir Level-Ups?"
GAME_GUIDE_0102_002_DESC,"Steigere das Level deiner Helden, um ihre Werte und Skills zu verbessern."
GAME_GUIDE_0103,"Erweckung & Transzendenz"
GAME_GUIDE_0103_SUM,"Erwecke und transzendiere deine Helden, um sie unglaublich stark zu machen!"
GAME_GUIDE_0103_001_TITLE,"Was sind Helden-Erweckungen?"
GAME_GUIDE_0103_001_DESC,"Wenn deine Helden eine bestimmte Stufe erreichen, kannst du sie erwecken, um ihre ★ Heldenstufe zu erhöhen. Je mehr ★ dein Held hat, desto höher werden Stats und Maximalstufe."
GAME_GUIDE_0103_002_TITLE,"Wie kann ich meine Helden erwecken?"
GAME_GUIDE_0103_002_DESC,"Jede Heldenklasse benötigt bestimmte Arten von Fragmenten für ihre Erweckung.\nDu kannst verschiedene Arten von Fragmenten in den Großdungeons jedes Kapitels erhalten. Verwende die Fragmente, um deine Helden bis auf maximal 5 ★ zu erwecken."
GAME_GUIDE_0103_003_TITLE,"Was ist Helden-Transzendenz?"
GAME_GUIDE_0103_003_DESC,"Wenn deine Helden 5 ★ erreicht haben, kannst du sie transzendieren, das heißt die 5 ★ überschreiten.\nÜber Transzendenz werden Stats und Maximalstufe erhöht deiner Helden.\nDeine Helden erhalten bei jeder Transzendenz auch einen neuen Transzendenz-Skill."
GAME_GUIDE_0103_004_TITLE,"Wie kann ich meine Helden erwecken transzendieren?"
GAME_GUIDE_0103_004_DESC,"Um deine Helden zu transzendieren, benötigst du eine bestimmte Anzahl von Fragmenten und Fragmenten der Ewigkeit, um Essenzen und Stein der Ewigkeit herstellen zu können."
GAME_GUIDE_0103_005_TITLE,"Wohin sollte ich für die Erweckung und Transzendenz meiner Helden gehen?"
GAME_GUIDE_0103_005_DESC,"Sobald du die notwendigen Materialien für die Erweckung gesammelt hast, stelle dich dem Kampf im Raum der Prüfungen in der Halle der Helden. Wenn du den Kampf gewinnst, kannst du in den Raum der Reinigung gehen, um deinen Helden für ihre Erweckung zu reinigen."
GAME_GUIDE_0104,"Skills"
GAME_GUIDE_0104_SUM,"Die Skill-Attributsverstärkung hilft dir, schnell mächtiger zu werden! Hol dir Skillbücher im Kerker!"
GAME_GUIDE_0104_001_TITLE,"Was sind Skillattribute?"
GAME_GUIDE_0104_001_DESC,"Du kannst die Attribute jedes Skills erhöhen. Um Skillattribute zu erhöhen, benötigst du verschiedene Skillbücher, je nach Heldenklasse und Skilltyp."
GAME_GUIDE_0104_002_TITLE,"Was sind Skillbücher?"
GAME_GUIDE_0104_002_DESC,"Skillbücher werden für die Verbesserung von Attributen benötigt. Es gibt vier Arten von Skillbüchern: Anfänger, Fortgeschrittene, Experten und Meister.\nSkillbücher kannst du im Kerker bekommen."
GAME_GUIDE_0105,"Ausrüstung"
GAME_GUIDE_0105_SUM,"Ausrüstungsgegenstände haben Grade und Stufen. Lies unten weiter, um mehr zu erfahren!"
GAME_GUIDE_0105_001_TITLE,"Welche verschiedenen Arten von Ausrüstung gibt es?"
GAME_GUIDE_0105_001_DESC,"Ausrüstung ist in Waffen, Rüstungen (Rüstung, Schild, Handschuhe), Schmuck, Kugeln, Artefakte und Schätze unterteilt. Alle Helden können sich mit dieser Ausrüstung ausstatten."
GAME_GUIDE_0105_002_TITLE,"Was bedeuten die Stufen bei Ausrüstung?"
GAME_GUIDE_0105_002_DESC,"Helden können nur Ausrüstung der Stufe verwenden, die mit ihrem Heldenlevel übereinstimmt.\n(T1: Level 1-20 / T2: Level 21-30 / T3: Level 31-40 und so weiter)"
GAME_GUIDE_0105_003_TITLE,"Was bedeuten die Grade bei Ausrüstung?"
GAME_GUIDE_0105_003_DESC,"Es gibt sechs Grade für alle Ausrüstungsgegenstände: Gewöhnlich, Selten, Rar, Heroisch, Antik und Legendär. Je höher der Grad, desto stärker die Ausrüstung."
GAME_GUIDE_0105_004_TITLE,"Wie kann ich Ausrüstung an- und ablegen?"
GAME_GUIDE_0105_004_DESC,"Tippe in der Helden-Info auf 'Autom. anlegen' oder wähle einen Ausrüstungsgegenstand aus und tippe im auf 'Anlegen' um den Gegenstand auszurüsten. Mit 'Ablegen' oder 'Alles Ablegen' kannst du ausgerüstete Gegenstände wieder ablegen."
GAME_GUIDE_0105_005_TITLE,"Woher bekomme ich Legendäre Ausrüstung?"
GAME_GUIDE_0105_005_DESC,"Wenn du in Kapitel 8 und 9 Raids oder Kämpfe abschließt, kannst du Legendäre Ausrüstung erhalten. Abhängig von Typ und Stufe des Raids variieren auch die Setoptionen der Legendären Ausrüstung."
GAME_GUIDE_0106,"Ausrüstungsverwaltung"
GAME_GUIDE_0106_SUM,"Du kannst deine Waffen durch Ausrüstungsverstärkung, Erwecken, Options-Verstärkung, Wiederschmieden, Verzauberung und Stufen-Upgrade super mächtige machen!"
GAME_GUIDE_0106_001_TITLE,"Was ist Ausrüstungsverstärkung?"
GAME_GUIDE_0106_001_DESC,"Du kannst die Stats deiner Ausrüstung durch Ausrüstungsverstärkung erhöhen.\nVerwende Gold, um die Ausrüstung deiner Wahl zu verstärken. Je höher der Grad der Ausrüstung, desto höher das maximale Verstärkungslevel."
GAME_GUIDE_0106_002_TITLE,"Wie kann ich Ausrüstung erwecken?"
GAME_GUIDE_0106_002_DESC,"Verwenden einen identischen Ausrüstungsgegenstand als Material, um die ★ deiner Ausrüstung zu erhöhen. Du kannst Ausrüstung auf maximal 5 ★ erwecken.\nWenn du deine Ausrüstung erweckst, werden ihre Werte stark erhöht.\nBitte besuche die Schmiede → Ausrüstung umschmieden → Ausr. erwecken."
GAME_GUIDE_0106_003_TITLE,"Was ist Options-Verstärkung?"
GAME_GUIDE_0106_003_DESC,"Verbrauche Magisches Pulver und Gold, um eine Ausrüstungsoption zu verbessern.\nBesuche die Schmiede → Ausrüstung umschmieden → Options-Verstärkung."
GAME_GUIDE_0106_004_TITLE,"Was ist Options-Wiederschmieden?"
GAME_GUIDE_0106_004_DESC,"Mit Rubinen oder einem Wiederschmiede-Ticket kannst du eine der zusätzlichen Optionen eines Ausrüstungsitems ändern.\nDie ausgewählte Option verändert sich zufällig und nicht wiedergeschmiedete Optionen können nicht mehr verändert werden, sobald das Wiederschmieden abgeschlossen ist.\nGehe auf Schmiede → Ausrüstung umschmieden → Ausrüstung wiederschmieden, um deine Ausrüstung wiederzuschmieden.\nBei einem T7-Ausrüstungsitem oder höher kannst du eine Option zweifach auswählen.\nBei Schätzen kannst du 2 zusätzliche Optionen ändern."
GAME_GUIDE_0106_005_TITLE,"Was sind Verzauberungs-Schriftrollen?"
GAME_GUIDE_0106_005_DESC,"Verwende Verzauberungs-Schriftrollen und Gold, um neue Rüstungsoptionen hinzuzufügen.\nVerzauberungs-Schriftrollen kannst du bei Raids (Schwierig), Ehrenliga und verschiedenen Events erhalten.\nBesuche die Schmiede → Ausrüstung umschmieden → Verzauberung."
GAME_GUIDE_0106_006_TITLE,"Was ist ein Stufen-Upgrade?"
GAME_GUIDE_0106_006_DESC,"Benutze eine 5★ Rüstung, Ausrüstungsstufen-Upgrade-Materialien, Magisches Pulver und Gold, um die Ausrüstungsstufe zu verbessern.\nAusrüstungsstufen-Upgrades findest du in der Schmiede → Stufen-Upgrade."
GAME_GUIDE_0107,"Einzigartige Waffen"
GAME_GUIDE_0107_SUM,"Besondere Waffen für deine besonderen Helden! Einzigartige Waffen haben angeborene Optionen, die deine Helden stärker machen!"
GAME_GUIDE_0107_001_TITLE,"Was sind Einzigartige Waffen?"
GAME_GUIDE_0107_001_DESC,"Jeder deiner Helden hat eine besondere Waffe mit mächtigen Optionen, die nur der Held oder die Heldin selbst nutzen kann. Diese Waffe wird Einzigartige Waffe genannt."
GAME_GUIDE_0107_002_TITLE,"Woher bekomme ich Einzigartige Waffen?"
GAME_GUIDE_0107_002_DESC,"Benutze Spezial-Item beschwören oder das Ticket: Einzigartige Waffe, um Einzigartige Waffen zu erhalten. Du kannst auch den Siegesliga-Shop besuchen und Einzigartige Waffen mit Sieger-Medaillen aus der Arena kaufen."
GAME_GUIDE_0108,"Artefakte"
GAME_GUIDE_0108_SUM,"Gehe zum Turm der Herausforderungen, um Artefakt-Bruchstücke bekommen. Mit diesen kannst du Artefakt kreieren!"
GAME_GUIDE_0108_001_TITLE,"Was ist ein Artefakt?"
GAME_GUIDE_0108_001_DESC,"Artefakte sind Spezialausrüstung, die von Helden aller Klassen ausgerüstet werden kann. Sie besitzen spezielle Optionen."
GAME_GUIDE_0108_002_TITLE,"Woher bekomme ich Artefakte?"
GAME_GUIDE_0108_002_DESC,"Artefakte kannst du aus Artefakt-Bruchstücke kreieren, die du im Turm der Herausforderungen erhältst."
GAME_GUIDE_0108_003_TITLE,"Wie kann ich Artefakte ausrüsten?"
GAME_GUIDE_0108_003_DESC,"Benutze 2.000.000 Gold, um den Artefakt-Slot freizuschalten und ein Artefakt auszurüsten."
GAME_GUIDE_0109,"Kostüme"
GAME_GUIDE_0109_SUM,"Ziehe deinen Helden hübsche Kostüme an und erhalten zusätzlich Kostüm-Effekte!"
GAME_GUIDE_0109_001_TITLE,"Woher bekomme ich Kostüme?"
GAME_GUIDE_0109_001_DESC,"Kostüme kannst mit Rubinen im Spezial-Shop in der Kategorie 'Kostüm' kaufen."
GAME_GUIDE_0109_002_TITLE,"Was sind Kostüm-Effekte?"
GAME_GUIDE_0109_002_DESC,"Du kannst spezielle Buff-Effekte von Kostümen erhalten.\nWenn du Kostüme hast wird der Buff-Effekte akkumuliert."
GAME_GUIDE_0110,"Gilden"
