KEY,Japanese
GAME_GUIDE,ヘルプ
SELECT_GUIDE,ヘルプ選択
SHOW_GUIDE,詳細を表示
GUIDE_MENU,ヘルプ
CONTENT_NOT_OPEN_WORLDBOSS,ワールドボスコンテンツは\n開放されていません。
GUIDE_MENU_SHOW,ヘルプ
GAME_GUIDE_TITLE_01,クレオの\nKing's Raid入門書
GAME_GUIDE_DESC_01,King's Raid初心者ガイド
GAME_GUIDE_0101,英雄
GAME_GUIDE_0101_SUM,英雄のクラスと攻撃タイプを確認して、最強のチームを作るのよ！
GAME_GUIDE_0101_001_TITLE,新しい英雄の入手方法は？
GAME_GUIDE_0101_001_DESC,特別ショップでルビーを支払うことで、英雄を購入することができます。\nまた、英雄の宿屋を訪れた英雄との親密度を深めて雇うこともできます。
GAME_GUIDE_0101_002_TITLE,英雄のクラスは何種類ありますか？
GAME_GUIDE_0101_002_DESC,全部で7種類です。\n▶存在するクラス：ナイト、ウォリアー、アサシン、ウィザード、アーチャー、プリースト、\nメカニック。
GAME_GUIDE_0101_003_TITLE,英雄の攻撃タイプとは？
GAME_GUIDE_0101_003_DESC,英雄は、物理か魔法のどちらかの属性で攻撃します。\n▶攻撃タイプについて:物理と魔法の2種類があります。\n物理攻撃無効の敵には物理ダメージが通らないため、魔法攻撃型の英雄が必要になります。
GAME_GUIDE_0102,レベルアップ
GAME_GUIDE_0102_SUM,経験値(EXP)を得た英雄はレベルが上がって、とても強くなるわ！
GAME_GUIDE_0102_001_TITLE,EXPを得る方法は？
GAME_GUIDE_0102_001_DESC,EXPはあらゆる種類の戦いから得られます。\n特に、討伐戦では他の戦闘よりも多くEXPを得ることができます。
GAME_GUIDE_0102_002_TITLE,レベルが上がるとどうなりますか？
GAME_GUIDE_0102_002_DESC,英雄がレベルアップすると、ステータスとスキルレベルが上昇します。
GAME_GUIDE_0102_003_TITLE,最高レベルに到達し、これ以上EXPを獲得できない場合は？
GAME_GUIDE_0102_003_DESC,英雄に経験の薬の空瓶を装着すると、英雄の代わりに空瓶にEXPを溜めることができます。\nEXPが満タンになると経験の薬となり、他の英雄のEXPを上げられるので\n是非、使ってみましょう！
GAME_GUIDE_0103,覚醒と超越
GAME_GUIDE_0103_SUM,覚醒、または超越した英雄は見違えるほど強くなるわよ！
GAME_GUIDE_0103_001_TITLE,英雄の覚醒とは？
GAME_GUIDE_0103_001_DESC,英雄が一定のレベルに到達すると、「覚醒」を行って英雄の星を増やすことができます。\n星が多いほど、ステータスと最大レベルが高くなります。
GAME_GUIDE_0103_002_TITLE,英雄の覚醒の方法は？
GAME_GUIDE_0103_002_DESC,覚醒を行うには、クラスごとに異なる種類の「欠片」を集める必要があります。\n上級ダンジョンの各ステージで様々な種類の欠片が手に入ります。覚醒は最大で星5まで行えます。
GAME_GUIDE_0103_003_TITLE,英雄の超越とは？
GAME_GUIDE_0103_003_DESC,英雄が星5に到達すると「超越」できるようになります。\n超越するとステータスと最大レベルが上昇します。\nまた、超越するごとに新しい超越スキルを獲得します。
GAME_GUIDE_0103_004_TITLE,英雄の超越の方法は？
