KEY,Russian
GAME_GUIDE,Руководство
SELECT_GUIDE,Выбрать руководство
SHOW_GUIDE,Информация
GUIDE_MENU,Руководство
CONTENT_NOT_OPEN_WORLDBOSS,Битва с Мировым Боссом закрыта.
GUIDE_MENU_SHOW,Ознакомиться с Руководством
GAME_GUIDE_TITLE_01,Введение в King's Raid с Клео
GAME_GUIDE_DESC_01,Руководство для новых игроков
GAME_GUIDE_0101,Герои
GAME_GUIDE_0101_SUM,"Проверьте класс и тип атаки каждого героя, чтобы сформировать сильнейшую команду!"
GAME_GUIDE_0101_001_TITLE,Как я могу нанять новых героев?
GAME_GUIDE_0101_001_DESC,Вы можете приобрести Героев за Рубины в Особом Магазине.\nВы можете также встретить новых героев в Таверне Героев и нанять их за очки дружбы.
GAME_GUIDE_0101_002_TITLE,Сколько всего классов существует?
GAME_GUIDE_0101_002_DESC,Всего в игре присутствует 7 классов.\n▶Классы Героев: Рыцарь / Воин / Убийца / Маг / Лучник / Жрец / Механик
GAME_GUIDE_0101_003_TITLE,Что такое тип атаки?
GAME_GUIDE_0101_003_DESC,"Каждый Герой принадлежит к типу Магической или Физической атаки.\n▶Типа атаки: Физическая / Магическая\nМонстры, имеющие иммунитет к физ. атакам, не получают физ. урон и должны быть атакованы героями магического типа."
GAME_GUIDE_0102,Повышение уровня
GAME_GUIDE_0102_SUM,"Получайте Опыт, чтобы повышать уровень! Вы станете намного сильнее!"
GAME_GUIDE_0102_001_TITLE,Как я могу получить Опыт?
GAME_GUIDE_0102_001_DESC,"Опыт может быть получен в битвах любого типа.\nСреди всех битв, Карательные Битвы дадут вам максимум опыта."
GAME_GUIDE_0102_002_TITLE,Зачем мне нужно повышать уровень?
GAME_GUIDE_0102_002_DESC,"Повышай уровень своих героев, чтобы увеличить их характеристики и уровни навыков."
GAME_GUIDE_0102_003_TITLE,Сгорает ли заработанный опыт при достижении максимального уровня?
GAME_GUIDE_0102_003_DESC,"При установке пустой колбы опыта герою с максимальным уровнем, заработанный опыт будет наполняться в колбу.\nПри наполнении колбы содержимое превратится в зелье опыта, которое поможет повысить уровень другого героя,\nтак что обязательно попробуйте!"
GAME_GUIDE_0103,Пробуждение и Превосходство
GAME_GUIDE_0103_SUM,"Пробудите и пройдите процесс Превосходства для того, чтобы сделать ваших героев еще сильнее!"
GAME_GUIDE_0103_001_TITLE,Что такое Пробуждение Героя?
GAME_GUIDE_0103_001_DESC,"Когда Герои достигают определенного уровня, вы можете Пробудить их, чтобы повысить уровень ★. Чем больше ★ имеет герой, тем выше его характеристики и максимальный уровень."
GAME_GUIDE_0103_002_TITLE,Как я могу Пробудить Героев?
GAME_GUIDE_0103_002_DESC,"Каждый класс требует определенного типа Фрагментов для Пробуждения.\nВы можете получить различные типы Фрагментов из Подземелья Высшего Класса каждого Этапа. Используйте Фрагменты, чтобы Пробудить Героев максимально до 5★."
GAME_GUIDE_0103_003_TITLE,Что такое Превосходство Героя?
GAME_GUIDE_0103_003_DESC,"Когда герой достигает 5★, вы можете пройти процесс Превосходства.\nПосле Превосходства, характеристики и максимальный уровень будут увеличены.\nГерой также будет получать новый Навык Превосходства после каждой итерации."
GAME_GUIDE_0103_004_TITLE,Как я могу пройти процесс Превосходства?
GAME_GUIDE_0103_004_DESC,"Для Превосходства, вам нужно создать Эссенцию и Камень Бесконечности, используя требуемое количество Фрагментов и Фрагментов Бесконечности."
GAME_GUIDE_0103_005_TITLE,"Куда я должен отправиться, чтобы Пробудить Героя или пройти процесс Превосходства?"
