KEY,Spanish
GAME_GUIDE,Guía
SELECT_GUIDE,Seleccionar Guía
SHOW_GUIDE,Detalles
GUIDE_MENU,Guía
CONTENT_NOT_OPEN_WORLDBOSS,La batalla de Jefe del Mundo no está abierta.
GUIDE_MENU_SHOW,Ver Guía
GAME_GUIDE_TITLE_01,Una Introducción a King´s Raid con Cleo
GAME_GUIDE_DESC_01,Una guía para los nuevos jugadores de King's Raid.
GAME_GUIDE_0101,Héroes
GAME_GUIDE_0101_SUM,¡Verifica la clase y el tipo de ataque de cada héroe para formar el equipo más fuerte!
GAME_GUIDE_0101_001_TITLE,¿Cómo puedo reclutar nuevos héroes?
GAME_GUIDE_0101_001_DESC,Los héroes se pueden comprar con rubíes en la Tienda Especial.\nTambién puedes conocer nuevos héroes en la Posada del Héroe para obtener la Tasa de Parentesco y reclutarlos.
GAME_GUIDE_0101_002_TITLE,¿Cuántas clases de héroes hay?
GAME_GUIDE_0101_002_DESC,Hay un total de 7 clases.\n▶Clases de Héroe: Caballero / Guerrero / Asesino / Hechicero / Arquero / Clérigo / Maquinista
GAME_GUIDE_0101_003_TITLE,¿Qué es un tipo de ataque?
GAME_GUIDE_0101_003_DESC,Cada héroe pertenece al tipo de ataque físico o mágico.\n▶ Tipo de ataque: Físico / Mágico\nLos monstruos que son inmunes a los ataques físicos no reciben daño físico y deben ser atacados por héroes del tipo mágico.
GAME_GUIDE_0102,Aumentar Nivel
GAME_GUIDE_0102_SUM,¡Obtén experiencia para aumentar el nivel! ¡Serás mucho más fuerte!
GAME_GUIDE_0102_001_TITLE,¿Dónde puedo obtener experiencia?
GAME_GUIDE_0102_001_DESC,"La experiencia se puede obtener de todo tipo de batallas.\nEntre todas las batallas, la batalla de Conquista te dará más EXP."
GAME_GUIDE_0102_002_TITLE,¿Qué puedo obtener al aumentar nivel?
GAME_GUIDE_0102_002_DESC,Aumenta el nivel de los héroes para mejorar sus estadísticas y niveles de habilidad.
GAME_GUIDE_0102_003_TITLE,¿Se desperdicia la experiencia obtenida después de alcanzar el máximo nivel?
