KEY,Thai
GAME_GUIDE,คำช่วยเหลือ
SELECT_GUIDE,เลือกคำช่วยเหลือ
SHOW_GUIDE,ดูรายละเอียด
GUIDE_MENU,คำช่วยเหลือ
CONTENT_NOT_OPEN_WORLDBOSS,คอนเทนท์บอสโลกไม่เปิด
GUIDE_MENU_SHOW,ดูคำช่วยเหลือ
GAME_GUIDE_TITLE_01,เรียนรู้เกี่ยวกับ King's Raid ไปพร้อมๆกับ Cleo
GAME_GUIDE_DESC_01,ไกด์ไลน์สุดใจดีสำหรับนักผจญภัย King's Raid ครั้งแรก
GAME_GUIDE_0101,ฮีโร่
GAME_GUIDE_0101_SUM,ดูรายละเอียดอาชีพและชนิดการโจมตีแล้วลองมาสร้างทีมที่แข็งแกร่งกันดูสิ!!
GAME_GUIDE_0101_001_TITLE,สามารถหาฮีโร่ได้จากที่ไหนกันล่ะ?
GAME_GUIDE_0101_001_DESC,สามารถใช้รูบี้ซื้อฮีโร่ในร้านค้าพิเศษได้\nและสามารถเพิ่มค่ามิตรภาพกับฮีโร่ในกระท่อมฮีโร่ในการได้ฮีโร่มาครอบครองได้
GAME_GUIDE_0101_002_TITLE,เล่าเรื่องอาชีพของฮีโร่ให้ฟังหน่อยสิ!
GAME_GUIDE_0101_002_DESC,ฮีโร่ทั้งหมดประกอบไปด้วย 7 อาชีพ\n▶อาชีพ: อัศวิน / นักรบ / นักลอบสังหาร / จอมเวทย์ / นักธนู / นักบวช / ช่างกล
GAME_GUIDE_0101_003_TITLE,สงสัยเกี่ยวกับชนิดของการโจมตีจังเลย!
GAME_GUIDE_0101_003_DESC,ฮีโร่ทั้ั้งมีทั้งชนิดการโจมตีแบบกายภาพและเวทย์\n▶ ชนิดโจมตี : กายภาพ / เวทย์\nมอนสเตอร์ที่ต้านกายภาพนั้นจะไม่ได้รับความเสียหายกายภาพ เพราะฉะนั้นจึงต้องโจมตีเวทย์แทน
GAME_GUIDE_0102,อัพเลเวล
GAME_GUIDE_0102_SUM,รับค่าประสบการณ์จากการต่อสู้แล้วอัพเลเวลดูสิ!\nจะได้แข็งแกร่งขึ้นยังไงล่ะ!
GAME_GUIDE_0102_001_TITLE,จะหาค่าประสบการณ์ได้จากไหนกันล่ะ?
GAME_GUIDE_0102_001_DESC,สามารถได้รับค่าประสบการณ์จากการต่อสู้ทุกรูปแบบ\nโดยเฉพาะ! การต่อสู้ในดันเจี้ยนพิชิตจะสามารถได้รับค่าประสบการณ์จำนวนมาก
GAME_GUIDE_0102_002_TITLE,อัพเลเวลได้แล้วพิเศษยังไงล่ะ?
GAME_GUIDE_0102_002_DESC,เพิ่มเลเวลฮีโร่เพื่อเพิ่มค่าพลังและเลเวลสกิล
GAME_GUIDE_0102_003_TITLE,เมื่อถึงเลเวลสูงสุด จะต้องทิ้ง EXP ที่ไม่สามารถรับเพิ่มได้ใช่ไหม
GAME_GUIDE_0102_003_DESC,หากใส่ขวดแก้วเปล่าแห่งประสบการณ์ให้กับวีรบุรุษ จะเป็นการรวบรวม EXP ไว้ในขวดแก้วแทนวีรบุรุษ\nเมื่อรวบรวม EXP เต็มขวดจะกลายเป็นน้ำยา EXP ที่สามารถเพิ่มค่า EXP ให้กับวีรบุรุษอื่นได้\nอย่าลืมลองใช้ดูล่ะ!
GAME_GUIDE_0103,วิวัฒนาการและจุติ
GAME_GUIDE_0103_SUM,การวิวัฒนาการและจุติจะทำให้ได้เจอกับฮีโร่ที่แข็งแกร่งขึ้นอย่างน่าทึ่ง
GAME_GUIDE_0103_001_TITLE,การวิวัฒนาการคืออะไร?
GAME_GUIDE_0103_001_DESC,หากฮีโร่ถึงเลเวลที่กำหนดแล้วจะสามารถยกระดับการวิวัฒนาการ★ขึ้นไปอีกขั้นได้ ยิ่งระดับ★สูงขึ้นก็จะพัฒนาช่วงเลเวลสูงสุดและความสามารถของฮีโร่ขึ้นได้อีก
GAME_GUIDE_0103_002_TITLE,วิวัฒนาการทำได้ยังไงกัน?
GAME_GUIDE_0103_002_DESC,ใช้ชิ้นส่วนวิวัฒนาการที่ฮีโร่แต่ละอาชีพต้องการในการวิวัฒนาการระดับ★\nสามารถวิวัฒนาการได้สูงสุดถึงระดับ 5★ และชิ้นส่วนวิวัฒนาการสามารถหาได้จากดันเจี้ยนระดับสูงในแต่ละด่านได้
GAME_GUIDE_0103_003_TITLE,จุติหมายถึงอะไร?
