KEY,Vietnamese
GAME_GUIDE,Hỗ trợ
SELECT_GUIDE,Chọn hỗ trợ
SHOW_GUIDE,Xem chi tiết
GUIDE_MENU,Hỗ trợ
CONTENT_NOT_OPEN_WORLDBOSS,Nội dung Boss Thế Giới không mở.
GUIDE_MENU_SHOW,Xem trợ giúp
GAME_GUIDE_TITLE_01,Cùng Cleo tìm hiểu về King's Raid
GAME_GUIDE_DESC_01,Hướng dẫn gần gũi cho những nhà mạo hiểm lần đầu tiên đến với King's Raid
GAME_GUIDE_0101,Anh hùng
GAME_GUIDE_0101_SUM,"Sau khi xác nhận thuộc tính tấn công và nghề nghiệp của anh hùng, hãy thử lập một nhóm mạnh nào!!"
GAME_GUIDE_0101_001_TITLE,Anh hùng có thể nhận được ở đâu?
GAME_GUIDE_0101_001_DESC,"Anh hùng có thể mua được tại Cửa hàng đặc biệt bằng Ruby.\n Ngoài ra, anh hùng cũng có thể thu nhận được bằng cách tìm đến Quán trọ anh hùng và tăng độ thân hữu anh hùng."
GAME_GUIDE_0101_002_TITLE,Hãy cho tôi biết thêm về nghề nghiệp anh hùng!
GAME_GUIDE_0101_002_DESC,Tất cả các anh hùng đang sỡ hữu tổng 7 loại thuộc tính nghề nghiệp.\n▶Thuộc tính nghề: Hiệp sĩ / Chiến binh / Sát thủ / Phù thủy / Cung thủ / Linh mục / Thợ máy
GAME_GUIDE_0101_003_TITLE,Tôi muốn biết về thuộc tính tấn công của anh hùng!
GAME_GUIDE_0101_003_DESC,"Các anh hùng có thuộc tính vật lý hoặc thuộc tính phép thuật.\n▶ Thuộc tính tấn công: Thuộc tính vật lý / Thuộc tính phép thuật.\nVì các quái miễn nhiễm vật lý sẽ không nhận sát thương bởi tấn công có thuộc tính vật lý, nên bạn phải dùng tấn công có thuộc tính phép thuật."
GAME_GUIDE_0102,Tăng cấp
GAME_GUIDE_0102_SUM,Hãy nhận điểm kinh nghiệm tại các trận đấu và nâng cấp nào! Như vậy thì bạn mới mạnh hơn được!
GAME_GUIDE_0102_001_TITLE,Điểm kinh nghiệm có thể nhận nhiều ở đâu?
GAME_GUIDE_0102_001_DESC,Tất cả các trận đấu đều có thể nhận được điểm kinh nghiệm.\nĐặc biệt! Ở Trận Chinh phạt bạn sẽ nhận được một lượng lớn điểm kinh nghiệm.
GAME_GUIDE_0102_002_TITLE,Nếu nâng cấp lên thì sẽ được lợi ích gì?
GAME_GUIDE_0102_002_DESC,Tăng cấp Anh hùng của bạn để tăng chỉ số và cấp độ kỹ năng cho Anh hùng đó.
GAME_GUIDE_0102_003_TITLE,Bạn sẽ bỏ điểm kinh nghiệm khi đạt trình độ cao nhất?
GAME_GUIDE_0102_003_DESC,"Khi trang bị Bình XP rỗng cho anh hùng, điểm kinh nghiệm của anh hùng sẽ được tích vào trong bình rỗng.\nTất cả điểm kinh nghiệm được tích sẽ trở thành Bình XP và có thể tăng điểm kinh nghiệm cho các anh hùng khác\nnên bạn đừng bỏ lỡ cơ hội này nhé!"
GAME_GUIDE_0103,Thức tỉnh và Siêu việt
GAME_GUIDE_0103_SUM,"Thông qua việc Thức tỉnh và Siêu việt, bạn có thể thấy được các anh hùng mạnh lên cực kì!"
GAME_GUIDE_0103_001_TITLE,Thức tỉnh là gì?
GAME_GUIDE_0103_001_DESC,"Khi các anh hùng đạt một cấp độ nhất định, bạn có thể tăng mức độ ★ thức tỉnh. Mức độ ★ thức tỉnh này càng cao thì chỉ số năng lực và mức cấp độ tối đa của anh hùng sẽ được tăng lên."
GAME_GUIDE_0103_002_TITLE,Làm thế nào để thức tỉnh?
GAME_GUIDE_0103_002_DESC,Bạn có thể tăng mức độ ★ thức tỉnh bằng cách dùng Mảnh ghép thức tỉnh cần thiết theo từng loại nghề nghiệp .\nBạn có thể thức tỉnh đến tối đa là 5★ và bạn có thể nhận Mảnh ghép thức tỉnh tại Ngục tối trên cao ở mỗi chương.
GAME_GUIDE_0103_003_TITLE,Siêu việt là gì?
GAME_GUIDE_0103_003_DESC,"Bạn có thể siêu việt anh hùng khi anh hùng đó đã ở mức thức tỉnh 5 sao.\nKhi siêu việt, cấp độ có thể nâng tối đa và điểm năng lực của anh hùng sẽ được tăng lên. \nMỗi mức độ siêu việt sẽ được học thêm kĩ năng siêu việt."
GAME_GUIDE_0103_004_TITLE,Làm thế nào để siêu việt?
GAME_GUIDE_0103_004_DESC,Bạn có thể siêu việt bằng cách dùng Tinh chất được điều chế từ một lượng Mảnh ghép thức tỉnh nhất định và Đá vô cực được điều chế từ Mảnh ghép vô cực.
GAME_GUIDE_0103_005_TITLE,Thức tỉnh và siêu việt thực hiện ở đâu?
GAME_GUIDE_0103_005_DESC,"Sau khi thu thập đủ vật liệu thức tỉnh hoặc siêu việt, bạn có thể tiến hành trận đấu ở phòng Thử Thách tại Đại lộ anh hùng.\nSau khi thắng trận đấu, anh hùng sẽ được thức tỉnh và siêu việt khi bạn dùng vàng và thanh tẩy cho anh hùng tại phòng Thanh tẩy."
GAME_GUIDE_0104,Kĩ năng
GAME_GUIDE_0104_SUM,Cường hóa thuộc tính kỹ năng sẽ giúp bạn tăng nhanh sức chiến đấu! Lấy sách kỹ năng tại Nhà ngục!
GAME_GUIDE_0104_001_TITLE,Đặc tính kĩ năng là gì?
GAME_GUIDE_0104_001_DESC,"Mỗi kĩ năng đều có thể cường hóa đặc tính của kĩ năng đó. Khi cường hóa đặc tính kĩ năng, bạn cần có các Sách kĩ năng tùy theo chủng loại kĩ năng và nghề nghiệp của anh hùng."
GAME_GUIDE_0104_002_TITLE,Sách kĩ năng là gì?
GAME_GUIDE_0104_002_DESC,"Sách kĩ năng là vật liệu dùng để cường hóa đặc tính kĩ năng của anh hùng, bao gồm Nhập môn, Trung cấp, Chuyên gia, Lão luyện.\n Sách kĩ năng có thể nhận được tại Nhà ngục."
GAME_GUIDE_0105,Vật phẩm trang bị
GAME_GUIDE_0105_SUM,Mỗi trang bị đều tồn tại bậc tier và cấp loại riêng! Nội dung chi tiết thì hãy đọc thông tin dưới đây!
GAME_GUIDE_0105_001_TITLE,Có những loại trang bị nào?
GAME_GUIDE_0105_001_DESC,"Trang bị được chia thành các nhóm vũ khí, giáp, trang bị phụ, phụ kiện, quả cầu, cổ vật và bảo vật. Mọi anh hùng đều có thể trang bị."
GAME_GUIDE_0105_002_TITLE,Bậc tier của trang bị là gì?
GAME_GUIDE_0105_002_DESC,Tùy theo cấp độ của anh hùng mà bậc Tier có thể trang bị sẽ khác nhau.\n(Vd: T1 là cấp 1~20 / T2 là cấp 21~30 / T3 là cấp 31~40)
GAME_GUIDE_0105_003_TITLE,Cấp loại của trang bị là gì?
GAME_GUIDE_0105_003_DESC,"Cấp loại của trang bị gồm có loại Thường, Cao cấp, Hiếm, Anh hùng, Cổ đại và Huyền thoại, cấp loại càng cao thì chỉ số năng lực của trang bị đó càng cao."
GAME_GUIDE_0105_004_TITLE,Làm thế nào để đeo hay gỡ trang bị?
GAME_GUIDE_0105_004_DESC,"Tại cửa sổ thông tin anh hùng, bạn có thể trang bị khi chọn trang bị muốn mặc và nhấn nút Trang bị. Sau khi đã nhấn nút trang bị, bạn có thể gỡ trang bị bằng cách nhấn nút Gỡ trang bị ngay tại đó."
GAME_GUIDE_0105_005_TITLE,Tôi có thể nhận vũ khí huyền thoại ở đâu?
GAME_GUIDE_0105_005_DESC,"Bạn có thể nhận được Trang bị huyền thoại bằng cách chiến thắng các cuộc Đột kích hoặc trận chiến trong Chương 8 và 9. Bạn có thể nhận được Trang bị huyền thoại với các Tùy chọn theo bộ khác nhau, tùy vào loại và màn Đột kích."
GAME_GUIDE_0106,Trưởng thành hóa trang bị
GAME_GUIDE_0106_SUM,"Bạn có thể sở hữu vũ khí cực mạnh bằng việc cường hóa trang bị, thức tỉnh, cường hóa tùy chọn, luyện lại, phù phép và tăng cấp."
GAME_GUIDE_0106_001_TITLE,Cường hóa trang bị là gì?
GAME_GUIDE_0106_001_DESC,Tăng chỉ số của trang bị thông qua Cường hóa trang bị.\nSử dụng Vàng để cường hóa trang bị mà bạn muốn. Bậc của trang bị càng cao thì cấp độ cường hóa tối đa càng cao.
GAME_GUIDE_0106_002_TITLE,Làm thế nào để thức tỉnh trang bị?
GAME_GUIDE_0106_002_DESC,Bạn sử dụng trang bị giống nhau để tăng mức ★ của trang bị đó.\n Khi thức tỉnh trang bị là bạn nâng mức chỉ số năng lực của trang bị đó lên và mức ★ của trang bị có thể đạt tối đa là 5★.\n Cường hóa trang bị tiến hành tại Lò rèn → Luyện trang bị → Thức tỉnh trang bị.
GAME_GUIDE_0106_003_TITLE,Cường hóa tùy chọn là gì?
