KEY,"English"
NORMALBOSS_TITLE,"Boss"
CREATURE_RACE_TYPE.HERO,"Heroes"
CREATURE_RACE_TYPE.DARKNESS,"Darkness of Hero"
CREATURE_RACE_TYPE.FAIRY,"Fairy"
CREATURE_RACE_TYPE.NPC,"NPC"
CREATURE_RACE_TYPE.GOBLIN,"Goblin"
CREATURE_RACE_TYPE.ORC,"Orc"
CREATURE_RACE_TYPE.SLIME,"Slime"
CREATURE_RACE_TYPE.GOLEM,"Golem"
CREATURE_RACE_TYPE.SPIDER,"Spider"
CREATURE_RACE_TYPE.GIANT_WORM,"Giant Worm"
CREATURE_RACE_TYPE.SKELETON,"Skeleton"
CREATURE_RACE_TYPE.BOAR,"Boar"
CREATURE_RACE_TYPE.ENT,"Treant"
CREATURE_RACE_TYPE.DRYAD,"Dryad"
CREATURE_RACE_TYPE.HARPY,"Harpy"
CREATURE_RACE_TYPE.DARK_ELF,"Dark Elf"
CREATURE_RACE_TYPE.LAUGHING_MASK,"Laughing Mask"
CREATURE_RACE_TYPE.LIVING_WEAPON,"Living Weapon"
CREATURE_RACE_TYPE.MUHROOM,"Muhroom"
CREATURE_RACE_TYPE.WASP,"Wasp"
CREATURE_RACE_TYPE.NEPENTHES,"Nepenthes"
CREATURE_RACE_TYPE.TORTOISE,"Tortoise"
CREATURE_RACE_TYPE.MIMIC,"Mimic"
CREATURE_RACE_TYPE.WOLF,"Wolf"
CREATURE_RACE_TYPE.HORNED_BEAR,"Horned Bear"
CREATURE_RACE_TYPE.GNOLL,"Gnoll"
CREATURE_RACE_TYPE.BARRICADE,"Barricade"
CREATURE_RACE_TYPE.Scorpion,"Scorpion"
CREATURE_RACE_TYPE.Hydra,"Hydra"
CREATURE_RACE_TYPE.Mummy,"Mummy"
CREATURE_RACE_TYPE.Lizardman,"Lizardman"
CREATURE_RACE_TYPE.FrostGiant,"Frost Giant"
CREATURE_RACE_TYPE.BOSS,"Boss"
CREATURE_RACE_TYPE.RAID,"Raid"
CREATURE_NAME_1,"Kasel"
CREATURE_TITLE_1,"Warrior of the Holy Sword Kasel"
CREATURE_DESC_1,"The Chosen Warrior of the Holy Sword Aea, the sword that saved the world once before.\nHe can push back enemies and enhance himself with the power of this holy sword."
CREATURE_NAME_2,"Frey"
CREATURE_TITLE_2,"Priestess of Light Frey"
CREATURE_DESC_2,"A childhood friend of Kasel's, she is a priestess who serves the Goddess. She heals and protects allies with the power of light.\nWith the blessings of the Goddess, she can temporarily increase one's magic powers and resistance."
CREATURE_NAME_3,"Cleo"
CREATURE_TITLE_3,"Sorceress of Purgatory Cleo"
CREATURE_DESC_3,"A sorceress from the Red Tower, this brave girl uses explosive fire magic to deal damage to multiple enemies,\nand then inflicts even greater damage by causing the embers to explode."
CREATURE_NAME_4,"Roi"
CREATURE_TITLE_4,"Swift Assassin Roi"
CREATURE_DESC_4,"He is a former assassin with a hidden past. He specializes in single targets,\nlaunching strong, endless attacks on enemies while dashing around their blind spots."
CREATURE_NAME_5,"Gau"
CREATURE_TITLE_5,"Barbarian of Frozen Lands Gau"
CREATURE_DESC_5,"A barbarian that rules the snowy plains of the frozen land,\nhe undermines the morale of enemies with ear-deafening shouts and charges into them like a storm."
