KEY,French
NORMALBOSS_TITLE,Boss
CREATURE_RACE_TYPE.HERO,Héros
CREATURE_RACE_TYPE.DARKNESS,Ténèbres de Héros
CREATURE_RACE_TYPE.FAIRY,Fée
CREATURE_RACE_TYPE.NPC,PNJ
CREATURE_RACE_TYPE.GOBLIN,Gobelin
CREATURE_RACE_TYPE.ORC,Orc
CREATURE_RACE_TYPE.SLIME,Limon
CREATURE_RACE_TYPE.GOLEM,Golem
CREATURE_RACE_TYPE.SPIDER,Araignée
CREATURE_RACE_TYPE.GIANT_WORM,Ver géant
CREATURE_RACE_TYPE.SKELETON,Squelette
CREATURE_RACE_TYPE.BOAR,Sanglier
CREATURE_RACE_TYPE.ENT,Tréant
CREATURE_RACE_TYPE.DRYAD,Driade
CREATURE_RACE_TYPE.HARPY,Harpie
CREATURE_RACE_TYPE.DARK_ELF,Elfe-Sombre
CREATURE_RACE_TYPE.LAUGHING_MASK,Masque-Rieur
CREATURE_RACE_TYPE.LIVING_WEAPON,Arme vivante
CREATURE_RACE_TYPE.MUHROOM,Champignon
CREATURE_RACE_TYPE.WASP,Guêpe
CREATURE_RACE_TYPE.NEPENTHES,Nepenthes
CREATURE_RACE_TYPE.TORTOISE,Tortue
CREATURE_RACE_TYPE.MIMIC,Imitation
CREATURE_RACE_TYPE.WOLF,Loup
CREATURE_RACE_TYPE.HORNED_BEAR,Ours à Corne
CREATURE_RACE_TYPE.GNOLL,Gnoll
CREATURE_RACE_TYPE.BARRICADE,Barricade
CREATURE_RACE_TYPE.Scorpion,Scorpion
CREATURE_RACE_TYPE.Hydra,Hydre
CREATURE_RACE_TYPE.Mummy,Momie
CREATURE_RACE_TYPE.Lizardman,Homme-Lézard
CREATURE_RACE_TYPE.FrostGiant,Géant de Givre
CREATURE_RACE_TYPE.BOSS,Boss
CREATURE_RACE_TYPE.RAID,Raid
CREATURE_NAME_1,Kasel
CREATURE_TITLE_1,"Kasel, Héros de l'Épée Sacrée"
CREATURE_DESC_1,"Le guerrier élu d'Aea, l'Épée Sacrée qui sauva déjà le monde une fois.\nIl peut repousser les ennemis et s'améliorer lui-même avec la puissance de l'Épée Sacrée."
CREATURE_NAME_2,Frey
CREATURE_TITLE_2,"Frey, Prêtresse de la Lumière"
CREATURE_DESC_2,"Une amie d'enfance de Kasel, cette prêtresse sert la Déesse Lua.\nElle soigne et protège ses alliés avec la puissance de la lumière.\nAvec les bénédictions de la Déesse, elle peut temporairement augmenter les pouvoirs et les résistances."
CREATURE_NAME_3,Cleo
CREATURE_TITLE_3,"Cleo, Mage du Purgatoire"
CREATURE_DESC_3,"Une Mage de la Tour Rouge, elle utilise la magie explosive du feu pour infliger des dégâts à de multiples ennemis et inflige des dégâts encore plus élevés en faisant exploser les braises."
CREATURE_NAME_4,Roi
CREATURE_TITLE_4,"Roi, Dague-Meurtrière véloce"
CREATURE_DESC_4,"Autrefois assassin, son passé reste inconnu. Il est spécialiste des cibles isolées, il lance sans fin de puissantes attaques sur ses ennemis tout en courant autour d'eux sans être vu."
CREATURE_NAME_5,Gau
CREATURE_TITLE_5,"Gau, Barbare des Terres gelées"
CREATURE_DESC_5,"Un barbare qui règne sur les plaines enneigées des Terres Gelées, il sape le moral des ennemis avec ses cris assourdissants et les charge directement, tel une tempête."
CREATURE_NAME_6,Phillop
CREATURE_TITLE_6,"Phillop, Roi des Nains"
CREATURE_DESC_6,"Un légendaire chasseur de Dragons qui en a tué de nombreux...\nBien qu'il soit de petite taille, ses coups de bouclier détruisent les formations ennemies et sont habituellement suivis du coup de grâce."
CREATURE_NAME_7,Lakrak
CREATURE_TITLE_7,"Lakrak, Chasseur du Canon à Main"
CREATURE_DESC_7,"Un Gobelin blanc, compétent en ingénieurie mécanique, il utilise un canon à main pour infliger des dégâts explosifs, il harcèle ses ennemis avec de projectiles spéciaux et leur inflige des dégâts souvent fatals."
CREATURE_NAME_8,Kaulah
CREATURE_TITLE_8,"Kaulah, Chaman de la Foudre"
