KEY,"Japanese"
NORMALBOSS_TITLE,"BOSS"
CREATURE_RACE_TYPE.HERO,"英雄"
CREATURE_RACE_TYPE.DARKNESS,"闇の英雄"
CREATURE_RACE_TYPE.FAIRY,"フェアリー"
CREATURE_RACE_TYPE.NPC,"NPC"
CREATURE_RACE_TYPE.GOBLIN,"ゴブリン"
CREATURE_RACE_TYPE.ORC,"オーク"
CREATURE_RACE_TYPE.SLIME,"スライム"
CREATURE_RACE_TYPE.GOLEM,"ゴーレム"
CREATURE_RACE_TYPE.SPIDER,"クモ"
CREATURE_RACE_TYPE.GIANT_WORM,"ジャイアントワーム"
CREATURE_RACE_TYPE.SKELETON,"スケルトン"
CREATURE_RACE_TYPE.BOAR,"イノシシ"
CREATURE_RACE_TYPE.ENT,"トレント"
CREATURE_RACE_TYPE.DRYAD,"ドライアド"
CREATURE_RACE_TYPE.HARPY,"ハーピー"
CREATURE_RACE_TYPE.DARK_ELF,"ダークエルフ"
CREATURE_RACE_TYPE.LAUGHING_MASK,"笑う仮面"
CREATURE_RACE_TYPE.LIVING_WEAPON,"リビングウェポン"
CREATURE_RACE_TYPE.MUHROOM,"マルーム"
CREATURE_RACE_TYPE.WASP,"スズメバチ"
CREATURE_RACE_TYPE.NEPENTHES,"ネペンテス"
CREATURE_RACE_TYPE.TORTOISE,"トータス"
CREATURE_RACE_TYPE.MIMIC,"ミミック"
CREATURE_RACE_TYPE.WOLF,"オオカミ"
CREATURE_RACE_TYPE.HORNED_BEAR,"ホーンドベア"
CREATURE_RACE_TYPE.GNOLL,"ノール"
CREATURE_RACE_TYPE.BARRICADE,"バリケード"
CREATURE_RACE_TYPE.Scorpion,"スコーピオン"
CREATURE_RACE_TYPE.Hydra,"ヒドラ"
CREATURE_RACE_TYPE.Mummy,"マミー"
CREATURE_RACE_TYPE.Lizardman,"リザードマン"
CREATURE_RACE_TYPE.FrostGiant,"フロストジャイアント"
CREATURE_RACE_TYPE.BOSS,"ボス"
CREATURE_RACE_TYPE.RAID,"レイド"
CREATURE_NAME_1,"カーセル"
CREATURE_TITLE_1,"聖剣の戦士 カーセル"
CREATURE_DESC_1,"過去に世界を救った聖剣エアに選ばれた戦士。\n聖剣の力で敵を押しのけ、自身を強化することができる。"
CREATURE_NAME_2,"フレイ"
CREATURE_TITLE_2,"光の神官 フレイ"
CREATURE_DESC_2,"カーセルの幼馴染で、女神に仕える神官。光の力で味方を癒し、守る。\n女神の加護を通じて、他者の魔力と防御力を一時的に強化することもできる。"
CREATURE_NAME_3,"クレオ"
CREATURE_TITLE_3,"煉獄の魔法師 クレオ"
CREATURE_DESC_3,"赤き塔の魔法師で、炎の魔法を用いて複数の敵を一度に攻撃できる勇敢な少女。\n敵に与えた火種を起爆することで大ダメージを与えることもできる。"
CREATURE_NAME_4,"ロイ"
CREATURE_TITLE_4,"素早きアサシン ロイ"
CREATURE_DESC_4,"隠された過去を持つ元アサシン。単体の敵と戦うのに特化している。\n敵の死角へ的確に回り込み、強力な攻撃を絶え間なく行う。"
CREATURE_NAME_5,"ガウ"
CREATURE_TITLE_5,"凍てつく大地の蛮族 ガウ"
CREATURE_DESC_5,"凍てつく大地の氷原を支配する蛮族。\n彼は耳をつんざくような雄たけびで敵の士気を崩し、嵐のような勢いで敵に\n突っ込んでいく。"
CREATURE_NAME_6,"ピルロップ"
CREATURE_TITLE_6,"ドワーフの王 ピルロップ"
CREATURE_DESC_6,"複数のドラゴンを仕留めたことがあるドワーフの王で、伝説の竜殺し。\n小さな体格に反して、盾による非常に強力な攻撃で敵の陣形を崩し、そのまま強力な\n一撃を叩き込む。"
CREATURE_NAME_7,"ラクラック"
CREATURE_TITLE_7,"大砲持ちの狩人 ラクラック"
CREATURE_DESC_7,"機械技術に長けた白い肌のゴブリン。\n巨大ハンドキャノンを用いた範囲攻撃、特殊弾薬による敵への妨害、そして強力な\nトドメの一撃を得意とする。"
CREATURE_NAME_8,"カウラ"
CREATURE_TITLE_8,"稲妻の呪い師 カウラ"
CREATURE_DESC_8,"スカイウィンド族の族長として長くすごした彼は、空と風の力を借りて敵を倒す。\n強力な稲妻で敵を麻痺させながら、風の加護で味方を癒す。"
CREATURE_NAME_9,"エピス"
CREATURE_TITLE_9,"魅惑の魔族 エピス"
CREATURE_DESC_9,"冷血な快楽主義者の悪魔。\n巨大なカマを使って敵の魂を刈り取る。\n敵の群れに突然姿を現し、周りの敵を一度に切り刻む。"
CREATURE_NAME_10,"セレネ"
CREATURE_TITLE_10,"風を貫く矢 セレネ"
CREATURE_DESC_10,"聖なる森を守る、高尚な雰囲気を持ったエルフの姫。\n月の力を込められた矢は彼女の意思に従い、敵を追跡し、風の力を込められた矢は、\n凄まじい勢いで敵を貫通する。"
CREATURE_NAME_11,"マリア"
CREATURE_TITLE_11,"堕落した魔女 マリア"
CREATURE_DESC_11,"はるか昔に世界を救った英雄を祝福した聖人。\n呪われた怒れるカラスを操り、鋭い羽を飛ばして敵の陣形を打ち崩す。"
CREATURE_NAME_12,"ミルル"
CREATURE_TITLE_12,"呪われた海賊女帝 ミルル"
CREATURE_DESC_12,"呪いによって少女に姿を変えられた伝説の海賊。\n敵の頭上に砲丸を落とす、すばらしい能力を持っている。"
CREATURE_NAME_13,"ローレイン"
CREATURE_TITLE_13,"エリドラの大賢者 ローレイン"
CREATURE_DESC_13,"魔王軍が侵略した際に人間同盟軍に加わったエルフのドルイド。\n自然と共にし、木を通じて敵を攻撃する。"
CREATURE_NAME_14,"マヤ"
CREATURE_TITLE_14,"勇敢な獣使い マヤ"
CREATURE_DESC_14,"クマを狩れるほど強い装甲獣を手なずけた、冷静なハンター。\n彼女の回転ブーメランが敵の退路を断ち、装甲獣の強力なキバで敵を噛み砕く。"
CREATURE_NAME_15,"クラウス"
CREATURE_TITLE_15,"鉄壁の騎士 クラウス"
CREATURE_DESC_15,"カーセルの義兄。戦闘で最前列に立って味方を守る、鎧を着込んだ真の騎士。\n敵の攻撃を受け止めながら戦うことはまるで城壁だと言われる。"
CREATURE_NAME_16,"レピィ"
CREATURE_TITLE_16,"魂の導き手 レピィ"
CREATURE_DESC_16,"精霊のランプで魂を導く獣人族。\n魂の力を使って味方を治療する。\n魂の助けによって、敵の妨害や味方のMP回復も行える。"
CREATURE_NAME_17,"ディマエル"
CREATURE_TITLE_17,"闇の狩人 ディマエル"
CREATURE_DESC_17,"影から敵を狩るダークエルフ。\n彼の復讐心に燃えるクロスボウは、漆黒の闇を撃って敵を貫通する。"
CREATURE_NAME_18,"レイナ"
CREATURE_TITLE_18,"電光石火 レイナ"
CREATURE_DESC_18,"軽い片手剣を使う傭兵。\n素早い動きで敵の攻撃を避け、光のような速さで敵を貫く。"
CREATURE_NAME_19,"パベル"
CREATURE_TITLE_19,"氷竜の魔法師 パベル"
CREATURE_DESC_19,"アイスドラゴンの呪いを受けたことで、魔力を使えるようになった魔法師。\n強力な氷の魔法を使い、敵を凍らせる。"
CREATURE_NAME_20,"デミア"
CREATURE_TITLE_20,"鋼の要塞 デミア"
CREATURE_DESC_20,"巨大な重槍と盾を持った守護騎士。\n敵の攻撃を盾で受け止め、重槍で敵の戦列を乱す。"
CREATURE_NAME_21,"ネイラ"
CREATURE_TITLE_21,"風の戦士 ネイラ"
CREATURE_DESC_21,"ナックルによる近接攻撃が得意なハーピー。\n素早く敵の周りを動き回り、大打撃を与える。強力な連続攻撃で、敵を吹き飛ばす。"
CREATURE_NAME_22,"ロディナ"
CREATURE_TITLE_22,"吹雪の狙撃手 ロディナ"
CREATURE_DESC_22,"極寒の地に立つ帝国の狙撃手。\nどのような状況でも冷静さを保ったまま狙いを定めることができる。\n集中すればするほど、彼女の能力は高まる。"
CREATURE_NAME_23,"モーラ"
CREATURE_TITLE_23,"悪魔の炎 モーラ"
CREATURE_DESC_23,"魔王軍の溶岩を使う、魔族の騎士。\n激しい炎で敵を長く苦しめ、岩のような頑固な守り敵を倒す。"
CREATURE_NAME_24,"ボードワン"
CREATURE_TITLE_24,"聖なる無頼漢 ボードワン"
CREATURE_DESC_24,"自由奔放なルア修道会の神官。\n聖なる爆発を起こして味方を回復しつつ、敵にダメージを与える。"
CREATURE_NAME_25,"ジェーン"
CREATURE_TITLE_25,"白き屍 ジェーン"
CREATURE_DESC_25,"過去に魔王軍と戦った際にアンデッドになった少女。\n寝床となる棺を常に引きずっている。\n敵に死の印をつけることで、自身を回復することができる。"
CREATURE_NAME_26,"アイシャ"
CREATURE_TITLE_26,"青紫の姫君 アイシャ"
CREATURE_DESC_26,"オルベルリア出身、貴族の令嬢。賢者の塔にて「青紫」の称号を得た天才。\n豪華な日傘を強力なエネルギー砲のように使い、敵を攻撃する。"
CREATURE_NAME_27,"レオ"
CREATURE_TITLE_27,"永久の書記官 レオ"
CREATURE_DESC_27,"オルベルリア王立図書館の書記官。\nルーンを書いて味方を治癒し、敵に有利な魔法を消す。"
CREATURE_NAME_28,"フルス"
CREATURE_TITLE_28,"翻る刃 フルス"
CREATURE_DESC_28,"皇帝直属の王宮親衛隊副隊長。\n魔法も切ってしまう快速剣術で強敵を最先に切り倒す。"
CREATURE_NAME_29,"ルナ"
CREATURE_TITLE_29,"月光の子 ルナ"
CREATURE_DESC_29,"自身と同じぐらい大きなパチンコを使う謎の少女。\n放たれた弾は遠くへ飛ぶほど威力を増す。"
CREATURE_NAME_30,"ライアス"
CREATURE_TITLE_30,"水の神官 ライアス"
CREATURE_DESC_30,"アイギーナ砂漠のオアシスを守る神官。\nはるか長き時を過ごしてきた水龍でもある。\n彼女が操る水は、強力な治癒能力を持っている。"
CREATURE_NAME_31,"アーク"
CREATURE_TITLE_31,"純白の矢 アーク"
