KEY,"Korean"
NORMALBOSS_TITLE,"BOSS"
CREATURE_RACE_TYPE.HERO,"영웅"
CREATURE_RACE_TYPE.DARKNESS,"영웅의 어둠"
CREATURE_RACE_TYPE.FAIRY,"요정"
CREATURE_RACE_TYPE.NPC,"NPC"
CREATURE_RACE_TYPE.GOBLIN,"고블린"
CREATURE_RACE_TYPE.ORC,"오크"
CREATURE_RACE_TYPE.SLIME,"슬라임"
CREATURE_RACE_TYPE.GOLEM,"골렘"
CREATURE_RACE_TYPE.SPIDER,"거미"
CREATURE_RACE_TYPE.GIANT_WORM,"자이언트웜"
CREATURE_RACE_TYPE.SKELETON,"스켈레톤"
CREATURE_RACE_TYPE.BOAR,"멧돼지"
CREATURE_RACE_TYPE.ENT,"트렌트"
CREATURE_RACE_TYPE.DRYAD,"드라이어드"
CREATURE_RACE_TYPE.HARPY,"하피"
CREATURE_RACE_TYPE.DARK_ELF,"다크엘프"
CREATURE_RACE_TYPE.LAUGHING_MASK,"웃는가면"
CREATURE_RACE_TYPE.LIVING_WEAPON,"리빙웨폰"
CREATURE_RACE_TYPE.MUHROOM,"머룸"
CREATURE_RACE_TYPE.WASP,"말벌"
CREATURE_RACE_TYPE.NEPENTHES,"네펜데스"
CREATURE_RACE_TYPE.TORTOISE,"토터스"
CREATURE_RACE_TYPE.MIMIC,"미믹"
CREATURE_RACE_TYPE.WOLF,"늑대"
CREATURE_RACE_TYPE.HORNED_BEAR,"혼드베어"
CREATURE_RACE_TYPE.GNOLL,"놀"
CREATURE_RACE_TYPE.BARRICADE,"목책"
CREATURE_RACE_TYPE.Scorpion,"전갈"
CREATURE_RACE_TYPE.Hydra,"히드라"
CREATURE_RACE_TYPE.Mummy,"미라"
CREATURE_RACE_TYPE.Lizardman,"리자드맨"
CREATURE_RACE_TYPE.FrostGiant,"서리거인"
CREATURE_RACE_TYPE.BOSS,"우두머리"
CREATURE_RACE_TYPE.RAID,"레이드"
CREATURE_NAME_1,"카셀"
CREATURE_TITLE_1,"성검의 용사 카셀"
CREATURE_DESC_1,"세계를 구원할 수 있는 성검 에아가 선택한 용사이다. 성검을 휘둘러 적을 밀어내고, \n성검의 힘을 통해 자신을 강화시킬 수 있다."
CREATURE_NAME_2,"프레이"
CREATURE_TITLE_2,"빛의 사제 프레이"
CREATURE_DESC_2,"카셀의 소꿉친구이자 여신을 섬기는 신관이다. 빛의 힘으로 아군을 치유하고 보호한다.\n여신의 축복을 받아 일시적으로 마법의 힘과 그에 대한 저항력을 증가시킬 수도 있다."
CREATURE_NAME_3,"클레오"
CREATURE_TITLE_3,"염옥의 마법사 클레오"
CREATURE_DESC_3,"마법사들의 모임, 붉은 탑 출신의 당찬 아가씨이다. 강력한 화염 마법으로 다수의 적들에게\n불꽃을 일으키고, 불씨를 폭발 시켜 더 큰 피해를 준다."
CREATURE_NAME_4,"로이"
CREATURE_TITLE_4,"신속의 암살검 로이"
CREATURE_DESC_4,"숨겨진 과거를 가진 전직 암살자이다. 단일 대상에게 강력한 힘을 발휘하며\n적들의 시선으로부터 벗어나 끊임없는 맹공을 펼치며 유린한다."
CREATURE_NAME_5,"가우"
CREATURE_TITLE_5,"혹한의 전사 가우"
CREATURE_DESC_5,"혹한의 설원지대에서 사는 바바리안 왕국의 전사이다. \n강렬한 함성으로 적군의 사기를 낮추고 적들 사이를 폭풍처럼 가로지른다."
CREATURE_NAME_6,"필롭"
CREATURE_TITLE_6,"드워프의 왕 필롭"
CREATURE_DESC_6,"과거 수많은 거룡들을 사냥해온 드워프들의 왕이자 영웅이다.\n작은 체구에서 뿜어져 나오는 강력한 힘으로 휘두르는 방패로 진형을 파괴하고, 강력한 일격으로 적의 목숨을 끊는다."
CREATURE_NAME_7,"라크락"
