KEY,Portuguese
NORMALBOSS_TITLE,Chefe
CREATURE_RACE_TYPE.HERO,Heróis
CREATURE_RACE_TYPE.DARKNESS,Escuridão do heroi
CREATURE_RACE_TYPE.FAIRY,Fada
CREATURE_RACE_TYPE.NPC,PNJ
CREATURE_RACE_TYPE.GOBLIN,Goblin
CREATURE_RACE_TYPE.ORC,Orc
CREATURE_RACE_TYPE.SLIME,Visgo
CREATURE_RACE_TYPE.GOLEM,Golem
CREATURE_RACE_TYPE.SPIDER,Aranha
CREATURE_RACE_TYPE.GIANT_WORM,Verme Gigante
CREATURE_RACE_TYPE.SKELETON,Esqueleto
CREATURE_RACE_TYPE.BOAR,Javali
CREATURE_RACE_TYPE.ENT,Arvoredo
CREATURE_RACE_TYPE.DRYAD,Dríade
CREATURE_RACE_TYPE.HARPY,Harpia
CREATURE_RACE_TYPE.DARK_ELF,Elfo Negro
CREATURE_RACE_TYPE.LAUGHING_MASK,Máscara Sorridente
CREATURE_RACE_TYPE.LIVING_WEAPON,Arma viva
CREATURE_RACE_TYPE.MUHROOM,Muhroom
CREATURE_RACE_TYPE.WASP,Vespa
CREATURE_RACE_TYPE.NEPENTHES,Nepentes
CREATURE_RACE_TYPE.TORTOISE,Tartaruga
CREATURE_RACE_TYPE.MIMIC,Mímico
CREATURE_RACE_TYPE.WOLF,Lobo
CREATURE_RACE_TYPE.HORNED_BEAR,Urso Chifrudo
CREATURE_RACE_TYPE.GNOLL,Gnoll
CREATURE_RACE_TYPE.BARRICADE,Barricada
CREATURE_RACE_TYPE.Scorpion,Escorpião
CREATURE_RACE_TYPE.Hydra,Hidra
CREATURE_RACE_TYPE.Mummy,Múmia
CREATURE_RACE_TYPE.Lizardman,Homem-lagarto
CREATURE_RACE_TYPE.FrostGiant,Gigante de Gelo
CREATURE_RACE_TYPE.BOSS,Chefe
CREATURE_RACE_TYPE.RAID,Incursão
CREATURE_NAME_1,Kasel
CREATURE_TITLE_1,"Kasel, o Guerreiro da Espada Sagrada"
CREATURE_DESC_1,"O Guerreiro Escolhido da Espada Sagrada Aea, a espada que já salvou o mundo uma vez. \nEle pode empurrar os inimigos para trás e se fortalecer com o poder desta espada sagrada."
CREATURE_NAME_2,Frey
CREATURE_TITLE_2,"Frey, a Sacerdotisa da Luz"
CREATURE_DESC_2,"Uma amiga de infância de Kasel, ela é uma sacerdotisa que serve à Deusa. Ela cura e protege os aliados com o poder da luz. \n Com as bençãos da Deusa, ela pode aumentar temporariamente os poderes mágicos e a resistência de alguém."
CREATURE_NAME_3,Cleo
CREATURE_TITLE_3,"Cleo, a Feiticeira do Purgatório"
CREATURE_DESC_3,"Uma feiticeira da Torre Vermelha, esta menina corajosa usa magia de fogo explosiva para causar dano a vários inimigos, \ne em seguida inflige um dano ainda maior ao fazer as brasas explodirem."
CREATURE_NAME_4,Roi
CREATURE_TITLE_4,"Roi, o Assassino Veloz"
CREATURE_DESC_4,"Ele é um ex-assassino com um passado misterioso. É especialista em alvos solitários,\nlançando ataques fortes e intermináveis contra inimigos, enquanto se aproveita dos pontos cegos dos oponentes para se esquivar."
CREATURE_NAME_5,Gau
CREATURE_TITLE_5,"Gau, o Bárbaro das Terras Gélidas"
CREATURE_DESC_5,"Um bárbaro que governa as planícies nevadas da terra congelada,\nele enfraquece o moral dos inimigos com gritos ensurdecedores e investidas tempestuosas."
CREATURE_NAME_6,Phillop
CREATURE_TITLE_6,"Phillop, o Rei dos Anões"
CREATURE_DESC_6,"Um lendário caçador de dragões.\n Apesar de sua pequena estatura, seu poderoso golpe de escudo destrói formações inimigas, geralmente seguidas de um golpe final."
CREATURE_NAME_7,Lakrak
CREATURE_TITLE_7,"Lakrak, o Caçador do Canhão de Mão"
CREATURE_DESC_7,"Um goblin branco hábil em engenharia mecânica,\nele usa um canhão de mão para infligir dano explosivo, atormentar inimigos com munições especiais e infligir danos fatais."
CREATURE_NAME_8,Kaulah
CREATURE_TITLE_8,"Kaulah, o Xamã do Relâmpago"
CREATURE_DESC_8,"Como o antigo Cacique Orc da tribo Vento Celeste,\nele usa ataques elementais com o poder do céu e do vento.\nFortes raios paralisam os inimigos, enquanto os aliados são curados e abençoados pelo vento."
CREATURE_NAME_9,Epis
CREATURE_TITLE_9,"Epis, o Demônio Sedutor"
CREATURE_DESC_9,"Um demônio hedonista de sangue frio.\nUsando uma foice enorme, ela colhe as almas dos inimigos.\nEla aparece de repente entre os inimigos, cortando tudo ao seu redor."
CREATURE_NAME_10,Selene
CREATURE_TITLE_10,"Selene, a Flecha Corta-vento"
CREATURE_DESC_10,"Uma princesa Elfa com um ar de nobreza, ela guarda a floresta sagrada.\nAs flechas cheias de energia da lua seguem a vontade dela de localizar inimigos,\ne flechas cheias de energia eólica perfuram ferozmente o inimigo."
CREATURE_NAME_11,Maria
CREATURE_TITLE_11,"Maria, a Bruxa Caída"
CREATURE_DESC_11,O santo que abençoou o herói que salvou o mundo há muito tempo. O corvo amaldiçoado e indignado dispara penas afiadas\ncontra os inimigos e quebra completamente a formação do inimigo.
CREATURE_NAME_12,Miruru
CREATURE_TITLE_12,"Miruru, Imperatriz Pirata Maldita"
CREATURE_DESC_12,O lendário pirata que foi amaldiçoado e transformado em uma menina. \nEla tem o incrível poder de disparar canhões na direção da cabeça do inimigo.
CREATURE_NAME_13,Lorraine
CREATURE_TITLE_13,"Lorraine, Grande Erudita Elidoran"
CREATURE_DESC_13,O druida elfo que se juntou às Forças Aliadas Humanas quando o Lorde das Trevas invadiu.\nAge em parceria com a natureza e ataca os inimigos usando árvores.
CREATURE_NAME_14,Maya
CREATURE_TITLE_14,"Maya, Domadora Valente"
CREATURE_DESC_14,"Uma caçadora de tranquila que domesticou uma fera de armadura capaz de caçar ursos.\nSeu bumerangue gira cortando o inimigo, e a fera de armadura poderosa rasga os inimigos com sua mandíbula devastadora."
CREATURE_NAME_15,Clause
CREATURE_TITLE_15,"Clause, Cavaleiro da Defesa Férrea"
CREATURE_DESC_15,"O 'irmão mais velho' de Kasel. Um verdadeiro cavaleiro, ele é um homem de aço que protege aliados no fronte de batalha.\nEle bloqueia os ataques dos inimigos enquanto os derruba, que lhe concede a reputação semelhante a muralha de um castelo."
CREATURE_NAME_16,Rephy
CREATURE_TITLE_16,"Rephy, o Guia Espiritual"
CREATURE_DESC_16,"Meio humano e meio animal, essa criatura guia as almas usando uma lâmpada espiritual.\nCura aliados com o poder das almas.\nPerturba inimigos ou recupera Mana de aliados com a ajuda de almas também."
CREATURE_NAME_17,Dimael
CREATURE_TITLE_17,"Dimael, o Caçador da Sombra"
CREATURE_DESC_17,Um Elfo Negro que caça inimigos nas sombras.\nSeu arco vingativo perfura os inimigos com a mais pura escuridão.
CREATURE_NAME_18,Reina
CREATURE_TITLE_18,"Reina, o Relâmpago"
CREATURE_DESC_18,Um mercenário que maneja uma espada leve de uma mão.\nDesvia ataques com movimentos ágeis\ne perfura o inimigo com a ponta afiada de sua espada.
CREATURE_NAME_19,Pavel
CREATURE_TITLE_19,"Pavel, Feiticeiro do Dragão de Gelo"
CREATURE_DESC_19,"Um feiticeiro capaz de usar os poderes do Dragão de Gelo, depois de ser amaldiçoado.\nEle usa uma poderosa magia de gelo para congelar inimigos."
CREATURE_NAME_20,Demia
CREATURE_TITLE_20,"Demia, a Fortaleza de Aço"
CREATURE_DESC_20,Este cavaleiro guardião carrega uma lança gigantesca e um escudo.\nResiste ao ataque dos inimigos com absoluta fortitude e perturba as linhas inimigas com sua lança.
CREATURE_NAME_21,Naila
CREATURE_TITLE_21,"Naila, a Lutadora do Vento"
CREATURE_DESC_21,"Uma harpia que se especializou em combate corpo a corpo, usando suas soqueiras.\nMove-se rapidamente entre o inimigo, causando grande destruição por onde passa.\nDestrói inimigos lançando poderosos ataques consecutivos."
CREATURE_NAME_22,Rodina
CREATURE_TITLE_22,"Rodina, a Atiradora da Nevasca"
CREATURE_DESC_22,"Ela é uma atiradora de um império localizado em um ambiente extremamente frio.\nEla mira calmamente, não importa a circunstância. Quanto mais foco, mais poderosa ela se torna."
CREATURE_NAME_23,Morrah
CREATURE_TITLE_23,"Morrah, a Chama do Diabo"
CREATURE_DESC_23,Um cavaleiro demônio que usa a lava das Forças das Trevas.\nCausa uma dor contínua em seus inimigos e trava batalhas de resistência usando sua defesa implacável.
CREATURE_NAME_24,Baudouin
