KEY,Spanish
NORMALBOSS_TITLE,Jefe
CREATURE_RACE_TYPE.HERO,Héroes
CREATURE_RACE_TYPE.DARKNESS,Oscuridad del Héroe
CREATURE_RACE_TYPE.FAIRY,Hada
CREATURE_RACE_TYPE.NPC,NPC
CREATURE_RACE_TYPE.GOBLIN,Goblin
CREATURE_RACE_TYPE.ORC,Orco
CREATURE_RACE_TYPE.SLIME,Limo
CREATURE_RACE_TYPE.GOLEM,Golem
CREATURE_RACE_TYPE.SPIDER,Araña
CREATURE_RACE_TYPE.GIANT_WORM,Gusano Gigante
CREATURE_RACE_TYPE.SKELETON,Esqueleto
CREATURE_RACE_TYPE.BOAR,Jabalí
CREATURE_RACE_TYPE.ENT,Hombre Arbol
CREATURE_RACE_TYPE.DRYAD,Dríada
CREATURE_RACE_TYPE.HARPY,Arpía
CREATURE_RACE_TYPE.DARK_ELF,Elfo Obscuro
CREATURE_RACE_TYPE.LAUGHING_MASK,Máscara de Risa
CREATURE_RACE_TYPE.LIVING_WEAPON,Arma Viviente
CREATURE_RACE_TYPE.MUHROOM,Hongo
CREATURE_RACE_TYPE.WASP,Avispa
CREATURE_RACE_TYPE.NEPENTHES,Nepentes
CREATURE_RACE_TYPE.TORTOISE,Tortuga
CREATURE_RACE_TYPE.MIMIC,Imitador
CREATURE_RACE_TYPE.WOLF,Lobo
CREATURE_RACE_TYPE.HORNED_BEAR,Oso con Cuernos
CREATURE_RACE_TYPE.GNOLL,Gnoll
CREATURE_RACE_TYPE.BARRICADE,Barricada
CREATURE_RACE_TYPE.Scorpion,Escorpión
CREATURE_RACE_TYPE.Hydra,Hidra
CREATURE_RACE_TYPE.Mummy,Momia
CREATURE_RACE_TYPE.Lizardman,Hombre Lagarto
CREATURE_RACE_TYPE.FrostGiant,Gigante de Escarcha
CREATURE_RACE_TYPE.BOSS,Jefe
CREATURE_RACE_TYPE.RAID,Raid
CREATURE_NAME_1,Kasel
CREATURE_TITLE_1,"Kasel, Guerrero de la Espada Sagrada"
