KEY,ChineseSimplified
ITEM_NAME_1,凯瑟
ITEM_NAME_2,芙莱儿
ITEM_NAME_3,克丽欧
ITEM_NAME_4,罗伊
ITEM_NAME_5,高尔
ITEM_NAME_6,菲洛普
ITEM_NAME_7,拉克拉克
ITEM_NAME_8,卡尔洛
ITEM_NAME_9,爱比丝
ITEM_NAME_10,瑟琳
ITEM_NAME_11,玛莉亚
ITEM_NAME_12,米露露
ITEM_NAME_13,罗兰
ITEM_NAME_14,玛雅
ITEM_NAME_15,克劳斯
ITEM_NAME_16,乐皮
ITEM_NAME_17,迪麦
ITEM_NAME_18,蕾娜
ITEM_NAME_19,帕菲
ITEM_NAME_20,黛弥儿
ITEM_NAME_21,奈拉
ITEM_NAME_22,罗迪娜
ITEM_NAME_23,莫拉
ITEM_NAME_24,巴杜因
ITEM_NAME_25,珍
ITEM_NAME_26,爱纱
ITEM_NAME_27,里欧
ITEM_NAME_28,弗鲁斯
ITEM_NAME_29,露娜
ITEM_NAME_30,莱雅丝
ITEM_NAME_31,亚克
ITEM_NAME_32,露伊希亚
ITEM_NAME_33,尼克斯
ITEM_NAME_34,安妮特
ITEM_NAME_35,米特拉
ITEM_NAME_36,瑞卡德
ITEM_NAME_37,谭雅
ITEM_NAME_38,伊兹凯尔
ITEM_NAME_39,卡珊卓
ITEM_NAME_40,希欧
ITEM_NAME_41,梅蒂安娜
ITEM_NAME_42,欧迪
ITEM_NAME_43,薇丝卡
ITEM_NAME_44,普莉西拉
ITEM_NAME_45,雅妮
ITEM_NAME_46,查毕勒
ITEM_NAME_48,蕾哈特娜
ITEM_NAME_47,尤莉娅
ITEM_NAME_49,欧菲莉亚
ITEM_NAME_50,芮奎娜
ITEM_NAME_51,艾希莉卡
ITEM_NAME_52,克洛
ITEM_NAME_53,萨蜜拉
ITEM_NAME_54,拉薇儿
ITEM_NAME_55,赛莉亚
ITEM_NAME_56,爱儿琪
ITEM_NAME_57,黎莉雅
ITEM_NAME_58,劳蒂亚
ITEM_NAME_59,鲁西亚司
ITEM_NAME_60,克莉莎
ITEM_NAME_61,奈洛希思
ITEM_NAME_62,史嘉蕾
ITEM_NAME_63,索妮亚
ITEM_NAME_64,阿蒂蜜雅
ITEM_NAME_65,米芮安
ITEM_NAME_66,希娅
ITEM_NAME_67,卡菈
ITEM_NAME_68,倪娅
ITEM_NAME_69,艾斯克
ITEM_NAME_70,塞西莉亚
ITEM_NAME_71,凯丽泽
ITEM_NAME_73,伽司
ITEM_NAME_75,达卡里斯
ITEM_NAME_78,伯伦海姆
ITEM_NAME_87,格兰薇丝
ITEM_NAME_90,梅伊
ITEM_NAME_91,格拉帝
ITEM_NAME_92,薇若妮卡
ITEM_NAME_93,洛曼
ITEM_NAME_94,朱诺
ITEM_NAME_95,妮琪
ITEM_NAME_96,朵莎尔妲
ITEM_NAME_97,哈奴斯
ITEM_NAME_98,该隐
ITEM_NAME_324,露伊希亚
ITEM_NAME_325,露伊希亚
ITEM_NAME_516,艾希莉卡
ITEM_NAME_526,克洛
ITEM_NAME_653,米芮安
ITEM_NAME_654,米芮安
ITEM_NAME_655,米芮安
ITEM_NAME_666,希娅
ITEM_NAME_536,萨蜜拉
ITEM_NAME_676,卡菈
ITEM_NAME_736,伽司
ITEM_NAME_152,克劳斯
ITEM_NAME_466,查毕勒
ITEM_NAME_476,尤莉娅
ITEM_NAME_576,黎莉雅
ITEM_NAME_586,劳蒂亚
