KEY,ChineseSimplified
LOADING_TEXT_CURRENCY_GOLD,进行关卡或完成任务可以获得的基本货币。
LOADING_TEXT_CURRENCY_GOLD2,购买商品或升级技能时会用到它！
LOADING_TEXT_CURRENCY_GEM,王之逆袭的商城货币，用来购买各种特殊物品。\n不要乱花！
LOADING_TEXT_CURRENCY_GEM2,在特级商店热烈贩卖中！
LOADING_TEXT_CURRENCY_GEM3,可以透过签到和各种任务获得！
LOADING_TEXT_CURRENCY_STAMINA,进行关卡时，会依据关卡的需求消耗一定的体力。
LOADING_TEXT_CURRENCY_STAMINA2,消耗的体力，每经过一段时间便会回复1点。
LOADING_TEXT_CURRENCY_STAMINA3,体力的最大值将会随队伍等级上升而增加。
LOADING_TEXT_CURRENCY_SWORD,在竞技场与其他玩家对战时使用的资源！\n随时间经过会自动回复！
LOADING_TITLE_HERO_CONTENT_HEROSETTING,要怎么组成队伍呢？
LOADING_TEXT_HERO_CONTENT_HEROSETTING,在王之逆袭是透过最多4位英雄组成队伍进行战斗。 \n英雄按照职业将分为前排和后排，即使职业重复也可以组成队伍。
LOADING_TITLE_HERO_CONTENT_SKILL,英雄的技能
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,强化英雄的技能吧！
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,已习得的技能可以强化为更强力的技能。\n使用金币将技能等级强化至与英雄等级相同吧。
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,为英雄穿上装备吧！
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,请为英雄穿上符合职业的装备。\n英雄们穿上武器、防具、辅助装备和装饰品后，将会大大地提升实力喔！
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,装备有哪些种类呢？
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,武器一共有：巨剑、长矛、匕首、弓、枪、魔杖六种（魔法师与牧师互通），防具和辅助装备有重甲、轻甲及长袍三种。
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,强化装备！
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,用各种材料强化英雄的武器吧！\n使用较高级别的材料能获得较好的强化效果。
LOADING_TITLE_HERO_CONTENT_RUNETPYE,符石的种类
LOADING_TEXT_HERO_CONTENT_RUNETPYE,符石依照种类可分为攻击型、防御型、辅助型三种。
LOADING_TITLE_HERO_CONTENT_RUNE,符石的颜色区分
LOADING_TEXT_HERO_CONTENT_RUNE,红色的攻击型符石只能装备在武器上，蓝色的防御型符石只能装备在防具上，绿色的辅助型符石只能装备在辅助装备上。
LOADING_TITLE_CONTENT_PARTYDUNGEON,和好友一起进行的副本！
LOADING_TEXT_CONTENT_PARTYDUNGEON,组队副本中，会出现强力的怪物。\n和好友组成队伍一起挑战吧！\n若没有和他人组成队伍，是无法入场的唷～
LOADING_TITLE_CONTENT_HALLOFHEROES,觉醒的场所
LOADING_TEXT_CONTENT_HALLOFHEROES,英雄殿堂内存在着试炼之房与净化之房。在试炼之房内 \n击败英雄内心的黑暗面后，可以获得英雄觉醒时必需的 \n材料。在净化之房将这些材料净化之后就可以进行觉醒。
LOADING_TITLE_CONTENT_ROOMOFORDEAL,试炼之房
LOADING_TEXT_CONTENT_ROOMOFORDEAL,试炼之房是获得英雄觉醒必需的「被封印的黑暗面」的唯一场所。
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,解除试炼之房的封印。
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,想要进入试炼之房，依照英雄职业的不同，需要分别收集3种不同的晶元。/n收集到足够的晶元后，就可以解除封印！封印解除后，试炼之房的门会持续开启到通关之后。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,净化之房
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,净化之房是净化「被封印的黑暗面」的空间。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,净化之房的进入条件
