KEY,ChineseTraditional
LOADING_TEXT_CURRENCY_GOLD,進行關卡或完成任務可以獲得的基本貨幣。
LOADING_TEXT_CURRENCY_GOLD2,購買商品或升級技能時會用到它！
LOADING_TEXT_CURRENCY_GEM,王之逆襲的商城貨幣，用來購買各種特殊物品。\n不要亂花！
LOADING_TEXT_CURRENCY_GEM2,在特級商店熱烈販賣中！
LOADING_TEXT_CURRENCY_GEM3,可以透過簽到和各種任務獲得！
LOADING_TEXT_CURRENCY_STAMINA,進行關卡時，會依據關卡的需求消耗一定的體力。
LOADING_TEXT_CURRENCY_STAMINA2,消耗的體力，每經過一段時間便會回復1點。
LOADING_TEXT_CURRENCY_STAMINA3,體力的最大值將會隨隊伍等級上升而增加。
LOADING_TEXT_CURRENCY_SWORD,在競技場與其他玩家對戰時使用的資源！\n隨時間經過會自動回復！
LOADING_TITLE_HERO_CONTENT_HEROSETTING,要怎麼組成隊伍呢？
LOADING_TEXT_HERO_CONTENT_HEROSETTING,在王之逆襲是透過最多4位英雄組成隊伍進行戰鬥。 \n英雄按照職業將分為前排和後排，即使職業重複也可以組成隊伍。
LOADING_TITLE_HERO_CONTENT_SKILL,英雄的技能
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,強化英雄的技能吧！
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,已習得的技能可以強化為更強力的技能。\n使用金幣將技能等級強化至與英雄等級相同吧。
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,為英雄穿上裝備吧！
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,請為英雄穿上符合職業的裝備。\n英雄們穿上武器、防具、輔助裝備和裝飾品後，將會大大地提升實力喔！
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,裝備有哪些種類呢？
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,武器一共有：巨劍、長矛、匕首、弓、槍、魔杖六種（魔法師與牧師互通），防具和輔助裝備有重甲、輕甲及長袍三種。
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,強化裝備！
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,用各種材料強化英雄的武器吧！\n使用較高級別的材料能獲得較好的強化效果。
LOADING_TITLE_HERO_CONTENT_RUNETPYE,符石的種類
LOADING_TEXT_HERO_CONTENT_RUNETPYE,符石依照種類可分為攻擊型、防禦型、輔助型三種。
LOADING_TITLE_HERO_CONTENT_RUNE,符石的顏色區分
LOADING_TEXT_HERO_CONTENT_RUNE,紅色的攻擊型符石只能裝備在武器上，藍色的防禦型符石只能裝備在防具上，綠色的輔助型符石只能裝備在輔助裝備上。
LOADING_TITLE_CONTENT_PARTYDUNGEON,和好友一起進行的副本！
LOADING_TEXT_CONTENT_PARTYDUNGEON,組隊副本中，會出現強力的怪物。\n和好友組成隊伍一起挑戰吧！\n若沒有和他人組成隊伍，是無法入場的唷～
LOADING_TITLE_CONTENT_HALLOFHEROES,覺醒的場所
LOADING_TEXT_CONTENT_HALLOFHEROES,英雄殿堂記憶體在著試煉之房與淨化之房。在試煉之房內 \n擊敗英雄內心的黑暗面後，可以獲得英雄覺醒時必需的 \n材料。在淨化之房將這些材料淨化之後就可以進行覺醒。
LOADING_TITLE_CONTENT_ROOMOFORDEAL,試煉之房
LOADING_TEXT_CONTENT_ROOMOFORDEAL,試煉之房是獲得英雄覺醒必需的「被封印的黑暗面」的唯一場所。
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,解除試煉之房的封印。
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,想要進入試煉之房，依照英雄職業的不同，需要分別收集3種不同的晶元。/n收集到足夠的晶元後，就可以解除封印！封印解除後，試煉之房的門會持續開啟到過關之後。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,淨化之房
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,淨化之房是淨化「被封印的黑暗面」的空間。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,淨化之房的進入條件
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,通過試煉之房後，可以帶著「被封印的黑暗面」進入淨化之房。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,準備淨化
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,淨化時需要大量的金幣。\n準備充足的金幣來淨化吧！
LOADING_TITLE_CONTENT_CITY,奧勒貝爾
LOADING_TEXT_CONTENT_CITY,奧勒貝利亞王國的首都，在這裡可以進行各種系統和功能。\n盡情參觀首都風光，體驗地下監牢、競技場等各種系統吧！
LOADING_TITLE_CONTENT_SHOP,到商店逛逛吧！
LOADING_TEXT_CONTENT_SHOP,商店裡有各式各樣的商品。\n有武器、防具、輔助裝備、技能書，連晶元都有呢！
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,商店裡的商品賣完了嗎？
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,商品沒有庫存了嗎？\n別擔心，可以使用紅寶石立即刷新商品目錄。\n此外，商品目錄每小時會自動更新，記得常來逛逛哦！
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,陰森的地下監牢
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,每天都可以在地下監牢挑戰不同的怪物。\n不同難度的副本等著大家來挑戰，\n務必做好準備再來挑戰！
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON_REWARD,地下監牢獎勵
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON_REWARD,通過地下監牢副本，可以獲得較多的技能書獎勵。
LOADING_TEXT_HERO_INTRO_TITLE1,聖劍勇者\n凱瑟
LOADING_TEXT_HERO_INTRO_COMMENT1,讓開！這條路是我們的必經之路！\n不讓開的話...我只好用這把劍開路了！
LOADING_TEXT_HERO_INTRO_TITLE2,聖光牧師\n芙萊兒
LOADING_TEXT_HERO_INTRO_COMMENT2,不行唷！生命是祝福。\n魔王竟然想要傷害他們，\n絕對不能原諒！
LOADING_TEXT_HERO_INTRO_TITLE3,煉獄魔法師\n克麗歐
LOADING_TEXT_HERO_INTRO_COMMENT3,讓開！凱瑟。我要用我的火焰燒光他們！
LOADING_TEXT_HERO_INTRO_TITLE4,神速刺客\n羅伊
LOADING_TEXT_HERO_INTRO_COMMENT4,我只不過是在執行我的任務。
LOADING_TEXT_HERO_INTRO_TITLE5,酷寒野蠻人戰士\n高爾
LOADING_TEXT_HERO_INTRO_COMMENT5,順帶一提，\n要不要和我比試一下？
LOADING_TEXT_HERO_INTRO_TITLE6,矮人之王\n菲洛普
LOADING_TEXT_HERO_INTRO_TITLE7,火槍獵手\n拉克拉克
LOADING_TEXT_HERO_INTRO_COMMENT7,嘻嘻嘻，原來這是你想要的？\n你把我誤會成普通哥布林我會很困擾喔...\n來吧，放馬過來！
LOADING_TEXT_HERO_INTRO_TITLE8,雷電薩滿\n卡爾洛
LOADING_TEXT_HERO_INTRO_COMMENT8,咳...你以為我會死在這種地方嗎？\n我絕對不會拋棄天風族！\n精怪們啊，賜與我力量！
LOADING_TEXT_HERO_INTRO_TITLE9,魅惑惡魔\n愛比絲
LOADING_TEXT_HERO_INTRO_COMMENT9,嘻嘻～你看起來真美味啊！\n我迫不及待地想要一口一口地品嘗你了。
LOADING_TEXT_HERO_INTRO_TITLE10,破風之箭\n瑟琳
LOADING_TEXT_HERO_INTRO_COMMENT10,請速速拔劍吧！\n我們森林妖精可沒有卑鄙到會攻擊手無寸鐵的人。
LOADING_TEXT_HERO_INTRO_TITLE11,墮落女巫\n瑪莉亞
LOADING_TEXT_HERO_INTRO_TITLE12,受詛咒之海盜女王\n米露露
LOADING_TEXT_HERO_INTRO_TITLE13,艾莉朵拉大賢者\n羅蘭
LOADING_TEXT_HERO_INTRO_TITLE14,勇猛獸王\n瑪雅
LOADING_TEXT_HERO_INTRO_TITLE15,鐵壁騎士\n克勞斯
LOADING_TEXT_HERO_INTRO_COMMENT15,你說的對，凱瑟。我會守護大家的！
LOADING_TEXT_HERO_INTRO_TITLE16,靈魂引渡者\n樂皮
LOADING_TEXT_HERO_INTRO_TITLE17,暗影獵者\n迪麥
LOADING_TEXT_HERO_INTRO_TITLE18,電光一閃\n蕾娜
LOADING_TEXT_HERO_INTRO_TITLE19,冰龍巫師\n帕菲
LOADING_TEXT_HERO_INTRO_TITLE20,鋼鐵壁壘\n黛彌兒
LOADING_TEXT_HERO_INTRO_TITLE21,風之格鬥家\n奈拉
LOADING_TEXT_HERO_INTRO_TITLE22,酷寒狙擊手\n羅迪娜
LOADING_TEXT_HERO_INTRO_TITLE23,惡魔之火\n莫拉
LOADING_TEXT_HERO_INTRO_TITLE24,聖光惡棍\n巴杜因
LOADING_TEXT_HERO_INTRO_TITLE25,石棺之屍\n珍
LOADING_TEXT_HERO_INTRO_TITLE26,紫羅蘭公主\n愛紗
