KEY,"English"
LOADING_TEXT_CURRENCY_GOLD,"A basic currency that you can earn by clearing\nstages or missions."
LOADING_TEXT_CURRENCY_GOLD2,"Use Gold to buy items, upgrade skills\nand enjoy various content!"
LOADING_TEXT_CURRENCY_GEM,"A cash point in King's Raid.\nIt is used for various kinds of special content, so don't waste it!"
LOADING_TEXT_CURRENCY_GEM2,"Now available in the Premium Shop!"
LOADING_TEXT_CURRENCY_GEM3,"You can earn Rubies as a reward for logging on and completing missions!"
LOADING_TEXT_CURRENCY_STAMINA,"Depending on the stage, a certain amount of Stamina is\nconsumed as you play."
LOADING_TEXT_CURRENCY_STAMINA2,"The consumed Stamina is recharged by\n1 point over time."
LOADING_TEXT_CURRENCY_STAMINA3,"The maximum Stamina increases\nas the team levels up."
LOADING_TEXT_CURRENCY_SWORD,"Used to fight other players in the\nArena! It is recharged automatically over time."
LOADING_TITLE_HERO_CONTENT_HEROSETTING,"How to Form a Party?"
LOADING_TEXT_HERO_CONTENT_HEROSETTING,"A party of up to four members is required for battles in King's Raid.\nHeroes for the front line and the back line are decided based on the hero's class.\nHeroes of the same class can also join a party together."
LOADING_TITLE_HERO_CONTENT_SKILL,"Hero's Skills"
LOADING_TEXT_HERO_CONTENT_SKILL,"All heroes in King's Raid can learn four skills."
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,"Enhance Your Skill!"
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Skills that you have been learned\ncan be enhanced to become more powerful.\nSpend Gold to enhance skills according to your hero's level.\n"
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,"Get Some Gear!"
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Equip gear that suits your hero's class.\nYour heroes can become more powerful\nby equipping weapons, armor, secondary gear, and accessories."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,"Type of Gear?"
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"There are 6 types of weapons: Great Swords, Spears, Daggers, Bows, Guns, and Magic Wands (wizards and priests share weapons). And there are 3 different types of armor and secondary gear: Heavy Armor, Light Armor, and Robes."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,"Enhance Gear!"
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,"Use various materials to upgrade weapons.\nUpgrading becomes more effective\nwhen materials with higher ranks are used."
LOADING_TITLE_HERO_CONTENT_RUNETPYE,"Rune Types"
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"There are three types of runes:\nAttack, Defense, and Secondary."
LOADING_TITLE_HERO_CONTENT_RUNE,"Effect of rune (depending on the color)"
LOADING_TEXT_HERO_CONTENT_RUNE,"Red Attack Runes can only be equipped on weapons, Blue Defense Runes can only be equipped on armor, and Green Secondary Runes can only be equipped on secondary gear."
LOADING_TITLE_CONTENT_PARTYDUNGEON,"Dungeon with friends!"
LOADING_TEXT_CONTENT_PARTYDUNGEON,"There are challenging monsters in the party dungeons.\nForm a party with your friends and challenge them.\nRemember, you can't enter the dungeon without a party!"
LOADING_TITLE_CONTENT_HALLOFHEROES,"Place of Awakening"
LOADING_TEXT_CONTENT_HALLOFHEROES,"The Hall of Heroes consists of the Room of Ordeals,\nwhere you can fight the darkness and acquire materials for awakening, and the Room of Purification,\nwhere you can purify the acquired materials to use them for awakening."
LOADING_TITLE_CONTENT_ROOMOFORDEAL,"Room of Ordeals"
LOADING_TEXT_CONTENT_ROOMOFORDEAL,"The Room of Ordeals is the only place where you can acquire the Sealed Darkness,\nwhich is required to awaken your heroes."
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,"The Room of Ordeals gate unsealed."
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,"To enter the Room of Ordeals, you need to collect a certain number of fragments of three types for each class.\nOnce you have collected enough fragments, break the Seal! Once opened, the door will not be closed until the Room of Ordeals is cleared."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,"Room of Purification"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,"You can purify your Sealed Darkness in the Room of Purification."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"Room of Purification, entry limit"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,"Heroes who have acquired the\nSealed Darkness from the Room of Ordeals can enter the Room of Purification."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,"Prepare purification"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,"You need lots of Gold to purify the darkness.\nCollect enough Gold and try purifying. "
LOADING_TITLE_CONTENT_CITY,"Orvel"
LOADING_TEXT_CONTENT_CITY,"As the capital of the Orvelia Kingdom,\nOrvel offers various features and content for heroes.\nWalk around the town and experience various features and content at the Shop, Stockade, and Arena!"
LOADING_TITLE_CONTENT_SHOP,"Use the shop!"
LOADING_TEXT_CONTENT_SHOP,"There are many items sold at the shop.\nWeapons, armor, secondary gear, skill books, and fragments!"
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,"The store is out of stock?!"
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,"What? Out of stock?\nDon't worry. You can use Rubies by tapping the Refresh button to check out new products right away.\nDon't forget to visit the shop regularly to check the updated list,\nrefreshed on an hourly basis."
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,"Creepy stockade"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,"The stockade is a dungeon where you can fight new monsters every day.\nThe level of monsters varies depending on the difficulty level of the dungeon,\nso be well prepared before entering one.\n"
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON_REWARD,"stockade reward"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON_REWARD,"You can collect more skill books\nby clearing the stockades."
LOADING_TEXT_HERO_INTRO_TITLE1,"Warrior of the Holy Sword\nKasel"
