KEY,French
LOADING_TEXT_CURRENCY_GOLD,C'est une monnaie de base que vous pouvez gagner en accomplissant\ndes niveaux ou des missions.
LOADING_TEXT_CURRENCY_GOLD2,"Utilisez l'Or pour acheter des objets, améliorer des compétences\net profiter d'autres contenus !"
LOADING_TEXT_CURRENCY_GEM,"C'est le Point de Cash de King's Raid.\nIl est utilisé pour différents types de contenus spéciaux, alors ne le gaspillez pas !"
LOADING_TEXT_CURRENCY_GEM2,Maintenant disponible dans la Boutique Premium!
LOADING_TEXT_CURRENCY_GEM3,Vous pouvez gagner des Rubis comme récompenses de connexion et d'accomplissement de missions !
LOADING_TEXT_CURRENCY_STAMINA,"En fonction du niveau joué,\nune certaine quantité d'Endurance est consommée."
LOADING_TEXT_CURRENCY_STAMINA2,L'Endurance consommée se recharge\npar 1 point au fil du temps.
LOADING_TEXT_CURRENCY_STAMINA3,L'Endurance maximum augmente\nà mesure que votre équipe gagne des niveaux.
LOADING_TEXT_CURRENCY_SWORD,Utilisé pour combattre d'autres joueurs dans l'Arène!\nSe recharge automatiquement avec le temps.
LOADING_TITLE_HERO_CONTENT_HEROSETTING,Comment former un Groupe ?
LOADING_TEXT_HERO_CONTENT_HEROSETTING,"Un groupe, jusqu'à quatre membres, est requis pour les batailles dans King's Raid.\nLes Héros de la ligne de front et de l'arrière sont choisis en se basant sur leurs classes.\nLes Héros de même classe peuvent aussi rejoindre un groupe ensemble."
LOADING_TITLE_HERO_CONTENT_SKILL,Compétences de Héros
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,Améliorez votre Compétence !
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Les compétences que vous avez apprises\npeuvent être améliorées pour devenir plus puissantes.\nDépensez de l'Or pour améliorer les compétences, selon le niveau de votre Héros.\n"
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,Obtenez de l'Équipement !
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Équipez des pièces qui conviennent à la classe de votre Héros.\nVos Héros peuvent devenir plus puissants\n en équipant armes, armures, équipements secondaires et accessoires."
