KEY,"French"
LOADING_TEXT_CURRENCY_GOLD,"Une monnaie de base que vous pouvez gagner en complétant\ndes niveaux ou des missions."
LOADING_TEXT_CURRENCY_GOLD2,"Utilisez l'Or pour acheter des objets, améliorer des compétences\net profiter d'autres contenus!"
LOADING_TEXT_CURRENCY_GEM,"Un Cash-Point dans King's Raid.\nIls sont utilisés pour différentes sortes de contenus spéciaux, ne les gaspillez pas!"
LOADING_TEXT_CURRENCY_GEM2,"Maintenant disponible dans la Boutique Premium!"
LOADING_TEXT_CURRENCY_GEM3,"Vous pouvez gagner des Rubis comme récompense de connexion et d'accomplissement de missions!"
LOADING_TEXT_CURRENCY_STAMINA,"En fonction du niveau joué, une certaine quantité d'Endurance est\nconsommée quand vous jouez."
LOADING_TEXT_CURRENCY_STAMINA2,"L'Endurance consommée se recharge\n1 point par point au fil du temps."
LOADING_TEXT_CURRENCY_STAMINA3,"L'Endurance maximum augmente\nà mesure que l'équipe gagne des niveaux."
LOADING_TEXT_CURRENCY_SWORD,"Utilisé pour combattre d'autres joueurs dans l'\nArène! Se recharge automatiquement avec le temps."
LOADING_TITLE_HERO_CONTENT_HEROSETTING,"Comment former un Groupe?"
LOADING_TEXT_HERO_CONTENT_HEROSETTING,"Un groupe, jusqu'à quatre membres, est requis pour les batailles dans King's Raid.\nLes Héros de la ligne de front et de l'arrière sont choisis en se basant sur leur classe.\nLes Héros de même classe peuvent aussi rejoindre un groupe ensemble."
LOADING_TITLE_HERO_CONTENT_SKILL,"Compétences de Héros"
LOADING_TEXT_HERO_CONTENT_SKILL,"Tous les héros dans King's Raid peuvent apprendre quatre compétences."
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,"Améliorez votre Compétence!"
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Les compétences que vous avez apprises\npeuvent être améliorées pour devenir plus puissantes.\nDépensez de l'Or pour améliorer des compétences, selon le niveau de votre héros.\n"
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,"Obtenez de l'Équipement!"
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Équipez des pièces qui conviennent à la classe de votre héros.\nVos héros peuvent devenir plus puissants\n en équipant armes, armures, équipement secondaire et accessoires."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,"Type d'Equipement?"
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"Il y a 6 types d'armes: Grande Épées, Lances, Dagues, Arcs, Armes à feu et Baguettes magiques (sorciers et prêtres). Il y a aussi 3 différents types d'armure et d'équipement secondaire: Armure Lourde, Armure Légère et Robes."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,"Améliorez Équipement!"
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,"Utilisez divers composants pour améliorer les armes\nL'amélioration devient plus efficace\nlorsque des composants de plus haute qualité sont utilisés."
LOADING_TITLE_HERO_CONTENT_RUNETPYE,"Types de Rune"
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"Il y a trois types de runes:\nAttaque, Défense et Secondaire."
LOADING_TITLE_HERO_CONTENT_RUNE,"Effet d'une rune (dépend de la couleur)"
LOADING_TEXT_HERO_CONTENT_RUNE,"Les Runes Rouges d'Attaque peuvent seulement être équipées sur des Armes, les Runes Bleues de Défense peuvent seulement être équipées sur des Armures et les Runes Vertes Secondaires peuvent seulement être équipées sur l'Équipement Secondaire."
LOADING_TITLE_CONTENT_PARTYDUNGEON,"Donjon entre amis!"
LOADING_TEXT_CONTENT_PARTYDUNGEON,"Il y a des monstres stimulants dans les donjons de groupe.\nFormez un groupe avec vos amis et défiez-les.\nRappelez-vous, vous ne pouvez pas entrer dans un donjon sans groupe!"
LOADING_TITLE_CONTENT_HALLOFHEROES,"Place de l'Éveil"
LOADING_TEXT_CONTENT_HALLOFHEROES,"Le Hall des Héros est composé de la Chambre des Épreuves,\noù vous pouvez combattre les ténèbres et acquérir des composants pour l'Éveil, et la Chambre de Purification,\noù vous pouvez purifier les composants acquis pour les utiliser pour l'Éveil."
LOADING_TITLE_CONTENT_ROOMOFORDEAL,"Chambre des Épreuves"
LOADING_TEXT_CONTENT_ROOMOFORDEAL,"La Chambre des Épreuves est le seul endroit où vous pouvez acquérir l'Ombre Scellée,\nqui est requise pour éveiller vos héros."
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,"Portail de la Chambre des Épreuves descellé."
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,"Pour entrer dans la Chambre des Épreuves, vous avez besoin de collecter une certaine quantité de fragments de trois types pour chaque classe.\nUne fois que vous avez collecté suffisamment de fragments, brisez le Sceau! Une fois ouverte, la porte ne sera pas refermée tant que la Chambre des Épreuves n'est pas complétée."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,"Chambre de Purification"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,"Vous pouvez purifier votre Ombre Scellée dans la Chambre de Purification."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"Chambre de Purification, limite d'entrée."
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,"Les Héros qui ont acquis l'\nOmbre Scellée dans la Chambre des Épreuves peuvent entrer dans la Chambre de Purification."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,"Préparer purification"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,"Vous avez besoin de beaucoup d'Or pour purifier les ombres.\nCollectez suffisamment d'Or et essayez de Purifier."
LOADING_TITLE_CONTENT_CITY,"Orvel"
LOADING_TEXT_CONTENT_CITY,"En tant que capitale du Royaume d'Orvelia,\nOrvel offre diverses fonctionnalités et contenus pour les héros.\nMarchez dans la ville et expérimentez les différentes fonctionnalités à la Boutique, la Prison et l'Arène!"
LOADING_TITLE_CONTENT_SHOP,"Utilisez la Boutique!"
LOADING_TEXT_CONTENT_SHOP,"Il y a beaucoup d'objets vendus à la Boutique.\nArmes, armure, équipement secondaire, livres de compétence et fragments!"
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,"La Boutique est en rupture de stock?!"
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,"Quoi? Rupture de stock?\nNe vous inquiétez pas. Vous pouvez utiliser des Rubis en touchant le bouton Rafraîchir pour vérifier les nouveau articles immédiatement.\nN'oubliez pas de visiter la Boutique régulièrement pour vérifier la liste à jour,\nde moins d'une heure."
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,"Terrifiante Prison"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,"La Prison est un donjon où vous pouvez affronter de nouveaux monstres chaque jour.\nLe niveau des monstres varie avec le niveau de difficulté du donjon,\nsoyez donc bien préparé avant d'y entrer.\n"
