KEY,German
LOADING_TEXT_CURRENCY_GOLD,Die Grundwährung des Reiches. Kann durch die Erledigung\nvon Stufen und Missionen verdient werden.
LOADING_TEXT_CURRENCY_GOLD2,"Mit Gold kannst du Gegenstände, Skill-Upgrades\nund viel mehr kaufen!"
LOADING_TEXT_CURRENCY_GEM,Ein Cash-Punkt in King's Raid.\nDu kannst besondere Dinge damit kaufen!
LOADING_TEXT_CURRENCY_GEM2,Jetzt im Premium-Shop erhältlich!
LOADING_TEXT_CURRENCY_GEM3,Du kannst Rubine als Login-Belohnung und erfüllte Missionen erhalten!
LOADING_TEXT_CURRENCY_STAMINA,Abhängig von der Stufe wird dir eine gewisse Menge\nAusdauer pro Spiel abgezogen.
LOADING_TEXT_CURRENCY_STAMINA2,Die verbrauchte Ausdauer lädt sich um 1\nin gewissen Zeitabständen auf.
LOADING_TEXT_CURRENCY_STAMINA3,"Die maximale Ausdauer erhöht sich,\nwenn das Teamlevel sich erhöht."
LOADING_TEXT_CURRENCY_SWORD,Wird für den Kampf gegen andere Spieler\nin der Arena verwendet. Lädt sich automatisch mit der Zeit auf.
LOADING_TITLE_HERO_CONTENT_HEROSETTING,Wie erstellt man eine Gruppe?
LOADING_TEXT_HERO_CONTENT_HEROSETTING,Schlachten in King's Raid benötigen eine Gruppe von bis zu 4 Mitgliedern.\nDie Position der Helden wird von ihrer Klasse entschieden.\nHelden derselben Klasse können derselben Gruppe beitreten.
LOADING_TITLE_HERO_CONTENT_SKILL,Helden-Skills
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,Verstärke deinen Skill!
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Erlernte Skills können durch Verstärkung\nmächtiger werden. Benutze dein Gold,\n um deine Skills deinem Heldenlevel entsprechend zu verstärken."
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,Ausrüstung muss her!
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Rüste deinen Helden der Klasse entsprechend aus.\nDeine Helden können mithilfe von\nWaffen, Rüstungen, Sekundärausrüstung und Accessoires mächtiger werden."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,Art der Ausrüstung?
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"Es gibt 6 Arten von Waffen: Großschwerter, Speere, Dolche, Bögen, Gewehre und Zauberstäbe (Magier und Priester teilen diese). Und es gibt 3 unterschiedliche Rüstungsarten und Sekundäritem-Arten: Schwere- und Leichte Rüstungen und Roben."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,Ausrüstung verstärken!
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,"Benutze unterschiedliche Materialien, um Waffen zu verstärken.\nUpgrades werden effektiver, wenn\nMaterial höheren Ranges verwendet wird."
LOADING_TITLE_HERO_CONTENT_RUNETPYE,Runenarten
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"Es gibt 3 Runenarten:\nAngriff, Verteidigung und Sekundär."
LOADING_TITLE_HERO_CONTENT_RUNE,Runeneffekte (Abhängig von der Farbe)
LOADING_TEXT_HERO_CONTENT_RUNE,"Rote Angriffsrunen können nur an Waffen, Blaue Verteidigungsrunen nur an Rüstungen, und Grüne Sekundärrunen nur an Sekundärausrüstungen angebracht werden."
LOADING_TITLE_CONTENT_PARTYDUNGEON,Dungeons mit Freunden!
LOADING_TEXT_CONTENT_PARTYDUNGEON,In Gruppen-Dungeons erwarten dich starke Monster.\nErstelle eine Gruppe mit deinen Freunden und fordere die Monster heraus!\nDenk' daran: ohne eine Gruppe kannst du keine Dungeons betreten!
LOADING_TITLE_CONTENT_HALLOFHEROES,Ort der Erweckung
LOADING_TEXT_CONTENT_HALLOFHEROES,"Die Halle der Helden besteht aus dem Raum der Prüfungen,\nwo du die Dunkelheit bekämpfen und Material für die Erweckung erhalten kannst, und dem Raum der Reinigung,\nin dem du das Material reinigen und es für Erweckungen benutzen kannst."
LOADING_TITLE_CONTENT_ROOMOFORDEAL,Raum der Prüfungen
LOADING_TEXT_CONTENT_ROOMOFORDEAL,"Der Raum der Prüfungen ist der einzige Ort, in dem du die versiegelte Dunkelheit\nerhalten kannst. Du brauchst diese, um deine Helden zu erwecken."
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,Das Tor zum Raum der Prüfungen öffnen
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,"Um den Raum der Prüfungen zu betreten, musst du eine gewisse Anzahl von 3 Fragment-Arten für jede Klasse sammeln.\nSobald du genug Fragmente hast, kannst du das Siegel brechen! Ein geöffnetes Tor bleibt offen, bis die Prüfung abgeschlossen ist."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,Raum der Reinigung
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,Hier kannst du die Versiegelte Dunkelheit reinigen.
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"Raum der Reinigung, Eintrittsbedingung"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,"Helden, die im im Besitz einer\nVersiegelten Dunkelheit sind, können den Raum der Reinigung betreten."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,Vorbereitung zur Reinigung
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,"Du brauchst viel Gold, um die Dunkelheit zu reinigen.\nSammle genügend Gold und mach' dich an die Arbeit!"
LOADING_TITLE_CONTENT_CITY,Orvel
LOADING_TEXT_CONTENT_CITY,"Als die Hauptstadt des Orvelia-Königreichs,\nbietet Orvel verschiedene Funktionen und Dienstleistungen an.\nLauf durch die Stadt und erlebe, was die Stadt zu bieten hat - Läden, ein Kerker und eine Arena!"
LOADING_TITLE_CONTENT_SHOP,Benutze den !
LOADING_TEXT_CONTENT_SHOP,"In den Läden gibt es zahlreiche Gegenstände im Angebot.\nWaffen, Rüstungen, Sekundärausrüstung, Skill-Bücher und Fragmente!"
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,Der Shop ist leergeräumt?!
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,"Wie? Ausverkauft?\nKeine Sorge. Du kannst Rubine benutzen, um via der Aktualisieren-Taste das Angebot sofort aufzufrischen.\nVergiss nicht, regelmäßig die Läden zu besuchen-\ndie Angebote werden jede Stunde aktualisiert."
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,Gruseliger Kerker
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,Dungeons mit Freunden!
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON_REWARD,Kerker-Belohnung
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON_REWARD,"Du kannst mehr Skill-Bücher erhalten,\nindem du den Kerker klärst."
LOADING_TEXT_HERO_INTRO_TITLE1,Krieger des Heiligen Schwertes\nKasel
LOADING_TEXT_HERO_INTRO_COMMENT1,"Vorrücken! Aus dem Weg!\nOder.. wir werden alles niedermetzeln, was uns im Weg steht!"
LOADING_TEXT_HERO_INTRO_TITLE2,Priesterin des Lichts\nFrey
LOADING_TEXT_HERO_INTRO_COMMENT2,Auf keinen Fall! Das Leben ist ein Segen.\nIch werde sie vor dem\nDunklen Lord beschützen!
LOADING_TEXT_HERO_INTRO_TITLE3,Zauberin des Fegefeuers\nCleo
LOADING_TEXT_HERO_INTRO_COMMENT3,"Geh' zur Seite, Kasel. Ich brenn' sie mit meinem Feuer nieder."
LOADING_TEXT_HERO_INTRO_TITLE4,Der flinke Assassine\nRoi
LOADING_TEXT_HERO_INTRO_COMMENT4,Ich tu' nur meine Arbeit.
LOADING_TEXT_HERO_INTRO_TITLE5,Barbar der gefrorenen Länder\nGau
LOADING_TEXT_HERO_INTRO_COMMENT5,"Wenn wir schon dabei sind,\nkann ich deine Fähigkeiten zur Probe stellen?"
LOADING_TEXT_HERO_INTRO_TITLE6,Der Zwergenkönig\nPhillop
LOADING_TEXT_HERO_INTRO_TITLE7,Jäger mit der Handkanone\nLakrak
LOADING_TEXT_HERO_INTRO_COMMENT7,"Du willst also kämpfen, häh? Kekeke.\nIch bin nicht wie die anderen Goblins...\nDann trau dich!"
LOADING_TEXT_HERO_INTRO_TITLE8,Der Blitzschamane\nKaulah
LOADING_TEXT_HERO_INTRO_COMMENT8,"Argh.. Ich werde hier nicht sterben!\nNiemals werde ich mein Stamm aufgeben!\nGeister, gebt mir Kraft!"
LOADING_TEXT_HERO_INTRO_TITLE9,Bezauberndes Dämon\nEpis
LOADING_TEXT_HERO_INTRO_COMMENT9,"Hehe, du siehst so lecker aus!\nIch kann es kaum erwarten, dich in Stücke zu hacken."
LOADING_TEXT_HERO_INTRO_TITLE10,Windschneide-Pfeil\nSelene
LOADING_TEXT_HERO_INTRO_COMMENT10,"Zieh dein Schwert.\nWir sind die Waldelfen.\nWir sind nicht so feige, dass wir Unbewaffneten in den Rücken schießen würden."
LOADING_TEXT_HERO_INTRO_TITLE11,Gefallene Hexe\nMaria
LOADING_TEXT_HERO_INTRO_TITLE12,Verfluchte Piratenkaiserin\nMiruru
LOADING_TEXT_HERO_INTRO_TITLE13,Großgelehrte Elidoras\nLorraine
LOADING_TEXT_HERO_INTRO_TITLE14,Tapferer Bestienmeister\nMaya
LOADING_TEXT_HERO_INTRO_TITLE15,Ritter der eisernen Verteidigung\nClause
LOADING_TEXT_HERO_INTRO_COMMENT15,"Gut gesagt, Kasel. Ich werde euch alle beschützen!"
LOADING_TEXT_HERO_INTRO_TITLE16,Geistiger Führer\nRephy
LOADING_TEXT_HERO_INTRO_TITLE17,Schattenjäger\nDimael
LOADING_TEXT_HERO_INTRO_TITLE18,Der Blitz\nReina
LOADING_TEXT_HERO_INTRO_TITLE19,Eisdrachen-Magier\nPavel
LOADING_TEXT_HERO_INTRO_TITLE20,Festung aus Stahl\nDemia
LOADING_TEXT_HERO_INTRO_TITLE21,Kämpfer des Windes\nNaila
LOADING_TEXT_HERO_INTRO_TITLE22,Scharfschütze des Blizzards\nRodina
LOADING_TEXT_HERO_INTRO_TITLE23,Teufels Flamme\nMorrah
LOADING_TEXT_HERO_INTRO_TITLE24,Heiliger Grobian\nBaudouin
LOADING_TEXT_HERO_INTRO_TITLE25,Alabaster-Leiche\nJane
LOADING_TEXT_HERO_INTRO_TITLE26,Violette Prinzessin\nAisha
LOADING_TEXT_HERO_INTRO_TITLE27,Ewiger Schreiber\nLeo
LOADING_TEXT_HERO_INTRO_TITLE28,Flatternde Klinge\nFluss
LOADING_TEXT_HERO_INTRO_TITLE29,Kind des Mondlichts\nLuna
LOADING_TEXT_HERO_INTRO_TITLE30,Heilige Wasserpriesterin\nLaias
LOADING_TEXT_HERO_INTRO_TITLE31,Pfeil der Reinheit\nArch
LOADING_TEXT_HERO_INTRO_TITLE3_TEMPORARILY1,Zauberin des Fegefeuers
LOADING_TEXT_HERO_INTRO_TITLE3_TEMPORARILY2,Cleo
LOADING_TEXT_HERO_INTRO_TITLE32,Königsblut\nLewisia
LOADING_TEXT_HERO_INTRO_TITLE33,Dimensionsschneider\nNyx
LOADING_TEXT_HERO_INTRO_TITLE34,Königliche Technomagierin\nAnnette
LOADING_TEXT_HERO_INTRO_TITLE35,Der silberne Schlachtwolf\nMitra
LOADING_TEXT_HERO_INTRO_TITLE36,Luas Richter\nRicardo
LOADING_TEXT_HERO_INTRO_TITLE37,Die Klinge der Stille\nTanya
LOADING_TEXT_HERO_INTRO_TITLE38,Verfluchtes Blut\nEzekiel
LOADING_TEXT_HERO_INTRO_TITLE39,Cassandra\n der verführerischen Winde
LOADING_TEXT_HERO_INTRO_TITLE40,Königsritter\nTheo
LOADING_TEXT_HERO_INTRO_TITLE41,Gefährlicher Doktor\nMediana
LOADING_TEXT_HERO_INTRO_TITLE42,"Oddy,\nUhrenmacher des ewigen Lebens"
LOADING_TEXT_HERO_INTRO_TITLE43,Dämonenverschlinger\nViska
LOADING_TEXT_HERO_INTRO_TITLE44,Zofe aus Stahl\nPriscilla
LOADING_TEXT_HERO_INTRO_TITLE45,Drachenschlächterin\nYanne
LOADING_TEXT_HERO_INTRO_TITLE46,Prinz der Sandstürme\nZafir
LOADING_TEXT_HERO_INTRO_TITLE47,Mysteriöse Schneiderin\nYuria
LOADING_TEXT_HERO_INTRO_TITLE49,Schicksals-Wegfinderin\nOphelia
LOADING_TEXT_HERO_INTRO_TITLE50,Gifthändlerin\nRequina
LOADING_TEXT_HERO_INTRO_TITLE51,Wächterin der Sonne\nAselica
LOADING_TEXT_HERO_INTRO_TITLE52,Die strafende Kugel\nCrow
LOADING_TEXT_HERO_INTRO_TITLE53,Das Gefäß der Flüche\nShamilla
LOADING_TEXT_HERO_INTRO_TITLE54,Niedlicher Böser Geist\nLavril
LOADING_TEXT_HERO_INTRO_TITLE55,Schatten des Abgrunds\nSeria
LOADING_TEXT_HERO_INTRO_TITLE56,Endloser Durst\nErze
LOADING_TEXT_HERO_INTRO_TITLE57,Die Tochter von Sturm und See\nLilia
LOADING_TEXT_HERO_INTRO_TITLE58,Tänzerin der Oase\nLaudia
LOADING_TEXT_HERO_INTRO_TITLE59,Heiliger des Segens\nLucias
LOADING_TEXT_HERO_INTRO_TITLE60,Inquisitorin von Blut und Eisen\nChrisha
LOADING_TEXT_HERO_INTRO_TITLE61,Obsidian Arroganz\nNeraxis
LOADING_TEXT_HERO_INTRO_TITLE62,Hoffnungsschimmer\nScarlet
LOADING_TEXT_HERO_INTRO_TITLE63,Blauer Orkan\nSonia
LOADING_TEXT_HERO_INTRO_TITLE64,Herrscherin des Lichts\nArtemia
LOADING_TEXT_HERO_INTRO_TITLE65,Zofe der Blauen\nMirianne
LOADING_TEXT_HERO_INTRO_TITLE66,Arie der Fantasie\nShea
LOADING_TEXT_HERO_INTRO_TITLE67,Der Inbegriff antiker Technomagie\nKara
LOADING_TEXT_HERO_INTRO_TITLE68,Dunkelheit verschlingenden Augen\nNia
LOADING_TEXT_HERO_INTRO_TITLE69,Der Illusionsspieler\nEsker
LOADING_TEXT_HERO_INTRO_TITLE70,Roter Wind der Gerechtigkeit\nCecilia
LOADING_TEXT_HERO_INTRO_TITLE71,Kristallpurpure Katzenfrau\nKirze
