KEY,"German"
LOADING_TEXT_CURRENCY_GOLD,"Die Grundwährung des Reiches. Kann durch die Erledigung\nvon Stufen und Missionen verdient werden."
LOADING_TEXT_CURRENCY_GOLD2,"Mit Gold kannst du Items, Skill-Upgrades\nund viel mehr kaufen!"
LOADING_TEXT_CURRENCY_GEM,"Ein Cash-Punkt in King's Raid.\nDu kannst besondere Dinge damit kaufen!"
LOADING_TEXT_CURRENCY_GEM2,"Jetzt im Premium-Shop erhältlich!"
LOADING_TEXT_CURRENCY_GEM3,"Du kannst Rubine als Login-Belohnung und erfüllte Missionen erhalten!"
LOADING_TEXT_CURRENCY_STAMINA,"Abhängig von der Stufe wird dir eine gewisse Menge\nAusdauer pro Spiel abgezogen."
LOADING_TEXT_CURRENCY_STAMINA2,"Die verbrauchte Ausdauer lädt sich um 1\nin gewissen Zeitabständen auf."
LOADING_TEXT_CURRENCY_STAMINA3,"Die maximale Ausdauer erhöht sich,\nwenn das Teamlevel sich erhöht."
LOADING_TEXT_CURRENCY_SWORD,"Wird für den Kampf gegen andere Spieler\nin der Arena verwendet. Lädt sich automatisch mit der Zeit auf."
LOADING_TITLE_HERO_CONTENT_HEROSETTING,"Wie erstellt man eine Gruppe?"
LOADING_TEXT_HERO_CONTENT_HEROSETTING,"Schlachten in King's Raid benötigen eine Gruppe von bis zu 4 Mitgliedern.\nDie Position der Helden wird von ihrer Klasse entschieden.\nHelden derselben Klasse können derselben Gruppe beitreten."
LOADING_TITLE_HERO_CONTENT_SKILL,"Helden-Skills"
LOADING_TEXT_HERO_CONTENT_SKILL,"Alle Helden in King's Raid können 4 Skills erlernen."
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,"Verstärke deinen Skill!"
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Erlernte Skills können durch Verstärkung\nmächtiger werden. Benutze dein Gold,\n um deine Skills deinem Heldenlevel entsprechend zu verstärken."
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,"Ausrüstung muss her!"
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Rüste deinen Helden der Klasse entsprechend aus.\nDeine Helden können mithilfe von\nWaffen, Rüstungen, Sekundärausrüstung und Accessoires mächtiger werden."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,"Art der Ausrüstung?"
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"Es gibt 6 Arten von Waffen: Großschwerter, Speere, Dolche, Bögen, Gewehre und Zauberstäbe (Magier und Priester teilen diese). Und es gibt 3 unterschiedliche Rüstungsarten und Sekundäritem-Arten: Schwere- und Leichte Rüstungen und Roben."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,"Ausrüstung verstärken!"
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,"Benutze unterschiedliche Materialien, um Waffen zu verstärken.\nUpgrades werden effektiver, wenn\nMaterial höheren Ranges verwendet wird."
LOADING_TITLE_HERO_CONTENT_RUNETPYE,"Runenarten"
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"Es gibt 3 Runenarten:\nAngriff, Verteidigung und Sekundär."
LOADING_TITLE_HERO_CONTENT_RUNE,"Runeneffekte (Abhängig von der Farbe)"
LOADING_TEXT_HERO_CONTENT_RUNE,"Rote Angriffsrunen können nur an Waffen, Blaue Verteidigungsrunen nur an Rüstungen, und Grüne Sekundärrunen nur an Sekundärausrüstungen angebracht werden."
LOADING_TITLE_CONTENT_PARTYDUNGEON,"Dungeons mit Freunden!"
LOADING_TEXT_CONTENT_PARTYDUNGEON,"In Gruppen-Dungeons erwarten dich starke Monster.\nErstelle eine Gruppe mit deinen Freunden und fordere die Monster heraus!\nDenk' daran: ohne eine Gruppe kannst du keine Dungeons betreten!"
LOADING_TITLE_CONTENT_HALLOFHEROES,"Ort der Erweckung"
LOADING_TEXT_CONTENT_HALLOFHEROES,"Die Halle der Helden besteht aus dem Raum der Prüfungen,\nwo du die Dunkelheit bekämpfen und Material für die Erweckung erhalten kannst, und dem Raum der Reinigung,\nin dem du das Material reinigen und es für Erweckungen benutzen kannst."
LOADING_TITLE_CONTENT_ROOMOFORDEAL,"Raum der Prüfungen"
LOADING_TEXT_CONTENT_ROOMOFORDEAL,"Der Raum der Prüfungen ist der einzige Ort, in dem du die versiegelte Dunkelheit\nerhalten kannst. Du brauchst diese, um deine Helden zu erwecken."
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,"Das Tor zum Raum der Prüfungen öffnen"
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,"Um den Raum der Prüfungen zu betreten, musst du eine gewisse Anzahl von 3 Fragment-Arten für jede Klasse sammeln.\nSobald du genug Fragmente hast, kannst du das Siegel brechen! Ein geöffnetes Tor bleibt offen, bis die Prüfung abgeschlossen ist."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,"Raum der Reinigung"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,"Hier kannst du die Versiegelte Dunkelheit reinigen."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"Raum der Reinigung, Eintrittsbedingung"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,"Helden, die im im Besitz einer\nVersiegelten Dunkelheit sind, können den Raum der Reinigung betreten."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,"Vorbereitung zur Reinigung"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,"Du brauchst viel Gold, um die Dunkelheit zu reinigen.\nSammle genügend Gold und mach' dich an die Arbeit!"
LOADING_TITLE_CONTENT_CITY,"Orvel"
LOADING_TEXT_CONTENT_CITY,"Als die Hauptstadt des Orvelia-Königreichs,\nbietet Orvel verschiedene Funktionen und Dienstleistungen an.\nLauf durch die Stadt und erlebe, was die Stadt zu bieten hat - Läden, ein Kerker und eine Arena!"
LOADING_TITLE_CONTENT_SHOP,"Benutze den !"
LOADING_TEXT_CONTENT_SHOP,"In den Läden gibt es zahlreiche Items im Angebot.\nWaffen, Rüstungen, Sekundärausrüstung, Skill-Bücher und Fragmente!"
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,"Der Shop ist leergeräumt?!"
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,"Wie? Ausverkauft?\nKeine Sorge. Du kannst Rubine benutzen, um via der Aktualisieren-Taste das Angebot sofort aufzufrischen.\nVergiss nicht, regelmäßig die Läden zu besuchen-\ndie Angebote werden jede Stunde aktualisiert."
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,"Gruseliger Kerker"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,"Dungeons mit Freunden!"
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON_REWARD,"Kerker-Belohnung"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON_REWARD,"Du kannst mehr Skill-Bücher erhalten,\nindem du den Kerker klärst."
LOADING_TEXT_HERO_INTRO_TITLE1,"Krieger des Heiligen Schwertes\nKasel"
LOADING_TEXT_HERO_INTRO_COMMENT1,"Vorrücken! Aus dem Weg!\nOder.. wir werden alles niedermetzeln, was uns im Weg steht!"
