KEY,Japanese
LOADING_TEXT_CURRENCY_GOLD,ステージプレイやミッションクリアなどで\n獲得できる基本的な財貨です。
LOADING_TEXT_CURRENCY_GOLD2,アイテムの購入やスキルの成長など\n様々な用途に使います！
LOADING_TEXT_CURRENCY_GEM,King's Raidにおける希少な財貨です。\n多くの特別コンテンツに使われるので、大事に使いましょう！
LOADING_TEXT_CURRENCY_GEM2,プレミアショップで絶賛発売中！
LOADING_TEXT_CURRENCY_GEM3,ログインやミッション報酬で獲得できます。
LOADING_TEXT_CURRENCY_STAMINA,ステージをプレイするときは\n一定量のスタミナを消費します。
LOADING_TEXT_CURRENCY_STAMINA2,消費したスタミナは、一定時間が経つと\n１ポイントずつ回復されます。
LOADING_TEXT_CURRENCY_STAMINA3,スタミナのMAX量は、チームのレベルが上がると\n一定量増加します。
LOADING_TEXT_CURRENCY_SWORD,決闘場で他のユーザと対戦するときに必要な財貨です！\n時間が経つと自動で回復されます。
LOADING_TITLE_HERO_CONTENT_HEROSETTING,パーティ設定について
LOADING_TEXT_HERO_CONTENT_HEROSETTING,King's Raidでは、最大４人の英雄でパーティを組んでバトルを行います。\n英雄のクラスに合わせて前衛と後衛が決定されます。\n同一クラスを複数入れてパーティを組むこともできます。
LOADING_TITLE_HERO_CONTENT_SKILL,英雄のスキル
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,スキルを強化せよ！
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,習得したスキルは、より強力なスキルへと\n強化させることが可能です。\nゴールドを使って、英雄のレベルに合う\nスキルへと強化しましょう。
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,装備を整えよう！
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,英雄のクラスに合う装備を装着させてください。\n武器や防具、補助装備と装身具を装着されることで\n英雄をより強くすることができます。
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,装備の種類について
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,武器には、大剣、槍、短剣、弓、銃、杖の６タイプがあります(杖は、ウィザードとプリーストのみ使用可能)。防具や補助装備は、重鎧、軽鎧、ローブの３タイプに分かれています。
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,装備の強化について
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,様々な素材を使って、武器を強化しましょう。\nより高いランクの素材を使うほど\nより効率良く強化することができます。
LOADING_TITLE_HERO_CONTENT_RUNETPYE,ルーンの種類について
LOADING_TEXT_HERO_CONTENT_RUNETPYE,ルーンは、攻撃型、防御型、補助型の\n３つの特性に分かれています。
LOADING_TITLE_HERO_CONTENT_RUNE,ルーンの色と効果について
LOADING_TEXT_HERO_CONTENT_RUNE,攻撃型の赤ルーンは、武器専用となります。また、防御型の青ルーンは防具専用であり、補助型の緑ルーンは補助装備専用となり、それぞれの専用装備にしか装着できません。
LOADING_TITLE_CONTENT_PARTYDUNGEON,友だちと一緒にダンジョンチャレンジ！
LOADING_TEXT_CONTENT_PARTYDUNGEON,パーティダンジョンからは、かなり強力なモンスターが登場します。\n友だちと一緒にパーティを組んでチャレンジしましょう！\nパーティを組んでない状態では、ダンジョンへ入場できません。
LOADING_TITLE_CONTENT_HALLOFHEROES,覚醒できる場所について
LOADING_TEXT_CONTENT_HALLOFHEROES,「英雄の殿堂」は、英雄の内面に存在する闇を\n倒すことで覚醒に必要な素材を獲得できる「試練の部屋」と、試練の部屋で獲得した素材を浄化し\n覚醒させるための「浄化の部屋」で構成されています。
LOADING_TITLE_CONTENT_ROOMOFORDEAL,試練の部屋
LOADING_TEXT_CONTENT_ROOMOFORDEAL,「試練の部屋」は、英雄を覚醒させるための\n「封印された闇」が手に入る唯一の場所です。
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,試練の部屋に入るには？
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,試練の部屋に入るには、各クラスごとに必要な\n３種類の欠片を集める必要があります。 必要な分の欠片が集まったら、封印を解除してください！一度封印が解除されたら、試練の部屋をクリアするまでは扉が閉まりません。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,浄化の部屋
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,「浄化の部屋」は、「封印された闇」を浄化するための場所です。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,浄化の部屋に入るには？
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,試練の部屋をクリアし、「封印された闇」を手に入れた\n英雄なら、浄化の部屋に入ることができます。
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,浄化するには？
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,浄化には、大量のゴールドが必要になります。\n十分にゴールドを集めてから、浄化を始めましょう。
LOADING_TITLE_CONTENT_CITY,首都オルベル
LOADING_TEXT_CONTENT_CITY,オルベルリア王国の首都、オルベルは\n英雄に必要な機能やコンテンツを提供しています。タウンのあちこちを回り、\nショップや地下監獄、決闘場など\n様々な機能やコンテンツを楽しんでください！
LOADING_TITLE_CONTENT_SHOP,ショップを利用しよう
LOADING_TEXT_CONTENT_SHOP,ショップには、様々なモノが用意されています。\n武器や防具、補助装備はもちろん、技術の書や欠片まで！
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,品切れについて
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,買い物をたくさんしていたら、品切れになってしまった…\nなんていうときも、心配いりません！ルビーを使って、[リスト更新]ボタンをタップすると、\nリストがすぐに更新され、新しいモノが購入できるように！\nさらに、時間ごとに更新されるショップのリストも\nマメにチェックしましょう。
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,地下監獄について
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,地下監獄は、曜日ごとにモンスターが変わる\nダンジョンです。難易度によって、より強力なモンスターに\n会うことができるので、しっかりと準備をしてから\n戦闘に挑んでください。
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON_REWARD,地下監獄の報酬について
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON_REWARD,地下ダンジョンをクリアすると\nより多くの「技術の書」を手に入れることができます。
LOADING_TEXT_HERO_INTRO_TITLE1,聖剣の戦士\nカーセル
LOADING_TEXT_HERO_INTRO_COMMENT1,よし、行くぞ！\n立ちはだかるものは…どんなヤツでも切り払ってやる！
LOADING_TEXT_HERO_INTRO_TITLE2,光の神官\nフレイ
LOADING_TEXT_HERO_INTRO_COMMENT2,生きていること自体が祝福なのよ！\n魔王の手から彼らを守りましょう！
LOADING_TEXT_HERO_INTRO_TITLE3,煉獄の魔法師\nクレオ
LOADING_TEXT_HERO_INTRO_COMMENT3,どきなさい、カーセル。そいつらは私が燃やしてやるわ。
LOADING_TEXT_HERO_INTRO_TITLE4,素早きアサシン\nロイ
LOADING_TEXT_HERO_INTRO_COMMENT4,俺はやるべきことをしてるだけだ。
LOADING_TEXT_HERO_INTRO_TITLE5,凍てつく大地の蛮族\nガウ
LOADING_TEXT_HERO_INTRO_COMMENT5,とりあえず、\n力を見せてくれや。
LOADING_TEXT_HERO_INTRO_TITLE6,ドワーフの王\nピルロップ
LOADING_TEXT_HERO_INTRO_TITLE7,大砲持ちの狩人\nラクラック
LOADING_TEXT_HERO_INTRO_COMMENT7,ほんとにやるギャ？ \nククッ、俺はただのゴブリンとは違うギャ！\nさあ、かかってくるギャ！
LOADING_TEXT_HERO_INTRO_TITLE8,稲妻のまじない師\nカウラ
LOADING_TEXT_HERO_INTRO_COMMENT8,まだここで倒れるわけにはいかない。\n導くべき部族があるのだから！\n精霊よ、私に力を与えたまえ！
LOADING_TEXT_HERO_INTRO_TITLE9,魅惑の魔族\nエピス
LOADING_TEXT_HERO_INTRO_COMMENT9,あなた、おいしそうねぇ。\n細切れにしたくてたまらないわ！
LOADING_TEXT_HERO_INTRO_TITLE10,風を貫く矢\nセレネ
