KEY,"Korean"
LOADING_TEXT_CURRENCY_GOLD,"스테이지 플레이 및 미션 클리어 등으로\n얻을 수 있는 기본 화폐입니다."
LOADING_TEXT_CURRENCY_GOLD2,"상품 구입 및 스킬의 성장 등\n각종 컨텐츠 이용에 필요해요!"
LOADING_TEXT_CURRENCY_GEM,"킹스레이드의 캐시포인트 입니다.\n각종 특수 컨텐츠에 사용되니, 아껴쓰세요!"
LOADING_TEXT_CURRENCY_GEM2,"프리미엄 상점에서 절찬 판매 중!"
LOADING_TEXT_CURRENCY_GEM3,"출석 및 각종 미션 보상으로 얻을 수 있어요!"
LOADING_TEXT_CURRENCY_STAMINA,"스테이지에 따라 플레이 시\n일정량의 스태미너가 소모됩니다."
LOADING_TEXT_CURRENCY_STAMINA2,"소모된 스태미너는 일정시간이 흐르면\n1포인트씩 충전됩니다."
LOADING_TEXT_CURRENCY_STAMINA3,"스태미너의 최대량은 팀 레벨이 상승 되면\n일정량씩 증가합니다."
LOADING_TEXT_CURRENCY_SWORD,"결투장에서 타 유저와 대전할 때 쓰이는 자원이에요!\n시간이 흐르면 자동으로 채워져요!"
LOADING_TITLE_HERO_CONTENT_HEROSETTING,"파티 설정은 어떻게?"
LOADING_TEXT_HERO_CONTENT_HEROSETTING,"킹스레이드는 최대 네 명의 영웅으로 이루어진 파티로 전투를 진행합니다. 영웅의 클래스에 맞게 전위와\n후위가 결정되며, 클래스가\n중복되어도 파티를 짤 수 있습니다."
LOADING_TITLE_HERO_CONTENT_SKILL,"영웅이 가진 스킬"
LOADING_TEXT_HERO_CONTENT_SKILL,"킹스레이드의 영웅들은 모두 네 가지의 스킬을 배울 수 있습니다."
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,"스킬을 강화하라!"
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"습득한 스킬은 더욱 강력한 스킬로\n강화 할 수 있습니다.\n골드를 사용하여 영웅의 레벨에 맞게\n스킬을 강화해보세요."
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,"장비를 갖추자!"
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"클래스에 맞는 장비를 장착시켜보세요.\n무기와 방어구, 보조장비와 장신구를 장착하면\n더욱 강해진 영웅을 만날 수 있습니다."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,"장비의 종류는?"
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"무기는 대검, 창, 단검, 활, 총, 마법봉 등 6가지로 구성되어 있고(마법사와 사제는 상호호환), 방어구와 보조장비는 중갑, 경갑, 로브 등 3가지로 구성되어 있습니다."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,"장비 강화!"
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,"다양한 재료를 사용하여 무기를 강화하세요.\n높은 등급의 재료를 사용할수록\n더 높은 효율의 강화가 가능합니다."
