KEY,"Portuguese"
LOADING_TEXT_CURRENCY_GOLD,"Uma moeda básica que você pode ganhar ao concluir\nfases ou missões."
LOADING_TEXT_CURRENCY_GOLD2,"Use ouro para comprar itens, atualizar poderes\ne aproveitar vários conteúdos!"
LOADING_TEXT_CURRENCY_GEM,"Um ponto de dinheiro em King's Raid.\nÉ usado para vários tipos de conteúdo especial, então não desperdice!"
LOADING_TEXT_CURRENCY_GEM2,"Agora disponível na Loja Premium!"
LOADING_TEXT_CURRENCY_GEM3,"Você pode ganhar rubis como uma recompensa por fazer login e completar missões!"
LOADING_TEXT_CURRENCY_STAMINA,"Dependendo da fase, uma certa quantidade de energia é\n consumida enquanto você joga."
LOADING_TEXT_CURRENCY_STAMINA2,"A energia consumida é recarregada em\n1 ponto ao longo do tempo."
LOADING_TEXT_CURRENCY_STAMINA3,"A energia máxima aumenta \nà medida que a equipe cresce."
LOADING_TEXT_CURRENCY_SWORD,"Usado para lutar contra outros jogadores na\nArena! É recarregado automaticamente ao longo do tempo."
LOADING_TITLE_HERO_CONTENT_HEROSETTING,"Como formar uma equipe?"
LOADING_TEXT_HERO_CONTENT_HEROSETTING,"Um grupo de até quatro membros é necessário para as batalhas em King's Raid. \nHeróis da linha de frente e retaguarda são decididos com base na classe do herói.\nHeróis da mesma classe também pode participar de uma equipe juntos."
LOADING_TITLE_HERO_CONTENT_SKILL,"Poderes dos heróis"
LOADING_TEXT_HERO_CONTENT_SKILL,"Todos os heróis de King's Raid podem aprender quatro poderes."
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,"Melhore seus poderes!"
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Os poderes que você aprendeu podem ser realçadas para se tornarem mais poderosas.\nGaste ouro para realçar poderes de acordo com o nível do seu herói.\n"
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,"Adquira equipamentos!"
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Use equipamentos que se adaptem à classe do seu herói.\nSeus heróis podem se tornar mais poderosos ao equipar armas, armaduras, equipamentos secundários e acessórios."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,"Tipo de equipamento?"
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"Existem 6 tipos de armas: Montantes, Lanças, Punhais, Arcos, Pistolas e Varinhas (magos e sacerdotes usam armas semelhantes). E existem 3 tipos diferentes de armaduras e equipamentos secundários: Armadura pesada, Armadura leve e Mantos."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,"Melhore o equipamento!"
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,"Utilize vários materiais para atualizar as armas.\nA atualização torna-se mais eficaz\nquando os materiais com níveis mais altos são usados."
LOADING_TITLE_HERO_CONTENT_RUNETPYE,"Tipos de Runa"
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"Existem três tipos de runas:\nAtaque, Defesa and Secundária."
LOADING_TITLE_HERO_CONTENT_RUNE,"Efeito da runa (depende da cor)"
LOADING_TEXT_HERO_CONTENT_RUNE,"As Runas de Ataque Vermelho só podem ser equipadas em armas, as Runas de Defesa Azul só podem ser equipadas em armaduras, e as Runas Secundárias Verdes só podem ser equipadas com equipamentos secundários."
LOADING_TITLE_CONTENT_PARTYDUNGEON,"Masmorra com amigos!"
LOADING_TEXT_CONTENT_PARTYDUNGEON,"Há monstros desafiadores nas masmorras de equipe.\nForme uma equipe com seus amigos e os desafie.\nNão esqueça: você não pode entrar na masmorra sem uma equipe!"
LOADING_TITLE_CONTENT_HALLOFHEROES,"Local de Despertar"
LOADING_TEXT_CONTENT_HALLOFHEROES,"O Salão dos Heróis é composto pela Sala das Provações, onde você pode lutar contra a escuridão e adquirir materiais para despertar, e a Sala da Purificação, onde você pode purificar os materiais adquiridos para usá-los para despertar."
LOADING_TITLE_CONTENT_ROOMOFORDEAL,"Sala das Provações"
LOADING_TEXT_CONTENT_ROOMOFORDEAL,"A sala das Provações é o único lugar onde você pode adquirir a Escuridão Selada,\nque é necessária para despertar seus heróis."
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,"Portão destrancado da Sala das Provações"
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,"Para entrar na Sala das Provações, você precisa coletar um certo número de fragmentos de três tipos para cada classe.\nDepois de ter coletado fragmentos suficientes, quebre o lacre! Uma vez aberto, a porta não será fechada até que a Sala das Provações seja concluída."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,"Sala da Purificação"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,"Você pode purificar sua Escuridão Selada na Sala da Purificação."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"Sala da Purificação, limite de entrada"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,"Os heróis que adquiriram a escuridão selada na Sala das Provações podem entrar na Sala da Purificação."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,"Preparar a purificação"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,"Você precisa de muito ouro para purificar a escuridão. Colete mais ouro e tente purificar."
LOADING_TITLE_CONTENT_CITY,"Orvel"
LOADING_TEXT_CONTENT_CITY,"Como a capital do Reino de Orvelia,\nOrvel oferece vários recursos e conteúdos para herois.\nPasseie pela cidade e experimente vários recursos e conteúdos na Loja, Estacada e Arena!"
LOADING_TITLE_CONTENT_SHOP,"Use a loja!"
LOADING_TEXT_CONTENT_SHOP,"Muitos itens são vendidos na loja.\nArmas, armaduras, equipamentos secundários, grimórios e fragmentos!"
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,"A loja está sem estoque?!"
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,"O quê? Fora de estoque?\nNão se preocupe. Você pode usar Rubis tocando no botão Atualizar para verificar novos produtos imediatamente. \nNão se esqueça de visitar a loja regularmente para verificar a lista atualizada,\natualizada a cada hora."
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,"Estacada assustadora"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,"A estacada é uma masmorra onde você pode lutar contra novos monstros todos os dias.\nO nível de monstros varia de acordo com o nível de dificuldade da masmorra,\nentão esteja bem preparado antes de entrar em uma.\n"
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON_REWARD,"Recompensa da Estacada"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON_REWARD,"Você pode coletar mais grimórios\nconcluindo as estacadas."
LOADING_TEXT_HERO_INTRO_TITLE1,"Guerreiro da Espada Sagrada\nKasel"
LOADING_TEXT_HERO_INTRO_COMMENT1,"Anda! Temos que ir! \nOu... ficamos e acabamos com o que atravessar o nosso caminho!"
LOADING_TEXT_HERO_INTRO_TITLE2,"Sacerdotisa da luz\nFrey"
LOADING_TEXT_HERO_INTRO_COMMENT2,"De jeito nenhum! Estar vivo é uma bênção.\nEu não vou permitir que o Lorde das Trevas faça algum mal a eles!"
LOADING_TEXT_HERO_INTRO_TITLE3,"Feiticeira do Purgatório\nCleo"
LOADING_TEXT_HERO_INTRO_COMMENT3,"Fique de lado. Kasel. Eu os queimarei com minha chama."
LOADING_TEXT_HERO_INTRO_TITLE4,"Assassino Rápido\nRoi"
LOADING_TEXT_HERO_INTRO_COMMENT4,"Eu apenas estou fazendo meu trabalho."
LOADING_TEXT_HERO_INTRO_TITLE5,"Bárbaro das Terras Gélidas\nGau"
LOADING_TEXT_HERO_INTRO_COMMENT5,"Falando nisso,\nposso testar sua capacidade?"
