KEY,Russian
LOADING_TEXT_CURRENCY_GOLD,"Базовая валюта, которую можно\nзаработать во время игры или за задачи."
LOADING_TEXT_CURRENCY_GOLD2,"Нужна для покупки предметов, повышения навыков и\nприобретения других материалов!"
LOADING_TEXT_CURRENCY_GEM,"Кассовый чек в King's Raid.\nТребуется для различных спец. материалов, поэтому не тратьте его!"
LOADING_TEXT_CURRENCY_GEM2,Теперь доступно в премиум-магазине!
LOADING_TEXT_CURRENCY_GEM3,Можно заработать рубины в награду за вход в систему и выполнение задач!
LOADING_TEXT_CURRENCY_STAMINA,В зависимости от уровня игры\nтребуется определенное кол-во выносливости.
LOADING_TEXT_CURRENCY_STAMINA2,Выносливость пополняется\nна 1 очко со временем.
LOADING_TEXT_CURRENCY_STAMINA3,Макс. выносливость\nувеличивается с ростом ур. команды.
LOADING_TEXT_CURRENCY_SWORD,Используется для битв с другими игроками на Арене!\nАвтоматически перезаряжается со временем.
LOADING_TITLE_HERO_CONTENT_HEROSETTING,Как настроить группу?
LOADING_TEXT_HERO_CONTENT_HEROSETTING,Для битв в King's Raid требуется группа из 4 героев. Герои для линии фронта и тыла\nопределяются по классу. Персонажи одного класса\nтакже могут присоединиться к группе.
LOADING_TITLE_HERO_CONTENT_SKILL,Навыки героя
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,Улучшайте навыки!
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Навыки, которые вы выучили,\nмогут быть усилены.\nДля повышения навыков в соответствии с уровнем\nвашего героя потребуется золото."
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,Получайте снаряжение!
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Получите снаряжение, соответствующее классу вашего героя.\nВаши герои могут стать более мощными с\nоружием, доспехами, доп. снаряжением и аксессуарами."
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,Виды снаряжения?
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"Существует 6 видов оружия: двуручные мечи, копья, кинжалы, луки, ружья и волшебные палочки (для магов и жрецов). Есть 3 типа брони и доп. снаряжения: тяжелая броня, легкая броня и мантии."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,Улучшайте снаряжение!
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,Используйте различные материалы для улучшения оружия.\nОно будет более эффективным при использовании\nвысококлассных материалов.
LOADING_TITLE_HERO_CONTENT_RUNETPYE,Типы рун
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"Существует 3 типа рун:\nдля атаки, для обороны и вспомогательные."
LOADING_TITLE_HERO_CONTENT_RUNE,Эффекты рун (в зависимости от цвета)
LOADING_TEXT_HERO_CONTENT_RUNE,"Красные руны атаки можно установить только на оружие, синие руны защиты - только на доспехи, а зеленые вспомогательные руны - только на доп. снаряжение."
LOADING_TITLE_CONTENT_PARTYDUNGEON,Подземелье с друзьями!
LOADING_TEXT_CONTENT_PARTYDUNGEON,"В групповых испытаниях есть сильные монстры.\nСоберите друзей и победите зло вместе.\nПомните, в Темницу нельзя войти в одиночку!"
